"1";"1";"turn on computer ."
"1";"2";"open browser ."
"1";"3";"connect to internet ."
"2";"1";"turn on the computer ."
"2";"2";"connect to the internet ."
"2";"3";"open the browser ."
"3";"1";"attach your computer to an internet connection ."
"3";"2";"turn on the computer ."
"3";"3";"use software which accesses the internet ."
"4";"1";"move to computer ."
"4";"2";"turn on computer ."
"4";"3";"move mouse to icon ."
"4";"4";"click on connection icon ."
"4";"5";"wait to connect to dsl ."
"5";"1";"connect an internet connection to a computing device ."
"5";"2";"turn on the computing device ."
"5";"3";"use software in the computing device to acess the internet ."
"6";"1";"turn computer on ."
"6";"2";"use mouse to click on the icon for your internet service provider on the desktop ."
"6";"3";"sign on to your internet service provider ."
"6";"4";"begin choosing web sites to visit and explore ."
"7";"1";"go to computer ."
"7";"2";"open web browser to activate modem ."
"7";"3";"wait for modem to connect ."
"8";"1";"plug in the network cable ."
"8";"2";"turn on the computer ."
"8";"3";"open the web browser ."
"8";"4";"type in the url ."
"9";"1";"turn the computer on ."
"9";"2";"open ie ."
"10";"1";"plug in the network cable/card ."
"10";"2";"turn on the computer ."
"10";"3";"open the browser ."
"10";"4";"type the url in the browser ."
"11";"1";"turn on computer ."
"11";"2";"start browser ."
"11";"3";"access website using browser ."
"12";"1";"ensure computer is activated ."
"12";"2";"ensure user is logged onto computer ."
"12";"3";"ensure communication device is activated ."
"12";"4";"open internet enabled application ."
"12";"5";"log onto internet if necessary ."
"12";"6";"access internet ."
"13";"1";"start computer ."
"13";"2";"start internet program ."
"14";"1";"plug ethernet cable into modem ."
"14";"2";"set up connection on your computer ."
"14";"3";"start internet connection ."
"15";"1";"check network (modem cable tv) cables ."
"15";"2";"turn on a computer ."
"15";"3";"run a proper software to establish connection ."
"15";"4";"run a browser or any other internet tool ."
"16";"1";"turn on computer ."
"16";"2";"connect computer to internet ."
"16";"3";"launch internet access program ."
"17";"1";"establish internet connection ."
"17";"2";"open browser to access address ."
"18";"1";"find a computer ."
"18";"2";"check that computer has internet access ."
"18";"3";"click on internet explorer ."
"18";"4";"type in desired internet address ."
"19";"1";"identify computer ."
"19";"2";"connect computer to modem ."
"19";"3";"connect modem phone jack ."
"19";"4";"turn on computer ."
"19";"5";"access internet explorer ."
"20";"1";"switch on computer ."
"20";"2";"start connection icon ."
"20";"3";"enter username and password ."
"20";"4";"start internet explorer ."
"21";"1";"buy a computer ."
"21";"2";"hook up the computer ."
"21";"3";"buy internet access ."
"21";"4";"follow the instructions ."
"21";"5";"open an internet browser ."
"22";"1";"call telco to install dsl ."
"22";"2";"receive dsl modem ."
"22";"3";"connect phone line to modem ."
"22";"4";"connect ethernet cable to computer ."
"22";"5";"turn on dsl modem ."
"22";"6";"turn on computer ."
"22";"7";"check network settings ."
"23";"1";"locate the shortcut for the isp connection ."
"23";"2";"double click the shortcut ."
"23";"3";"enter your username and password ."
"23";"4";"click the connect button ."
"24";"1";"locate a computer that has internet access ."
"24";"2";"locate the icon for the internet browser i e  explorer or firefox ."
"24";"3";"click on the icon ."
"25";"1";"locate a computer that has internet access ."
"25";"2";"locate the icon for the internet browser i e  explorer or firefox ."
"25";"3";"click on the icon ."
"26";"1";"locate a computer that has internet access ."
"26";"2";"locate the icon for the internet browser i e  explorer or firefox ."
"26";"3";"click on the icon ."
"27";"1";"turn on computer ."
"27";"2";"open internet explorer or firefox ."
"28";"1";"open internet explorer ."
"28";"2";"type a web address in the address bar ."
"29";"1";"turn computer on ."
"29";"2";"log on to computer with username and password ."
"29";"3";"open up web browser ."
"29";"4";"type in an address in the address bar ."
"29";"5";"hit enter ."
"30";"1";"turn computer on ."
"30";"2";"log on to computer with username and password ."
"30";"3";"open up web browser ."
"30";"4";"type in an address in the address bar ."
"30";"5";"hit enter ."
"31";"1";"turn computer on ."
"31";"2";"log on to computer with username and password ."
"31";"3";"open up web browser ."
"31";"4";"type in an address in the address bar ."
"31";"5";"hit enter ."
"32";"1";"turn computer on ."
"32";"2";"log on to computer with username and password ."
"32";"3";"open up web browser ."
"32";"4";"type in an address in the address bar ."
"32";"5";"hit enter ."
"33";"1";"turn computer on ."
"33";"2";"log on to computer with username and password ."
"33";"3";"open up web browser ."
"33";"4";"type in an address in the address bar ."
"33";"5";"hit enter ."
"34";"1";"turn on pc ."
"34";"2";"click on the internet icon ."
"34";"3";"enter username and password at the prompt ."
"34";"4";"click 'okay' ."
"35";"1";"turn on pc ."
"35";"2";"click on the internet icon ."
"35";"3";"enter username and password at the prompt ."
"35";"4";"click 'okay' ."
"36";"1";"turn on pc ."
"36";"2";"click on the internet icon ."
"36";"3";"enter username and password at the prompt ."
"36";"4";"click 'okay' ."
"37";"1";"turn on pc ."
"37";"2";"click on the internet icon ."
"37";"3";"enter username and password at the prompt ."
"37";"4";"click 'okay' ."
"38";"1";"turn on pc ."
"38";"2";"click on the internet icon ."
"38";"3";"enter username and password at the prompt ."
"38";"4";"click 'okay' ."
"39";"1";"turn on pc ."
"39";"2";"click on the internet icon ."
"39";"3";"enter username and password at the prompt ."
"39";"4";"click 'okay' ."
"40";"1";"access internet ."
"41";"1";"turn on internet ."
"41";"2";"turn on computer ."
"42";"1";"locate on button on computer ."
"42";"2";"press the button to turn on computer ."
"42";"3";"locate the icon for dial-up internet ."
"42";"4";"double right click on icon ."
"42";"5";"wait for it to connect ."
"42";"6";"use internet ."
"43";"1";"locate on button on computer ."
"43";"2";"press the button to turn on computer ."
"43";"3";"locate the icon for dial-up internet ."
"43";"4";"double right click on icon ."
"43";"5";"wait for it to connect ."
"43";"6";"use internet ."
"44";"1";"make sure connection is strong ."
"44";"2";"click on the internet connection symbol ."
"45";"1";"make sure connection is strong ."
"45";"2";"click on the internet connection symbol ."
"46";"1";"make sure connection is strong ."
"46";"2";"click on the internet connection symbol ."
"47";"1";"turn on pc ."
"47";"2";"click e ."
"47";"3";"wait ."
"48";"1";"turn on pc ."
"48";"2";"click e ."
"48";"3";"wait ."
"49";"1";"turn on pc ."
"49";"2";"click e ."
"49";"3";"wait ."
"50";"1";"turn on pc ."
"50";"2";"click e ."
"50";"3";"wait ."
"51";"1";"turn on pc ."
"51";"2";"click e ."
"51";"3";"wait ."
"52";"1";"turn on pc ."
"52";"2";"click e ."
"52";"3";"wait ."
