"1";"1";"find the phone ."
"1";"2";"pick up the phone ."
"1";"3";"say hello ."
"2";"1";"locate phone ."
"2";"2";"pick up receiver ."
"2";"3";"place receiver to ear ."
"2";"4";"say hello ."
"3";"1";"get phone ."
"3";"2";"pick up receiver ."
"3";"3";"place receiver to ear/speaker ."
"3";"4";"say hello ."
"4";"1";"go to the phone ."
"4";"2";"pick it up ."
"4";"3";"say hello ."
"5";"1";"hear the phone ring ."
"5";"2";"pick up the phone ."
"5";"3";"say hello ."
"6";"1";"pick up the receiver ."
"7";"1";"pick phone up ."
"7";"2";"push talk button ."
"7";"3";"answer phone ."
"8";"1";"taking the phone in hand ."
"8";"2";"pressing answer button ."
"9";"1";"move to phone ."
"9";"2";"pick up receiver ."
"9";"3";"say hello ."
"9";"4";"ask who is calling ."
"10";"1";"find the telephone ."
"10";"2";"pick up the telephone receiver ."
"10";"3";"speak a greeting into the receiver s microphone ."
"11";"1";"find the phone ."
"11";"2";"pick up the phone s receiver ."
"11";"3";"speak a greeting such as 'hello' ."
"12";"1";"walk to the phone ."
"12";"2";"pick up the receiver ."
"12";"3";"say 'hello' ."
"13";"1";"hearing the phone ringing ."
"13";"2";"picking up the phone ."
"13";"3";"answering the call by saying 'hello' ."
"14";"1";"monitor the telephone ."
"14";"2";"if the telephone rings pick up the receiver ."
"14";"3";"greet the person that is calling ."
"14";"4";"converse with the caller ."
"14";"5";"assist the caller ."
"14";"6";"replace receiver upon conclusion of conversation ."
"15";"1";"hear the phone ring ."
"15";"2";"get the phone ."
"15";"3";"answer it ."
"16";"1";"go to the phone ."
"16";"2";"pick up the phone ."
"16";"3";"say hello ."
"17";"1";"find ringing telephone ."
"17";"2";"pick up the handset for the phone ."
"17";"3";"press the 'talk' button ."
"17";"4";"greet the person on the telephone ."
"18";"1";"when the phone rings pick up the receiver ."
"18";"2";"listen to the receiver ."
"18";"3";"greet the person that is calling ."
"19";"1";"walk in the direction of the phone ."
"19";"2";"lowe your arm and grab the receiver ."
"19";"3";"bring the receiver to your ear so that you may hear ."
"19";"4";"ask who is calling ."
"20";"1";"walk over to the phone ."
"20";"2";"pick up the receiver ."
"20";"3";"say a greeting ."
"20";"4";"listen ."
"21";"1";"go to phone ."
"21";"2";"pick up receiver ."
"21";"3";"press talk button ."
"22";"1";"walk to the phone ."
"22";"2";"pick up the receiver ."
"22";"3";"say a greeting ."
"22";"4";"listen ."
"23";"1";"go to phone ."
"23";"2";"pick up receiver ."
"23";"3";"press tak button ."
"23";"4";"say hi ."
"24";"1";"listen for the phone to ring ."
"24";"2";"lift the receiver from the base ."
"24";"3";"bring the receiver to your mouth and ear ."
"24";"4";"say hello ."
"25";"1";"go over to the phone ."
"25";"2";"pick up the receiver on the phone ."
"25";"3";"begin to speak to the person on the phone ."
"26";"1";"find the telephone ."
"26";"2";"pick up the telephone receiver ."
"26";"3";"say hello or some other greeting ."
"26";"4";"listen for someone on the telephone to speak ."
"27";"1";"hear the phone ring ."
"27";"2";"go to the phone ."
"27";"3";"pick up the phone ."
"28";"1";"hear the phone ring ."
"28";"2";"go to the phone ."
"28";"3";"pick up the phone ."
"28";"4";"say 'hello?' ."
"28";"5";"continue the conversation ."
"29";"1";"hear the ring ."
"29";"2";"locate receiver ."
"29";"3";"pick up receiver ."
"30";"1";"locate ringing phone ."
"30";"2";"pick up handset ."
"30";"3";"say hello ."
"31";"1";"hear the phone ring ."
"31";"2";"move to telephone ."
"31";"3";"pick up telephone horn ."
