"1";"1";"pour milk into a sausepan ."
"1";"2";"turn the stove on ."
"1";"3";"wait for milk to boil ."
"2";"1";"get milk into container ."
"2";"2";"turn on stove ."
"2";"3";"put container on the stove ."
"2";"4";"watch milk ."
"2";"5";"turn stove off ."
"3";"1";"pour milk in pot ."
"3";"2";"put pot on stove ."
"3";"3";"turn on stove ."
"3";"4";"watch for milk to boil ."
"3";"5";"remove milk ."
"3";"6";"turn off stove ."
"4";"1";"put the milk in a pan ."
"4";"2";"place the pan on the stove ."
"4";"3";"turn on the stove ."
"4";"4";"set the stove temperature to high heat ."
"4";"5";"allow the milk to boil ."
"4";"6";"turn off the stove ."
"5";"1";"turn on the stove ."
"5";"2";"place milk in a pan ."
"5";"3";"place the pan on the stove ."
"5";"4";"wait until the milk is boiling ."
"6";"1";"take out the milk from the fridge ."
"6";"2";"take a pan ."
"6";"3";"pour the milk into the pan ."
"6";"4";"put the pan on the top of the stove ."
"6";"5";"turn on the stove ."
"6";"6";"wait until the milk boils ."
"7";"1";"put milk in pan ."
"7";"2";"put pan on cooking gas ."
"7";"3";"turn heat on ."
"7";"4";"wait for milk to boil ."
"8";"1";"pour milk in pot ."
"8";"2";"turnon stove ."
"8";"3";"put pot on stove ."
"8";"4";"wait to boil ."
"8";"5";"remove pot ."
"8";"6";"turn off stove ."
"9";"1";"pour milk in pot ."
"9";"2";"put pot on stove ."
"9";"3";"turn on stove ."
"9";"4";"wait for milk to boil ."
"9";"5";"remove pot from stove ."
"9";"6";"turn off stove ."
"10";"1";"pour milk into pot ."
"10";"2";"place pot on stove ."
"10";"3";"turn on stove ."
"10";"4";"wait for milk to boil ."
"10";"5";"remove pot from stove ."
"10";"6";"turn off stove ."
"11";"1";"pour milk out of bottle into a pan ."
"11";"2";"put the pan of milk onto the burner on the stove ."
"11";"3";"turn the stove knob to set it to boil the milk ."
"12";"1";"get out a sausepan ."
"12";"2";"get the milk ."
"12";"3";"pour the milk in the saucepan ."
"12";"4";"put the pan on the stove ."
"12";"5";"turn on the stove ."
"13";"1";"pour milk in pot ."
"13";"2";"place pot on stove ."
"13";"3";"turn on stove ."
"13";"4";"wait for milk to boil ."
"13";"5";"remove pot from stove ."
"13";"6";"turn off  stove ."
"14";"1";"pour milk into pot ."
"14";"2";"put pon on stove ."
"14";"3";"turn on stove ."
"14";"4";"wait for milk to boil ."
"15";"1";"get a pan ."
"15";"2";"light the stove ."
"15";"3";"put milk in the pan ."
"15";"4";"put lid on pan ."
"15";"5";"wait until milk is hot ."
"15";"6";"switch off the stove ."
"16";"1";"put milk into pan ."
"16";"2";"light ring on cooker ."
"16";"3";"place pan on cooker ."
"16";"4";"watch until boiled ."
"17";"1";"put the milk in a stovepot ."
"17";"2";"heat the pot over a heat source until the milk is boiling ."
"18";"1";"put milk in saucepan ."
"18";"2";"turn on stove ."
