"1";"1";"pick up infant ."
"1";"2";"offer infant bottle if hungry ."
"1";"3";"gently pat back ."
"1";"4";"sing to infant ."
"2";"1";"shake the baby gently ."
"2";"2";"sing to the baby ."
"3";"1";"pick up infant ."
"3";"2";"make soothing sounds to infant ."
"3";"3";"gently pat infant on the back ."
"3";"4";"check infant for dirty diaper ."
"3";"5";"change infant diaper if dirty ."
"3";"6";"try feeding infant ."
"4";"1";"pick up an infant ."
"4";"2";"rock infant ."
"4";"3";"sing to infant ."
"4";"4";"say shhh to infant ."
"4";"5";"give infant a bottle if needed ."
"4";"6";"place infant in crib ."
"5";"1";"hold infant ."
"5";"2";"sing a soothing song to the infant ."
"5";"3";"talk to the infant ."
"5";"4";"rock the infant gently in your arms ."
"6";"1";"hold the infant ."
"6";"2";"pat the infant until it stops crying ."
"7";"1";"locate infant ."
"7";"2";"identify cause ."
"7";"3";"seach for solutions ."
"7";"4";"excute the best solution ."
"7";"5";"check to see if it works ."
"7";"6";"task complete ."
"8";"1";"hold the infant ."
"8";"2";"pat the infant ."
"8";"3";"talk to the infant in a soft voice when necessary ."
"9";"1";"hold the infant and move slowly ."
"9";"2";"sing apeasing song ."
"9";"3";"feed infant ."
"10";"1";"take infant in your arms ."
"10";"2";"start swinging arms gently ."
"10";"3";"sing a lullaby ."
"10";"4";"put infant in bed ."
"11";"1";"pick infant up ."
"11";"2";"rock infant ."
"11";"3";"sing to infant ."
"11";"4";"distract infant ."
"12";"1";"pick up the infant ."
"12";"2";"hold the infant ."
"12";"3";"rock the infant back and forth ."
"12";"4";"pat the infant s back ."
"12";"5";"make a shushing noise into the infant s ear ."
"12";"6";"sing a song to the infant quietly ."
"13";"1";"go to infant ."
"13";"2";"show toy to infant ."
"13";"3";"pick up infant ."
"13";"4";"slowly rock infant ."
"14";"1";"pickup the infant ."
"14";"2";"talk soothingly to the infant ."
"14";"3";"rock the infant back and forth ."
"15";"1";"hold infant in arms ."
"15";"2";"gently rock infant ."
"15";"3";"feed infant milk ."
"16";"1";"carry the infant ."
"16";"2";"show some colorful toys to the infants ."
"17";"1";"pick up infant ."
"17";"2";"slowly rock infant back and forth ."
"18";"1";"pick up infant ."
"18";"2";"slowly rock infant back and forth ."
"19";"1";"pick up infant ."
"19";"2";"walk back and forth ."
"19";"3";"pat infants back ."
"19";"4";"sing ."
"20";"1";"pick up infant ."
"20";"2";"rock the infant ."
"21";"1";"pat the infant s back ."
"21";"2";"give the infant milk ."
"21";"3";"change the infant s diaper ."
"21";"4";"coddle the infant ."
"21";"5";"sing to the infant ."
"21";"6";"rock the infant ."
"22";"1";"pick up infant ."
"22";"2";"rock infant ."
"22";"3";"give infant pacifyer ."
"22";"4";"make soothing noices to infant ."
"22";"5";"hope to god the infant stops  crying soon ."
"23";"1";"touch baby ."
"23";"2";"check temperature ."
"23";"3";"check wetness ."
"23";"4";"pick up baby ."
"23";"5";"hug and cradle baby ."
"23";"6";"feed baby ."
"23";"7";"pat on back steadily until burps ."
"24";"1";"pick baby up ."
"24";"2";"talk soothingly ."
"24";"3";"check if diaper needs changing ."
"24";"4";"pat to encourage burping ."
"24";"5";"offer breast (or bottle) ."
"24";"6";"rock gently ."
"24";"7";"sing ."
"25";"1";"pick up infant ."
"25";"2";"hold and love infant ."
"26";"1";"pick up infant ."
"26";"2";"hold and love infant ."
"27";"1";"pick up infant ."
"27";"2";"hold and love infant ."
"28";"1";"pick up infant ."
"28";"2";"hold and love infant ."
"29";"1";"talk to infant ."
"29";"2";"say reasuring things ."
"29";"3";"repeat if nessecary ."
"30";"1";"picking the infant up ."
"30";"2";"holding them to your chest ."
"30";"3";"rest their head on your shoulder ."
"30";"4";"pat them on the back ."
"31";"1";"pick up baby ."
"31";"2";"rub back ."
"31";"3";"walk aroun ."
"31";"4";"soothe ."
"32";"1";"pick up baby ."
"32";"2";"rub back ."
"32";"3";"walk aroun ."
"32";"4";"soothe ."
"33";"1";"pick up baby ."
"33";"2";"rub back ."
"33";"3";"walk aroun ."
"33";"4";"soothe ."
"34";"1";"pick up baby ."
"34";"2";"rub back ."
"34";"3";"walk aroun ."
"34";"4";"soothe ."
"35";"1";"pick up baby ."
"35";"2";"rub back ."
"35";"3";"walk aroun ."
"35";"4";"soothe ."
"36";"1";"pick up baby ."
"36";"2";"rub back ."
"36";"3";"walk aroun ."
"36";"4";"soothe ."
"37";"1";"pick up baby ."
"37";"2";"rub back ."
"37";"3";"walk aroun ."
"37";"4";"soothe ."
"38";"1";"pick up baby ."
"38";"2";"rub back ."
"38";"3";"walk aroun ."
"38";"4";"soothe ."
"39";"1";"pick up baby ."
"39";"2";"rub back ."
"39";"3";"walk aroun ."
