"1";"1";"find the baby ."
"1";"2";"take present diaper out ."
"1";"3";"dispose present diaper ."
"1";"4";"get new diaper ."
"1";"5";"put new diaper on baby ."
"2";"1";"remove diaper ."
"2";"2";"clean diaper area thouroughly ."
"2";"3";"apply ointment in necessary ."
"2";"4";"place diaper under baby ."
"2";"5";"rap back around to front ."
"2";"6";"fasten diaper holders ."
"3";"1";"remove diaper ."
"3";"2";"clean diaper area thouroughly ."
"3";"3";"apply ointment if necessary ."
"3";"4";"place diaper under baby ."
"3";"5";"wrap back around to front ."
"3";"6";"fasten diaper holders ."
"3";"7";"throw away old diaper ."
"4";"1";"take the baby to the change table ."
"4";"2";"remove the old diaper ."
"4";"3";"find a fresh diaper ."
"4";"4";"put the fresh diaper on the baby ."
"4";"5";"dress the baby ."
"5";"1";"remove diaper from baby ."
"5";"2";"dispose diaper ."
"5";"3";"get a new diaper ."
"5";"4";"put new diaper on baby ."
"6";"1";"put baby on its back on a flat surface ."
"6";"2";"take off baby s clothes ."
"6";"3";"take off baby s diaper ."
"6";"4";"clean baby ."
"6";"5";"powder baby ."
"6";"6";"put on clean diaper ."
"6";"7";"put clothes on baby ."
"7";"1";"get a new diaper ."
"7";"2";"place baby on a surface on which the baby won t slip ."
"7";"3";"remove baby s old diaper ."
"7";"4";"put new diaper on the baby ."
"7";"5";"put the old diaper into the trash ."
"8";"1";"find baby ."
"8";"2";"find a clean diaper ."
"8";"3";"remove baby s dirty diaper ."
"8";"4";"put clean diaper on baby ."
"8";"5";"put dirty diaper into a trash can ."
"9";"1";"retrieve baby ."
"9";"2";"retrieve diaper ."
"9";"3";"remove soiled diaper ."
"9";"4";"apply clean diaper ."
"9";"5";"dispose of soiled diaper ."
"10";"1";"take off the old diaper ."
"10";"2";"clean the baby ."
"10";"3";"put some baby powder on the baby ."
"10";"4";"take a new diaper ."
"10";"5";"put on the new diaper ."
"11";"1";"place baby on bed ."
"11";"2";"remove old diaper ."
"11";"3";"wipe baby ."
"11";"4";"place new diaper ."
"12";"1";"put baby on changing table ."
"12";"2";"undress baby to get at diaper ."
"12";"3";"with caution take diaper off baby ."
"12";"4";"throw diaper away ."
"12";"5";"clean baby ."
"12";"6";"put new diaper on baby ."
"12";"7";"dress baby ."
"13";"1";"lay baby on changing table ."
"13";"2";"undress baby to get at the diaper ."
"13";"3";"take old diaper off ."
"13";"4";"clean baby ."
"13";"5";"put new diaper on ."
"13";"6";"dress baby ."
"13";"7";"take baby off changing table ."
"14";"1";"put baby on flat surface ."
"14";"2";"remove old diaper ."
"14";"3";"place new diaper on baby ."
"15";"1";"undress baby ."
"15";"2";"take off old diaper ."
"15";"3";"clean baby ."
"15";"4";"put on new diaper ."
"15";"5";"throw away old diaper ."
"15";"6";"dress baby ."
"16";"1";"place baby on flat surface ."
"16";"2";"remove old diaper ."
