"1";"1";"move to fixture ."
"1";"2";"remove old bulb from socket ."
"1";"3";"place bulb in trash ."
"1";"4";"pick up new bulb ."
"1";"5";"place bulb in socket ."
"2";"1";"locate a new bulb ."
"2";"2";"remove fascade from light appliance ."
"2";"3";"remove the burnt-out bulb ."
"2";"4";"insert the new bulb ."
"2";"5";"replace fascade from light appliance ."
"2";"6";"discard burnt-out bulb ."
"3";"1";"remove old bulb ."
"3";"2";"find new bulb ."
"3";"3";"place new bulb in light socket ."
"4";"1";"remove old bulb ."
"4";"2";"locate new bulb ."
"4";"3";"screw new bulb into socket ."
"5";"1";"turn off light if on ."
"5";"2";"wait for bulb to cool down ."
"5";"3";"remove bulb ."
"5";"4";"replace with new bulb ."
"5";"5";"turn on light ."
"6";"1";"unscrew the bulb ."
"6";"2";"discard the bulb ."
"6";"3";"locate a replacement bulb ."
"6";"4";"screw the replacement bulb into the socket ."
"7";"1";"turn light off ."
"7";"2";"unscrew bulb ."
"7";"3";"screw new bulb ."
"7";"4";"turn on light ."
"8";"1";"get new bulb ."
"8";"2";"go to old bulb ."
"8";"3";"turn off light ."
"8";"4";"unscrew old bulb ."
"8";"5";"screw in new bulb ."
"8";"6";"turn on light ."
"9";"1";"find bulb or right size and wattage ."
"9";"2";"turn the light off ."
"9";"3";"unscrew old bulb ."
"9";"4";"screw new bulb into socket ."
"9";"5";"turn light on to test ."
"10";"1";"unscrew old bulb ."
"10";"2";"screw in new bulb ."
"11";"1";"turn off light ."
"11";"2";"wait for bulb to cool down ."
"11";"3";"go to where bulb is ."
"11";"4";"remove cover if any ."
"11";"5";"remove old bulb ."
"11";"6";"put in new bulb ."
"11";"7";"put back cover ."
"12";"1";"remove lamp shade ."
"12";"2";"unscrew bulb from lamp ."
"12";"3";"screw in new bulb ."
"12";"4";"put the lamp shade back on the lamp ."
"13";"1";"get a ladder ."
"13";"2";"get a new bulb ."
"13";"3";"climb up on the ladder with the bulb ."
"13";"4";"remove the light fixture cover and set it down ."
"13";"5";"unscrew the old bulb ."
"13";"6";"screw in the new bulb ."
"13";"7";"replace the lgiht fixture cover ."
"14";"1";"locate a replacement bulb of the appropriate wattage ."
"14";"2";"remove the old bulb ."
"14";"3";"insert the new bulb ."
"14";"4";"dispose of the old bulb ."
"15";"1";"get a new bulb ."
"15";"2";"get a ladder ."
"15";"3";"place the ladder beneath the bulb to be changed ."
"15";"4";"climb the ladder ."
"15";"5";"remove the faulty bulb ."
"15";"6";"put in the new bulb ."
"16";"1";"remove old bulb ."
"16";"2";"locate new bulb ."
"16";"3";"screw in new bulb ."
"17";"1";"remove light cover ."
"17";"2";"unscrew old bulb ."
"17";"3";"screw in new bulb ."
"17";"4";"replace light cover ."
"18";"1";"turn off the switch ."
"18";"2";"get a new bulb and change the old bulb ."
"19";"1";"remove burned out bulb ."
"19";"2";"discard burned out bulb ."
"19";"3";"replace with fresh bulb ."
"20";"1";"remove old lightbulb ."
"20";"2";"throw old bulb away ."
"20";"3";"get new bulb ."
"20";"4";"install new bulb ."
"21";"1";"remove old lightbulb ."
"21";"2";"throw old bulb away ."
"21";"3";"get new bulb ."
"21";"4";"install new bulb ."
"22";"1";"remove old lightbulb ."
"22";"2";"throw old bulb away ."
"22";"3";"get new bulb ."
"22";"4";"install new bulb ."
"23";"1";"get a stool if needed ."
"23";"2";"get on stool ."
"23";"3";"turn lightbulb to the left ."
"23";"4";"remove bulb from socket ."
"23";"5";"screw in new bulb ."
"24";"1";"turn off light switch ."
"24";"2";"unscrew old bulb ."
"24";"3";"screw in new bulb ."
"24";"4";"turn on light switch ."
"24";"5";"throw away old bulb ."
"25";"1";"reach up ."
"25";"2";"twist old bulb to the left ."
"25";"3";"secure new bulb ."
"25";"4";"twist new bulb to the right ."
"25";"5";"turn on light switch ."
"26";"1";"remove old bulb ."
"26";"2";"get new bulb ."
"26";"3";"put new bulb in ."
"27";"1";"get a new light bulb ."
"27";"2";"unscrew old light bulb ."
"27";"3";"throw away old light bulb ."
"27";"4";"screw in new light bulb ."
"28";"1";"get a new light bulb ."
"28";"2";"unscrew old light bulb ."
"28";"3";"throw away old light bulb ."
"28";"4";"screw in new light bulb ."
"29";"1";"get a light bulb ."
"29";"2";"stand on a chair ."
"29";"3";"unscrew the old one ."
"29";"4";"put in the new one ."
"30";"1";"get a light bulb ."
"30";"2";"stand on a chair ."
"30";"3";"unscrew the old one ."
"30";"4";"put in the new one ."
"31";"1";"locate a new light bulb and a tissue ."
"31";"2";"turn off the light switch ."
"31";"3";"unscrew the old bulb ."
"31";"4";"holding the new bulb with the tissue screw it in ."
"32";"1";"switch light off at wall ."
"32";"2";"reach up to light bulb ."
"32";"3";"take out old light bulb ."
"32";"4";"get new lightbulb ."
"32";"5";"reach up with new light bulb ."
"32";"6";"insert new lightbulb ."
"32";"7";"switch light on at wall ."
"33";"1";"ensure light switch is set to off ."
"33";"2";"hold light fitting ."
"33";"3";"push light bulb and turn ."
"33";"4";"lower bulb ."
"33";"5";"fit new bulb in reverse ."
"33";"6";"turn on lightswitch ."
"33";"7";"check if new bulb is working ."
"34";"1";"ensure light switch is set to off ."
"34";"2";"hold light fitting ."
"34";"3";"push light bulb and turn ."
"34";"4";"lower bulb ."
"34";"5";"fit new bulb in reverse ."
"34";"6";"turn on lightswitch ."
"34";"7";"check if new bulb is working ."
"35";"1";"push bulb upwards and twist ."
"35";"2";"pull out bulb ."
"35";"3";"push bulb in ."
"35";"4";"twist and let go ."
"36";"1";"turn light off ."
"36";"2";"rotate bulb counter clockwise ."
"36";"3";"remove old bulb ."
"36";"4";"place new bulb lamp ."
"36";"5";"rotate clockwise ."
"36";"6";"turn light on ."
"37";"1";"change ."
"37";"2";"walk ."
"37";"3";"find a light bulb ."
"38";"1";"turn off electricity ."
"38";"2";"find solid ladder ."
"38";"3";"find new bulb ."
"38";"4";"climb ladder with new bulb ."
"38";"5";"unscrew old bulb ."
"38";"6";"screw in new bulb ."
"38";"7";"discard of old bulb ."
"39";"1";"remove old bulb ."
"39";"2";"screw in new bulb ."
