"1";"1";"find replacement bedsheets ."
"1";"2";"take out existing bedsheet ."
"1";"3";"put existing bedsheet with dirty clothes ."
"1";"4";"put replacement bedsheet ."
"2";"1";"remove old sheets ."
"2";"2";"get new sheets ."
"2";"3";"place new sheets on bed ."
"3";"1";"take old sheets off bed ."
"3";"2";"get new sheets ."
"3";"3";"put new sheets on bed ."
"4";"1";"take off the old sheets ."
"5";"1";"take off the old sheets ."
"5";"2";"put on the new sheets ."
"5";"3";"put the old sheets in the wash ."
"6";"1";"getting new sheets ."
"6";"2";"going next to bed ."
"6";"3";"removing old sheets from bed ."
"6";"4";"putting new sheets on bed ."
"6";"5";"taking removed bed sheets to washing machine ."
"7";"1";"remove soiled bedsheets ."
"7";"2";"place clean bedsheets on bed ."
"8";"1";"take off the old sheets ."
"8";"2";"put them in the laundry ."
"8";"3";"get the new sheets ."
"8";"4";"put them on the bed ."
"9";"1";"remove previous sheets from bed ."
"9";"2";"lay new sheet spread out on bed ."
"9";"3";"tuck the sheet under the mattress ."
"9";"4";"make sure the sheet is facing the proper direction ."
"10";"1";"remove old bed sheets from bed ."
"10";"2";"locate new bed sheets ."
"10";"3";"place new bed sheets on bed ."
"10";"4";"clean and store old bed sheets ."
"11";"1";"remove old besheets ."
"11";"2";"put on new bed sheets ."
"12";"1";"remove the top sheet from the bed ."
"13";"1";"remove old sheets ."
"13";"2";"place them in dirty laundry basket ."
"13";"3";"place new sheets on bed ."
"14";"1";"remove bed sheets ."
"14";"2";"place new bed sheets on bed ."
"15";"1";"removing the current bed sheets ."
"15";"2";"putting clean bed sheets on the bed ."
"16";"1";"go to bed ."
"16";"2";"remove old beed sheets ."
"16";"3";"put on new bed sheets ."
"16";"4";"put old sheets with dirty laundry ."
"17";"1";"go to the bed ."
"17";"2";"remove the blanket from the bed ."
"17";"3";"remove the sheets from the bed ."
"17";"4";"put the sheets in a pile ."
"17";"5";"replace the old sheets with new ones ."
"18";"1";"take dirty bed sheets off of bed ."
"18";"2";"replace them with clean bed sheets ."
"18";"3";"take dirty bed sheets to laundry area ."
"19";"1";"get clean sheets ."
"19";"2";"remove sheets from bed ."
"19";"3";"put clean sheets on bed ."
"19";"4";"put old sheets in washingbin ."
"20";"1";"take off dirty bed sheets ."
"21";"1";"remove soiled sheets ."
"21";"2";"locate clean sheets ."
"21";"3";"place clean sheets on bed ."
"22";"1";"locate bed with dirty sheets ."
"22";"2";"remove dirty sheets ."
"22";"3";"put clean sheets on bed ."
"22";"4";"place dirty sheets into clothes hamper ."
"23";"1";"remove sheets ."
"23";"2";"get clean sheet ."
"23";"3";"spread sheet over bed ."
"23";"4";"fold corners under ."
"23";"5";"tuck sides under ."
"24";"1";"take dirty sheets of of bed ."
"24";"2";"take dirty pillow cases off of pillows ."
"24";"3";"put clean sheets on bed ."
"24";"4";"put clean pillow cases on pillows ."
"25";"1";"identify bed sheets ."
"25";"2";"remove bed sheets ."
"25";"3";"place new bed sheets on bed ."
"26";"1";"remove bedspread and old bed sheets ."
"26";"2";"put new fitted sheet on bed ."
"26";"3";"put new flat sheet on bed ."
"26";"4";"replace bedspread ."
"27";"1";"remove sheets from bed ."
"27";"2";"put used sheets in hamper ."
"27";"3";"remove clean sheets from linen closet ."
"27";"4";"spread fitted sheet on bed ."
"27";"5";"tuck corners of fitted sheet around mattress ."
"27";"6";"spread flat sheet on bed ."
"27";"7";"smooth sheet ."
"28";"1";"remove dirty sheets ."
"28";"2";"put clean sheets on mattress ."
"29";"1";"remove dirty sheets ."
"29";"2";"put clean sheets on mattress ."
"30";"1";"remove dirty sheets ."
"30";"2";"put clean sheets on mattress ."
"31";"1";"remove old sheets ."
"31";"2";"put old sheets into laundry hamper ."
"31";"3";"dust and clean the bed ."
"31";"4";"spray on fabic freshener ."
"31";"5";"let dry ."
"31";"6";"get new sheets ."
"31";"7";"put on bed ."
"32";"1";"remove old or dirty bed sheets ."
"32";"2";"put on clean or new bed sheets ."
"33";"1";"take out old sheet ."
"33";"2";"replace new sheet on bed ."
"34";"1";"remove old bedding ."
"34";"2";"put fitted sheet on mattress ."
"34";"3";"put flat sheet on mattress ."
"34";"4";"replace blankets and tuck everything in at the foot of the bed ."
"34";"5";"put quilt on mattress ."
"34";"6";"replace pillows ."
"35";"1";"take off used sheets ."
"35";"2";"get new sheets ."
"35";"3";"put new sheets on bed ."
"36";"1";"take off used sheets ."
"36";"2";"get new sheets ."
"36";"3";"put new sheets on bed ."
"37";"1";"take off used sheets ."
"37";"2";"get new sheets ."
"37";"3";"put new sheets on bed ."
"38";"1";"get clean sheets from closet ."
"38";"2";"take off old sheets from bed ."
"38";"3";"put new ones on ."
"38";"4";"wash old sheets ."
