"1";"1";"plug cell phone charging cord into electrical outlet ."
"1";"2";"plug other end of charging cord into cellphone ."
"2";"1";"locate the proper cell phone charger ."
"2";"2";"place the cell phone in the charger ."
"2";"3";"wait until the charger indicates a successful charge ."
"2";"4";"remove the cell phone from the charger ."
"3";"1";"grasp cell phone in hand ."
"3";"2";"place on charger at appropriate contact points ."
"3";"3";"turn on charger if needed ."
"3";"4";"wait appropriate and specified amount of time for charging ."
"4";"1";"place the cell phone in its charger base ."
"4";"2";"wait until the cell phone is charged ."
"5";"1";"place the cell phone in its recharging base ."
"5";"2";"make sure the base is plugged in ."
"5";"3";"wait until the phone is charged ."
"6";"1";"plug charger into wall socket ."
"6";"2";"plug charger into cell phone ."
"6";"3";"unplug charger from phone ."
"6";"4";"unplug charger from wall ."
"7";"1";"finding the correct charger ."
"7";"2";"connecting the charger to the correct port on the cell phone ."
"7";"3";"pluging the other end of the charger into a wall recepticle ."
"8";"1";"locate cell phone ."
"8";"2";"locate charger ."
"8";"3";"locate power outlet ."
"8";"4";"plug cell phone into charger ."
"8";"5";"plug charger into power outlet ."
"9";"1";"get cell phone ."
"9";"2";"plug cell phone into charger ."
"9";"3";"plug charger into power outlet ."
"9";"4";"wait for battery to charge ."
"9";"5";"remove phone from charger ."
"9";"6";"remove charger from power outlet ."
"10";"1";"connect cell phone charger to outlet ."
"10";"2";"put phone in cell phone charger ."
"10";"3";"wait ."
"11";"1";"plug in cell phone charger into wall socket ."
"11";"2";"plug cell phone into charger cord ."
"11";"3";"wait necessary time until phone has been charged ."
"12";"1";"get the cell phone ."
"12";"2";"plug in the cell phone charger ."
"12";"3";"place the cell phone into the cell phone charger ."
"12";"4";"make sure the cell phone is plugged into the charger properly ."
"13";"1";"turn phone off ."
"13";"2";"get charger ."
"13";"3";"plug charger into outlet ."
"13";"4";"plug charger into phone ."
"13";"5";"leave charger in for a few hours ."
"13";"6";"remove charger from phone ."
"13";"7";"remove charger from outlet ."
"14";"1";"plug the dc wall adapter into a power outlet ."
"14";"2";"plug the cell phone into the wall adapter ."
"14";"3";"wait until the cell phone indicates that it is fully charged ."
"15";"1";"find cell phone charger ."
"15";"2";"find wall socket ."
"15";"3";"attach phone charger to wall socket ."
"15";"4";"attach other end of charger to cell phone ."
"16";"1";"plug charger into wall outlet ."
"16";"2";"plug other end of cord into phone ."
"17";"1";"take cellphone ."
"17";"2";"take charger ."
"17";"3";"plug in the charger ."
"17";"4";"plug the charger with cell phone ."
"18";"1";"plug the cell phone into the charger ."
"18";"2";"plug the charger into the outlet ."
"18";"3";"look at the phone display ."
"19";"1";"plug travel charger to the cell phone ."
"19";"2";"plug the other end of the travel charger into the electrical outlet ."
"20";"1";"plug the cord to the cell phone ."
"20";"2";"plug the charger to the outlet ."
"21";"1";"plug cell phone in ."
"21";"2";"wait till fully charged ."
"22";"1";"put phone in charger ."
"22";"2";"plug charger in ."
"22";"3";"wait ."
"23";"1";"get cell phone ."
"23";"2";"take cell phone to outlet ."
"23";"3";"plug cell phone into outlet ."
"23";"4";"wait 3 hours ."
"23";"5";"remove cell phone fromoutlet ."
"24";"1";"plug cell phone charger in ."
"24";"2";"attach cell phone charger to cell phone ."
"24";"3";"wait until cell phone is fully charged ."
"25";"1";"plug in the charger on the socket ."
"25";"2";"connect the charger to the handphone ."
"25";"3";"switch on the charger ."
"26";"1";"plug in the charger on the socket ."
"26";"2";"connect the charger to the handphone ."
"26";"3";"switch on the charger ."
"27";"1";"switch phone off ."
"27";"2";"find charger ."
"27";"3";"plug charger in to wall socket ."
"27";"4";"plug charger into phone ."
"27";"5";"switch wall plug to on ."
"27";"6";"leave to charge ."
"27";"7";"disconnect once charged ."
"28";"1";"locate cell phone charger ."
"28";"2";"locate charging port on cell phone ."
"28";"3";"plug charger into cell phone ."
"28";"4";"plug charger in power outlet ."
"28";"5";"wait unitl prompted by device that charging is complete ."
"28";"6";"remove charger ."
"29";"1";"place cell phone in charger ."
"30";"1";"plug cell phone to charger ."
"30";"2";"plug charger to wall socket ."
"31";"1";"plug cell phone to charger ."
