"1";"1";"move around the house ."
"1";"2";"in each room check if an unfamiliar face is seen ."
"1";"3";"turn on the lights as you go into a room ."
"2";"1";"enter house ."
"2";"2";"move slowly through every room ."
"2";"3";"look for signs of intruders ."
"3";"1";"turn on all lights ."
"3";"2";"search all rooms ."
"4";"1";"listen for sounds ."
"4";"2";"get a weapon ."
"4";"3";"walk quietly around the house in the shadows ."
"4";"4";"look and listen for the intruders ."
"5";"1";"go into house ."
"5";"2";"go into each room ."
"5";"3";"look for intruders ."
"6";"1";"for each room ."
"6";"2";"look around for intruders ."
"7";"1";"go to each room ."
"7";"2";"look around for sign of intruders ."
"7";"3";"go to next room ."
"8";"1";"move to a room of the house ."
"8";"2";"look for intruders ."
"8";"3";"move to a different room ."
"8";"4";"repeat until you have checked all rooms ."
"9";"1";"make sure doors are locked ."
"9";"2";"make sure windows are locked and not broken ."
"9";"3";"go to any room ."
"9";"4";"look for unrecognized people ."
"9";"5";"repeat in each other room of the house sequentially ."
"10";"1";"go to the door of each room ."
"10";"2";"look into the room ."
"10";"3";"if you see an intruder call police ."
"11";"1";"load gun; cock gun ."
"12";"1";"load gun; cock gun ."
"12";"2";"call 911 ."
"12";"3";"walk through house and fire on anything suspicious ."
"13";"1";"load gun; cock gun ."
"13";"2";"call 911 ."
"13";"3";"walk through house and fire on anything suspicious ."
"14";"1";"enter house ."
"14";"2";"identify people or animals in house ."
"14";"3";"report results to police ."
"15";"1";"listen carefully for funny noises or voices you do not recognize ."
"15";"2";"see if the alarm system has been tripped ."
"16";"1";"turn on lights in house ."
"16";"2";"walk thru house ."
"17";"1";"turn on a loud alarm ."
"17";"2";"wait ."
"17";"3";"wait ."
"17";"4";"wait ."
"17";"5";"turn on a game with guns ."
"17";"6";"turn in up loud ."
"17";"7";"shoot a few times and wait whether people run for it ."
"18";"1";"listen to see where they are ."
"18";"2";"listen to see how many there might be ."
"18";"3";"check house room by room ."
"18";"4";"check all doors ."
"18";"5";"check all windows ."
"18";"6";"check basement ."
"18";"7";"listen as you go ."
"19";"1";"check alarm system ."
"19";"2";"notice unusual activity ."
"19";"3";"go to a room ."
"19";"4";"check windows and doors ."
"19";"5";"check for forced entry ."
"19";"6";"make noise ."
"19";"7";"repeat in another room ."
"20";"1";"check whether door is locked ."
"20";"2";"check for broken window ."
"20";"3";"check every room ."
"21";"1";"check for unlocked doors ."
"21";"2";"check to see if anything is out of the ordinary ."
