"1";"1";"get shower cleaning chemicals and sponges ."
"1";"2";"spray or pur chemicals on the shower surfaces ."
"1";"3";"scrub the shower surfaces with sponges ."
"1";"4";"rinse the surfaces with water ."
"2";"1";"prepare cleaning products ."
"2";"2";"spray pour or scrub cleaning products where necessary ."
"2";"3";"use appropriate cleaning tool with product ."
"2";"4";"wipe or rinse shower surfaces with water ."
"2";"5";"allow time for shower to dry ."
"3";"1";"obtain cleaning detergent and sponge ."
"3";"2";"go to shower ."
"3";"3";"spray cleaning detergent on shower ."
"3";"4";"scrub shower with sponge ."
"3";"5";"rinse shower wtih water ."
"4";"1";"locate cleaning materials ."
"4";"2";"locate shower ."
"4";"3";"use cleaning materials to clean the shower ."
"5";"1";"walk over to the shower ."
"5";"2";"spray glass cleaner all around the shower walls ."
"5";"3";"spray bathtub cleaner on the shower floor ."
"5";"4";"wait one minute ."
"5";"5";"turn on the shower and make sure all of the cleaners are washed away ."
"6";"1";"obtain a bottle of bathroom spray cleaner ."
"6";"2";"obtain a sponge ."
"6";"3";"spray the shower walls and surface with cleaner ."
"6";"4";"let stand for ten minutes ."
"6";"5";"scrub the shower with the sponge ."
"6";"6";"rinse the cleaner away with fresh water ."
"7";"1";"spray soap in tub ."
"7";"2";"scrub tub with a brush ."
"7";"3";"rinse soap away ."
"7";"4";"spray cleaner on walls ."
"7";"5";"wipe away cleaner ."
"8";"1";"clean drain clog ."
"8";"2";"clean shower room ."
"9";"1";"clean drain ."
"9";"2";"clean shower room ."
"9";"3";"clean shower curtain ."
"10";"1";"spray cleanig substance inside shower ."
"10";"2";"with sponge gather all substance ."
"10";"3";"wash with water ."
"11";"1";"spray cleaner on shower walls ."
"11";"2";"clean shower floor ."
"11";"3";"clean shower drain ."
"12";"1";"locate a cleaning solvent ."
"12";"2";"locate a cleaning rag ."
"12";"3";"spray cleaning solvent in shower stall ."
"12";"4";"utilize rag to wipe the cleaning solvent on the wall ."
"12";"5";"allow cleaning solvent to evaporate off of wall ."
"13";"1";"turn on shower ."
"13";"2";"spray cleaning agent onto walls floor ."
"13";"3";"scrub agent into walls floor ."
"13";"4";"rinse agent off and into drain ."
"14";"1";"apply cleanser to shower walls ."
"14";"2";"scrub walls with sponge ."
"14";"3";"turn on shower ."
"14";"4";"rinse walls with shower water ."
"14";"5";"turn off shower ."
"15";"1";"spray cleaner in shower ."
"15";"2";"scrub shower ."
"15";"3";"rinse shower ."
"16";"1";"open the shower door ."
"16";"2";"apply cleaner to shower surface ."
"16";"3";"wipe cleaner ."
