"1";"1";"grasp the blind cord ."
"1";"2";"pull the cord toward the center of the blinds to release the catch ."
"1";"3";"let the cord slip slowly ."
"2";"1";"pull the string that closes the blinds ."
"3";"1";"find the blinds ."
"3";"2";"find the pull cord for the blinds ."
"3";"3";"pull on the pull cord to close the blinds ."
"4";"1";"if blinds raised lower them ."
"4";"2";"if blinds allow light in tilt so that light does not come in ."
"5";"1";"slide the slider to close the blinds ."
"6";"1";"make sure window is closed ."
"6";"2";"find cord at side of blind ."
"6";"3";"pull cord ."
"6";"4";"lower blind ."
"6";"5";"stop pulling cord ."
"6";"6";"check blind is covering all of window ."
"6";"7";"blind is now closed ."
"7";"1";"grasp the cords ."
"7";"2";"pull the cords ."
"8";"1";"walk over to the blinds ."
"8";"2";"find the blind wand ."
"8";"3";"twist the blind wand until the blinds are closed ."
"9";"1";"pull the cord slightly to the left ."
"9";"2";"let the blinds drop ."
"10";"1";"go to blinds ."
"10";"2";"close the blinds ."
"11";"1";"go to blinds ."
"11";"2";"close the blinds ."
"12";"1";"turn the rod ."
"13";"1";"walk to window ."
"13";"2";"grasp blinds ."
"13";"3";"pull to close ."
"14";"1";"walk to window ."
"14";"2";"grasp blinds ."
"14";"3";"pull to close ."
"15";"1";"walk to window ."
"15";"2";"grasp blinds ."
"15";"3";"pull to close ."
"16";"1";"walk to window ."
"16";"2";"grasp blinds ."
"16";"3";"pull to close ."
"17";"1";"walk to window ."
"17";"2";"grasp blinds ."
"17";"3";"pull to close ."
"18";"1";"walk to window ."
"18";"2";"grasp blinds ."
"18";"3";"pull to close ."
"19";"1";"pull down on roller blind until closed ."
"20";"1";"pull down on roller blind until closed ."
"21";"1";"pull down on roller blind until closed ."
"22";"1";"pull down on roller blind until closed ."
"23";"1";"pull down on roller blind until closed ."
"24";"1";"pull down on roller blind until closed ."
"25";"1";"pull the string that distributes the blinds across the window ."
"25";"2";"pull the other string which turns the slats so that they are blocking all light ."
"26";"1";"pull the string that distributes the blinds across the window ."
"26";"2";"pull the other string which turns the slats so that they are blocking all light ."
"27";"1";"pull the string that distributes the blinds across the window ."
"27";"2";"pull the other string which turns the slats so that they are blocking all light ."
"28";"1";"pull the string that distributes the blinds across the window ."
"28";"2";"pull the other string which turns the slats so that they are blocking all light ."
"29";"1";"pull the string that distributes the blinds across the window ."
"29";"2";"pull the other string which turns the slats so that they are blocking all light ."
"30";"1";"pull the string that distributes the blinds across the window ."
"30";"2";"pull the other string which turns the slats so that they are blocking all light ."
"31";"1";"walk ."
"32";"1";"grab handle ."
"32";"2";"twist handle clockwise ."
"33";"1";"grab handle ."
"33";"2";"twist handle clockwise ."
"34";"1";"grab handle ."
"34";"2";"twist handle clockwise ."
"35";"1";"grab handle ."
"35";"2";"twist handle clockwise ."
"36";"1";"pull the string that closes the blinds ."
"37";"1";"go to the window ."
"37";"2";"go to the side of the window ."
"37";"3";"search for a cord ."
"37";"4";"pull the cord one way ."
"37";"5";"check to see what the curtains did ."
"37";"6";"if they opened instead of closed pull the cord the other way ."
"38";"1";"go to blinds ."
"38";"2";"look left ."
"38";"3";"take the hanging plastic rod ."
"38";"4";"turn clockwise ."
"38";"5";"keep turning until blinds are closed ."
"39";"1";"go to blinds ."
"39";"2";"look left ."
"39";"3";"take the hanging plastic rod ."
"39";"4";"turn clockwise ."
"39";"5";"keep turning until blinds are closed ."
"40";"1";"go to blinds ."
"40";"2";"look left ."
"40";"3";"take the hanging plastic rod ."
"40";"4";"turn clockwise ."
"40";"5";"keep turning until blinds are closed ."
"41";"1";"shade your eyes ."
"41";"2";"walk over to the window ."
"41";"3";"find the right string ."
"41";"4";"pull the string ."
"42";"1";"walk to blinds ."
"42";"2";"pull strings ."
"42";"3";"walk away ."
"43";"1";"go to window ."
"43";"2";"reach for string ."
"43";"3";"pull tab toward you and away from locking mechanism ."
"43";"4";"allow blind to slide to bottom of window ."
"43";"5";"let go of string ."
"43";"6";"reach for stick ."
"43";"7";"turn stick to turn blinds to closed position ."
"44";"1";"turn the rod ."
"45";"1";"turn the rod ."
"46";"1";"turn the rod ."
"47";"1";"turn the rod ."
"48";"1";"turn the rod ."
"49";"1";"turn the rod ."
"50";"1";"walk over to window ."
"50";"2";"grab blind at bottom ."
"50";"3";"pull blind down ."
"51";"1";"walk over to window ."
"51";"2";"grab blind at bottom ."
"51";"3";"pull blind down ."
"52";"1";"walk over to window ."
"52";"2";"grab blind at bottom ."
"52";"3";"pull blind down ."
"53";"1";"walk over to window ."
"53";"2";"grab blind at bottom ."
"53";"3";"pull blind down ."
"54";"1";"walk over to window ."
"54";"2";"grab blind at bottom ."
"54";"3";"pull blind down ."
"55";"1";"walk over to window ."
"55";"2";"grab blind at bottom ."
"55";"3";"pull blind down ."
"56";"1";"pull blinds cord ."
"56";"2";"lower blinds ."
"56";"3";"lock the cord ."
"57";"1";"pull blinds cord ."
"57";"2";"lower blinds ."
"57";"3";"lock the cord ."
"58";"1";"pull blinds cord ."
"58";"2";"lower blinds ."
"58";"3";"lock the cord ."
"59";"1";"pull string ."
