"1";"1";"walk to the curtains ."
"1";"2";"if there is something holding the curtains open remove it ."
"1";"3";"pull the curtains to cover the window ."
"2";"1";"pull curtains so that window is covered ."
"3";"1";"go to window ."
"3";"2";"pull curtains ."
"4";"1";"walk over to the curtains ."
"4";"2";"grab curtain ."
"4";"3";"pull curtain closed ."
"5";"1";"walk over to the curtains ."
"5";"2";"gently grab curtains or handle ."
"5";"3";"pull curtains closed ."
"6";"1";"take hold of left curtain ."
"6";"2";"pull to the centre of the window ."
"6";"3";"take hold of right curtain ."
"6";"4";"pull to the centre of the window ."
"7";"1";"go over to the curtains ."
"7";"2";"grab each side of the open curtains in the middle ."
"7";"3";"pull each side of the curtains together gently ."
"8";"1";"go to window ."
"8";"2";"grab curtain and pull towards the other side of window ."
"8";"3";"proceed to next window ."
"9";"1";"move to the curtains ."
"9";"2";"find the pull-rod attached t the curtains ."
"9";"3";"pull the pull-rod sideways to close the curtains ."
"10";"1";"locate curtains ."
"10";"2";"pull curtains together ."
"11";"1";"pull cord ."
"12";"1";"grab the curtains ."
"12";"2";"pull them towards each other until you cannot see the window ."
"13";"1";"locate the closing mechanism ."
"13";"2";"make sure there is nothing obstructing the path of the curtains ."
"13";"3";"activate the closingmechinism ."
"13";"4";"deactivate the closing mechanism when the curtains are closed ."
"14";"1";"pull the curtain toward the middle of the window ."
"15";"1";"go to window ."
"15";"2";"pull on left curtain until it is at the center of the window ."
"15";"3";"pull on right curtain until it is at the center of the window ."
"15";"4";"ensure that no part of the glass is visible ."
"16";"1";"pull curtain cord ."
"17";"1";"pick up remote control ."
"17";"2";"push button that closes curtain ."
"18";"1";"pick up remote control ."
"18";"2";"push button that closes curtain ."
"19";"1";"hold top of courtain ."
"19";"2";"pull curtain accross window ."
"19";"3";"repeat with all curtains ."
"20";"1";"hold top of courtain ."
"20";"2";"pull curtain accross window ."
"20";"3";"repeat with all curtains ."
"21";"1";"hold top of courtain ."
"21";"2";"pull curtain accross window ."
"21";"3";"repeat with all curtains ."
"22";"1";"hold top of courtain ."
"22";"2";"pull curtain accross window ."
"22";"3";"repeat with all curtains ."
"23";"1";"hold top of courtain ."
"23";"2";"pull curtain accross window ."
"23";"3";"repeat with all curtains ."
"24";"1";"hold top of courtain ."
"24";"2";"pull curtain accross window ."
"24";"3";"repeat with all curtains ."
"25";"1";"hold top of courtain ."
"25";"2";"pull curtain accross window ."
"25";"3";"repeat with all curtains ."
"26";"1";"hold top of courtain ."
"26";"2";"pull curtain accross window ."
"26";"3";"repeat with all curtains ."
"27";"1";"grasp curtain panels ."
"27";"2";"pull towards center of window ."
"28";"1";"walk to curtains ."
"28";"2";"pull cord ."
"29";"1";"goto curtains ."
"29";"2";"grip curtains ."
"29";"3";"close curtains ."
"30";"1";"pull the cord on the curtains to close ."
"31";"1";"pull the curtains across the window ."
"32";"1";"take the curtain ."
"32";"2";"nudge it ."
"32";"3";"close it ."
"33";"1";"go to curtains ."
"33";"2";"find curtain rod ."
"33";"3";"grasp rod ."
"33";"4";"pull rod to move curtain ."
"34";"1";"use string or manually pull curtains shut ."
"35";"1";"use string or manually pull curtains shut ."
"36";"1";"use string or manually pull curtains shut ."
"37";"1";"use string or manually pull curtains shut ."
"38";"1";"walk over to the curtains ."
"38";"2";"grab the curtain cord ."
"38";"3";"pull it towards the middle of the curtain ."
"39";"1";"walk over to the curtains ."
"39";"2";"grab the curtain cord ."
"39";"3";"pull it towards the middle of the curtain ."
"40";"1";"walk over to the curtains ."
"40";"2";"grab the curtain cord ."
"40";"3";"pull it towards the middle of the curtain ."
"41";"1";"walk over to the curtains ."
"41";"2";"grab the curtain cord ."
"41";"3";"pull it towards the middle of the curtain ."
"42";"1";"close window ."
"42";"2";"close curtains ."
"43";"1";"go to the window ."
"43";"2";"reach for the inside top of each curtain ."
"43";"3";"grasp one curtain in each hand ."
"43";"4";"pull the curtains toward the middle of the window ."
"43";"5";"adjust the curtains so that they meet in the centre ."
"44";"1";"get up ."
"44";"2";"pull curtain cord down ."
"44";"3";"watch curtains close ."
"44";"4";"stop pulling cord when curtains are drawn ."
"45";"1";"get up ."
"45";"2";"pull curtain cord down ."
"45";"3";"watch curtains close ."
"45";"4";"stop pulling cord when curtains are drawn ."
"46";"1";"get up ."
"46";"2";"pull curtain cord down ."
"46";"3";"watch curtains close ."
"46";"4";"stop pulling cord when curtains are drawn ."
"47";"1";"get up ."
"47";"2";"pull curtain cord down ."
"47";"3";"watch curtains close ."
"47";"4";"stop pulling cord when curtains are drawn ."
"48";"1";"get up ."
"48";"2";"pull curtain cord down ."
"48";"3";"watch curtains close ."
"48";"4";"stop pulling cord when curtains are drawn ."
"49";"1";"get up ."
"49";"2";"pull curtain cord down ."
"49";"3";"watch curtains close ."
"49";"4";"stop pulling cord when curtains are drawn ."
"50";"1";"draw the curtains ."
"51";"1";"draw the curtains ."
"52";"1";"pull the strings ."
