"1";"1";"get a package of noodles ."
"1";"2";"put the noodles in a pot of water ."
"1";"3";"put the pot on the stove ."
"1";"4";"turn the stove to medium heat ."
"1";"5";"take the pot off when noodles are done ."
"2";"1";"put water in pan ."
"2";"2";"boil water in pan ."
"2";"3";"put noodles in boiling water ."
"2";"4";"let noodles cook until soft ."
"2";"5";"drain water from pan ."
"2";"6";"put noodles in bowl ."
"3";"1";"locate cooker ."
"3";"2";"locate pan ."
"3";"3";"locate noodle ."
"3";"4";"put noodle in pan ."
"3";"5";"put water in pan ."
"3";"6";"boil noodle in pan of water on the cooker ."
"4";"1";"place noodle in pan ."
"4";"2";"put pan on stove ."
"4";"3";"heat stove ."
"5";"1";"open a pack of noodles ."
"5";"2";"read the instructions on the pack ."
"5";"3";"follow the instructions ."
"6";"1";"get a pot from cabinet ."
"6";"2";"fill pot with water ."
"6";"3";"place pot on stove ."
"6";"4";"turn on stove to desired heat ."
"6";"5";"place noodles inside pot ."
"6";"6";"place lid on pot ."
"7";"1";"bring water to a boil ."
"7";"2";"add salt and oil ."
"7";"3";"add the noodles ."
"7";"4";"stir occasionally ."
"7";"5";"cook until noodles are tender ."
"7";"6";"drain off the water ."
"8";"1";"get pan ."
"8";"2";"fill pan with water ."
"8";"3";"allow water to boil ."
"8";"4";"pour in noodles ."
"8";"5";"boil until done ."
"9";"1";"boil water in a pan ."
"9";"2";"open noodle package ."
"9";"3";"put noodles in pan of water ."
"9";"4";"boil for one minute ."
"9";"5";"strain noodles ."
"10";"1";"get a pot ."
"10";"2";"fill pot with water ."
"10";"3";"put noodles in pot ."
"10";"4";"put pot on stove ."
"10";"5";"turn on stove ."
"10";"6";"boil pot ."
"10";"7";"strain noodles ."
"11";"1";"get a pot ."
"11";"2";"fill pot with water ."
"11";"3";"put noodles in pot ."
"11";"4";"put pot on stove ."
"11";"5";"turn on stove ."
"11";"6";"boil pot ."
"11";"7";"strain noodles ."
"12";"1";"put water in pan ."
"12";"2";"put pan on stove burner ."
"12";"3";"turn on burner under pan ."
"12";"4";"wait for water to come to boil ."
"12";"5";"add noodles to boiling water ."
"12";"6";"cook noodles until soft ."
"12";"7";"pour cooked noodles into strainer ."
"13";"1";"boil a pot of water ."
"13";"2";"merasure the correct amount of noodles and pour in ."
"13";"3";"check box for cooking time ."
"13";"4";"boilfor the correct amount of time ."
"14";"1";"put water in a pot ."
"14";"2";"turn on stove ."
"14";"3";"put the pot on the stove ."
"14";"4";"when water boils add noodles ."
"14";"5";"test noodles every minute ."
"14";"6";"when noodles are soft take pot off of stove ."
"14";"7";"drain contents of pot using strainer ."
"15";"1";"put water in pot ."
"15";"2";"put pot on burner ."
"15";"3";"turn burner on high ."
"15";"4";"put lid on pot ."
"15";"5";"bring water to a boil ."
"15";"6";"remove lid ."
"15";"7";"add noodles ."
"16";"1";"fill pot with water ."
"16";"2";"place pot on stove ."
"16";"3";"turn stove on high ."
"16";"4";"wait for water to boil ."
"16";"5";"add noodles to boiling water ."
"16";"6";"stir noodles ."
"16";"7";"remove when noodles are tender but firm ."
"17";"1";"fill large pot with water ."
"17";"2";"set pot on burner ."
"17";"3";"turn burner to high ."
"17";"4";"wait for water to boil ."
"17";"5";"open noodle package ."
"17";"6";"empty noodles into boiling water ."
"17";"7";"let cook for 11 minutes ."
"18";"1";"boil water ."
"18";"2";"add noodles ."
"18";"3";"cook for 15 minutes ."
"18";"4";"drain noodles ."
"19";"1";"boil water ."
"19";"2";"add noodles ."
"19";"3";"cook for 15 minutes ."
"19";"4";"drain noodles ."
"20";"1";"boil water ."
"20";"2";"add noodles ."
"20";"3";"cook for 15 minutes ."
"20";"4";"drain noodles ."
"21";"1";"buy noodles ."
"21";"2";"boil water ."
"21";"3";"open noodle package ."
"21";"4";"place noodles in water ."
"21";"5";"cook noodles until tender ."
"22";"1";"boil water ."
"22";"2";"cook noodles ."
"22";"3";"strain noodles ."
"22";"4";"serve noodles ."
