"1";"1";"get rice ."
"1";"2";"get pot ."
"1";"3";"fill pot with water ."
"1";"4";"cook water ."
"1";"5";"put rice into water ."
"1";"6";"wait ."
"1";"7";"take rice out of water ."
"2";"1";"put rice in rice cooker ."
"2";"2";"add water ."
"2";"3";"turn on cooker ."
"2";"4";"wait for rice too cook ."
"2";"5";"remove rice from cooker ."
"3";"1";"put rice in rice cooker ."
"3";"2";"add water ."
"3";"3";"select cooking speed (low or high) ."
"3";"4";"wait for rice to cook ."
"3";"5";"remove rice from cooker ."
"4";"1";"place rice in rice cooker ."
"4";"2";"add water ."
"4";"3";"select cooking speed ."
"4";"4";"turn on cooker ."
"4";"5";"wait for rice to cook ."
"4";"6";"turn cooker off ."
"4";"7";"remove rice from cooker ."
"5";"1";"open rice box ."
"5";"2";"pour amount of rice needed into measuring cup ."
"5";"3";"boil a pot of water ."
"5";"4";"pour the needed amount of rice into the pot ."
"5";"5";"boil the rice until cooked ."
"5";"6";"allow the rice to soak up all the water ."
"6";"1";"fill pot with water ."
"6";"2";"put pot on stove ."
"6";"3";"heat pot ."
"6";"4";"put rice in pot ."
"6";"5";"cook for predetermined length of time ."
"6";"6";"put rice on plate ."
"6";"7";"allow rice to cool before serving ."
"7";"1";"buying rice ."
"7";"2";"opening package ."
"7";"3";"put rice in pot of water ."
"7";"4";"cover ."
"7";"5";"boil it for 20 minutes ."
"7";"6";"remove from heat ."
"8";"1";"put water in kettle ."
"8";"2";"boil water ."
"8";"3";"add rice ."
"8";"4";"boil rice for 7 minutes ."
"8";"5";"remove water ."
"8";"6";"leave rice for 5 minutes ."
"8";"7";"serve rice ."
"9";"1";"boil water ."
"9";"2";"measure correct amount of rice ."
"9";"3";"put rice in boiling water ."
"9";"4";"wait correct boiling time ."
"9";"5";"drain water ."
"9";"6";"put rice in bowl ."
"10";"1";"wash required amount of raw rice ."
"10";"2";"place rice in cooker ."
"10";"3";"place required amount of water in same container as rice ."
"10";"4";"plug in rice cooker and switch on plug ."
"10";"5";"rice is ready when cooker beeps (or other indication) ."
"11";"1";"put rice in rice cooker ."
"11";"2";"put 2/3 cup of water in rice cooker for each cup of rice ."
"11";"3";"close rice cooker ."
"11";"4";"turn on rice cooker ."
"12";"1";"fill a pan with water ."
"12";"2";"turn on the stove ."
"12";"3";"put the pan on the stove ."
"12";"4";"wait for the water to boil ."
"12";"5";"put some rice in the water ."
"12";"6";"turn the heat down low ."
"12";"7";"cover the pan ."
"13";"1";"measure out rice ."
"13";"2";"wash rice ."
"13";"3";"measure water ."
"13";"4";"turn on rice cooker ."
"14";"1";"place container of rice mixture in/on heat source ."
"15";"1";"get pan ."
"15";"2";"measure water ."
"15";"3";"put water in pan ."
"15";"4";"boil water ."
"15";"5";"add rice ."
"15";"6";"cover pan ."
"15";"7";"wait for rice to be done ."
"16";"1";"measure rice ."
"16";"2";"pour rice into pot ."
"16";"3";"measure water ."
"16";"4";"pour water into pot ."
"16";"5";"cover pot ."
"16";"6";"turn on stove ."
"16";"7";"set timer ."
"17";"1";"measure rice ."
"18";"1";"measure rice ."
"19";"1";"measure rice ."
"19";"2";"add water ."
"19";"3";"wash rice ."
"19";"4";"add water ."
"19";"5";"cover rice cooker ."
"19";"6";"turn rice cooker on ."
"20";"1";"measure rice ."
"20";"2";"add water ."
"20";"3";"wash rice ."
"20";"4";"add water ."
"20";"5";"cover rice cooker ."
"20";"6";"turn rice cooker on ."
"21";"1";"measure rice into strainer ."
"21";"2";"rinse rice ."
"21";"3";"measure water into pot ."
"21";"4";"heat water until boiling ."
"21";"5";"pour rinsed rice into pot ."
"21";"6";"cover pot with lid ."
"21";"7";"simmer until rice is cooked ."
"22";"1";"measure rice into strainer ."
"22";"2";"rinse rice ."
"22";"3";"measure water into pot ."
"22";"4";"heat water until boiling ."
"22";"5";"pour rinsed rice into pot ."
"22";"6";"cover pot with lid ."
"22";"7";"simmer until rice is cooked ."
"23";"1";"measure rice into strainer ."
"23";"2";"rinse rice ."
"23";"3";"measure water into pot ."
"23";"4";"heat water until boiling ."
"23";"5";"pour rinsed rice into pot ."
"23";"6";"cover pot with lid ."
"23";"7";"simmer until rice is cooked ."
"24";"1";"measure rice into strainer ."
"24";"2";"rinse rice ."
"24";"3";"measure water into pot ."
"24";"4";"heat water until boiling ."
"24";"5";"pour rinsed rice into pot ."
"24";"6";"cover pot with lid ."
"24";"7";"simmer until rice is cooked ."
"25";"1";"measure rice into strainer ."
"26";"1";"measure rice into strainer ."
"27";"1";"rinse rice ."
"27";"2";"measure water into pot ."
"27";"3";"heat water until boiling ."
"27";"4";"pour rinsed rice into pot ."
"27";"5";"cover pot with lid ."
"27";"6";"simmer until rice is cooked ."
"28";"1";"rinse rice ."
"28";"2";"measure water into pot ."
"28";"3";"heat water until boiling ."
"28";"4";"pour rinsed rice into pot ."
"28";"5";"cover pot with lid ."
"28";"6";"simmer until rice is cooked ."
"29";"1";"measure rice into strainer ."
"29";"2";"rinse rice ."
"29";"3";"measure water into pot ."
"29";"4";"heat water until boiling ."
"29";"5";"pour rinsed rice into pot ."
"29";"6";"cover pot with lid ."
"29";"7";"simmer until rice is cooked ."
"30";"1";"rinse rice ."
"30";"2";"place rice in rice cooker ."
"30";"3";"add water ."
"30";"4";"turn on rice cooker ."
