"1";"1";"put on children s music ."
"1";"2";"call the children over ."
"1";"3";"start dancing ."
"1";"4";"ask them to join ."
"2";"1";"turn on music ."
"2";"2";"dance to the music ."
"3";"1";"start music ."
"3";"2";"hold children by hands ."
"3";"3";"rotate slowly ."
"4";"1";"put on music ."
"4";"2";"get the children ."
"4";"3";"hold children hands ."
"5";"1";"get children ."
"5";"2";"play music ."
"5";"3";"holding children hands move to the music ."
"6";"1";"play music on stereo ."
"6";"2";"hold childrens  hands ."
"6";"3";"start rotating while children are following ."
"7";"1";"find the children ."
"7";"2";"ask the children to dance ."
"7";"3";"move your appendages and torso in a rhythmic motion ."
"8";"1";"pick a song to dance to with the children ."
"8";"2";"play the song ."
"8";"3";"choose a dance to do to the song ."
"8";"4";"begin to do the dance following its steps ."
"9";"1";"play music ."
"9";"2";"move around with children ."
"10";"1";"play music ."
"10";"2";"wear comfortable shoes ."
"10";"3";"get up from seat ."
"10";"4";"move to dance floor ."
"10";"5";"dance in rhythm ."
"10";"6";"stop dancing when music ends ."
"11";"1";"turn on music ."
"11";"2";"dance with children ."
"12";"1";"turn on music ."
"12";"2";"have children form circle ."
"12";"3";"invite children to dance ."
"13";"1";"play music ."
"13";"2";"move around to the beat ."
"14";"1";"turn on music ."
"14";"2";"make open space on the floor ."
"14";"3";"move your body to the music ."
"15";"1";"hold childrens hands ."
"15";"2";"dance and jump up and down ."
"16";"1";"take child s hands in yours ."
"16";"2";"hold up their hands in front of you ."
"16";"3";"and walk around slowly or dance ."
"17";"1";"play music ."
"17";"2";"go to dancefloor ."
"17";"3";"dance to music ."
"18";"1";"describe the dance ."
"18";"2";"teach the steps ."
"18";"3";"practice the steps ."
"19";"1";"describe the dance ."
"20";"1";"turn on the music ."
"21";"1";"teach the steps ."
"22";"1";"practice the steps to music ."
"23";"1";"practice the steps ."
"24";"1";"perform with the children ."
"25";"1";"turn on the music ."
"26";"1";"applause ."
"27";"1";"practice the steps to music ."
"27";"2";"perform with the children ."
"27";"3";"applause ."
"28";"1";"describe the dance ."
"28";"2";"teach the steps ."
"28";"3";"practice the steps ."
"28";"4";"turn on the music ."
"28";"5";"practice the steps to music ."
"28";"6";"perform with the children ."
"28";"7";"applause ."
"29";"1";"describe the dance ."
"29";"2";"teach the steps ."
"29";"3";"practice the steps ."
"29";"4";"turn on the music ."
"29";"5";"practice the steps to music ."
"29";"6";"perform with the children ."
"29";"7";"applause ."
"30";"1";"describe the dance ."
"30";"2";"teach the steps ."
"30";"3";"practice the steps ."
"30";"4";"turn on the music ."
"30";"5";"practice the steps to music ."
"30";"6";"perform with the children ."
"30";"7";"applause ."
"31";"1";"describe the dance ."
"31";"2";"teach the steps ."
"31";"3";"practice the steps ."
"31";"4";"turn on the music ."
"31";"5";"practice the steps to music ."
"31";"6";"perform with the children ."
"31";"7";"applause ."
"32";"1";"describe the dance ."
"32";"2";"teach the steps ."
"32";"3";"practice the steps ."
"32";"4";"turn on the music ."
"32";"5";"practice the steps to music ."
"32";"6";"perform with the children ."
"32";"7";"applause ."
"33";"1";"describe the dance ."
"33";"2";"teach the steps ."
"33";"3";"practice the steps ."
"33";"4";"turn on the music ."
"33";"5";"practice the steps to music ."
"33";"6";"perform with the children ."
"33";"7";"applause ."
"34";"1";"describe the dance ."
"34";"2";"teach the steps ."
"34";"3";"practice the steps ."
"34";"4";"turn on the music ."
"34";"5";"practice the steps to music ."
"34";"6";"perform with the children ."
"34";"7";"applause ."
"35";"1";"describe the dance ."
"35";"2";"teach the steps ."
"35";"3";"practice the steps ."
"35";"4";"turn on the music ."
"35";"5";"practice the steps to music ."
"35";"6";"perform with the children ."
"35";"7";"applause ."
"36";"1";"describe the dance ."
"36";"2";"teach the steps ."
"36";"3";"practice the steps ."
"36";"4";"turn on the music ."
"36";"5";"practice the steps to music ."
"36";"6";"perform with the children ."
"36";"7";"applause ."
"37";"1";"describe the dance ."
"37";"2";"teach the steps ."
"37";"3";"practice the steps ."
"37";"4";"turn on the music ."
"37";"5";"practice the steps to music ."
"37";"6";"perform with the children ."
"37";"7";"applause ."
"38";"1";"play music ."
"38";"2";"dance with children ."
"39";"1";"put music on ."
"39";"2";"make sure it is pleasant music ."
"39";"3";"let the child think fun ."
"39";"4";"let the child dance freely ."
"39";"5";"be patient ."
"39";"6";"show steps slowly ."
"39";"7";"have fun ."
"40";"1";"collect the children ."
"40";"2";"tell them about a dance ."
"40";"3";"prepare with stretches ."
"40";"4";"give each child a role in the dance ."
"40";"5";"begin practising ."
"40";"6";"practise on perfection ."
"40";"7";"complete the dance together ."
"41";"1";"turn on music ."
"41";"2";"move ."
