"1";"1";"move to window ."
"1";"2";"look for cord ."
"1";"3";"pull cord to close curtains ."
"2";"1";"find the rope for the curtains ."
"2";"2";"pull the rope in a direction which opens or closes the curtains ."
"3";"1";"go to window ."
"3";"2";"pull curtain cord ."
"4";"1";"find the curtains ."
"4";"2";"find the curtain cord which opens and closes the curtains ."
"4";"3";"pull the cord to draw the curtains ."
"5";"1";"walk to the windows with the curtains ."
"5";"2";"grab the strings to the side of the window ."
"5";"3";"pull them down ."
"6";"1";"locate the curtain cord ."
"6";"2";"give the curtain cord a short jerk downwards ."
"6";"3";"let the curtain cord glide through your hand as it rises ."
"7";"1";"locate the curtains to be drawn ."
"7";"2";"firmly but gently grasp the curtains to be drawn ."
"7";"3";"with a moderate amount of speed bring the two curtains together in the middle of the window ."
"7";"4";"release the curtains ."
"8";"1";"grasp the cord that is used to close the curtains with your hand ."
"8";"2";"pull in a downward motion ."
"8";"3";"curtains should close after pulling the cord downward ."
"9";"1";"undo the curtain clasp ."
"9";"2";"close the curtains ."
"10";"1";"for each curtain ."
"10";"2";"pull string so that curtains are up ."
"11";"1";"move to the curtains ."
"11";"2";"find the curtain pull cord ."
"11";"3";"pull the cord in the way that opens or closes the curtains ."
"12";"1";"locate the window with curtains ."
"12";"2";"gently pull back the curtains from the window ."
"12";"3";"secure the cutains to either side of the window ."
"13";"1";"grab curtains ."
"13";"2";"pull curtains ."
"14";"1";"go to curtains ."
"14";"2";"grab curtains ."
"14";"3";"pull curtains ."
"15";"1";"locate drawstring ."
"15";"2";"pull string to close curtains ."
"16";"1";"locate curtains ."
"16";"2";"pull curtains down ."
"17";"1";"approach curtains ."
"17";"2";"slide curtains along rod until windows are covered ."
"18";"1";"grab curtain string ."
"18";"2";"pull curtain string ."
"18";"3";"pull curtain string to the side to lock curtains in place ."
"19";"1";"find the drawstring ."
"19";"2";"pull it in the proper direction ."
"19";"3";"stop when it can go no further ."
"20";"1";"move to the window ."
"20";"2";"close the window ."
"20";"3";"lower the blinds ."
"20";"4";"draw the blinds ."
"20";"5";"close the curtains ."
"21";"1";"place curtain in hand ."
"21";"2";"pull curtain to side ."
"22";"1";"get pencil ."
"22";"2";"get paper ."
"22";"3";"draw curtains on paper ."
"23";"1";"walk to the window ."
"23";"2";"hold the edge of the curtain ."
"23";"3";"pull the curtain towards the middle of the window ."
"24";"1";"walk to the curtains ."
"24";"2";"grasp the curtain string ."
"24";"3";"pull the string ."
"25";"1";"pull curtain cord ."
"26";"1";"give medicine ."
"27";"1";"walk to the curtain ."
"27";"2";"find the string ."
"27";"3";"pull the string ."
"27";"4";"when it is at the desired height pull the string toward the center of the curtain ."
"27";"5";"let go ."
"28";"1";"locate the curtains ."
"28";"2";"determine whether they are open or closed ."
"28";"3";"if they are opened pull on the cord until they are closed ."
"28";"4";"if they are closed pull on the cord until they are opened ."
"29";"1";"go to window ."
"29";"2";"grab curtains ."
"29";"3";"pull open ."
"30";"1";"goto curtains ."
"30";"2";"draw curtains ."
"31";"1";"pull curtains ."
"31";"2";"it opens up ."
"32";"1";"grab onto curtain ."
"32";"2";"pull toward center of curtain rod ."
"32";"3";"repeat on other side ."
"33";"1";"grab onto curtain ."
"33";"2";"pull toward center of curtain rod ."
"33";"3";"repeat on other side ."
"34";"1";"grab onto curtain ."
"34";"2";"pull toward center of curtain rod ."
"34";"3";"repeat on other side ."
"35";"1";"grab onto curtain ."
"35";"2";"pull toward center of curtain rod ."
"35";"3";"repeat on other side ."
"36";"1";"pull the strings ."
"37";"1";"pull the strings ."
"38";"1";"pull the strings ."
"39";"1";"pull the strings ."
"40";"1";"pull the strings ."
"41";"1";"pull the strings ."
"42";"1";"walk ."
"42";"2";"draw curttian ."
"43";"1";"walk ."
"43";"2";"draw curttian ."
"44";"1";"walk ."
"44";"2";"draw curttian ."
"45";"1";"walk ."
"45";"2";"draw curttian ."
"46";"1";"walk ."
"46";"2";"draw curttian ."
"47";"1";"walk ."
"47";"2";"draw curttian ."
"48";"1";"locate cord or string at side of curtains ."
"48";"2";"pull cord or string ."
"48";"3";"make sure cord is not pulled to hard ."
"49";"1";"locate cord or string at side of curtains ."
"49";"2";"pull cord or string ."
"49";"3";"make sure cord is not pulled to hard ."
"50";"1";"open the curtains ."
"51";"1";"open the curtains ."
"52";"1";"open the curtains ."
"53";"1";"open the curtains ."
"54";"1";"open the curtains ."
