"1";"1";"put wet clothing in dryer ."
"1";"2";"close dryer door ."
"1";"3";"empty lint trap ."
"1";"4";"set timer ."
"1";"5";"start dryer ."
"2";"1";"remove clothes from washer ."
"2";"2";"put them into the dryer ."
"2";"3";"turn on the dryer ."
"3";"1";"put clothes into the dryer ."
"3";"2";"set and run the dryer ."
"4";"1";"take the clothes ."
"4";"2";"open the dryer ."
"4";"3";"put the clothes in the dryer ."
"4";"4";"close the dryer ."
"4";"5";"turn on the dryer ."
"5";"1";"open clothes drier ."
"5";"2";"put wet clothes in drier ."
"5";"3";"close clothes drier ."
"5";"4";"turn on clothes drier ."
"6";"1";"wait for washer to finish ."
"6";"2";"open washer door ."
"6";"3";"get laundry basket ."
"6";"4";"remove clothes from washer ."
"6";"5";"place clothes in laundry basket ."
"6";"6";"put clothes into dryer ."
"6";"7";"turn on dryer ."
"7";"1";"put wet clothes in dryer ."
"7";"2";"turn on dryer ."
"8";"1";"take clothes out of washer ."
"8";"2";"put clothes in dryer ."
"8";"3";"turn on the dryer ."
"8";"4";"allow clothes to dry for 50 minutes ."
"9";"1";"take clothes out of washer ."
"9";"2";"put clothes in dryer ."
"9";"3";"turn on the dryer ."
"9";"4";"allow clothes to dry for 50 minutes ."
"10";"1";"take clothes from washer ."
"10";"2";"put clothes into dryer ."
"10";"3";"turn knob ."
"10";"4";"push start ."
"10";"5";"take clothes out of dryer ."
"11";"1";"take clothes from washer ."
"11";"2";"put clothes into dryer ."
"11";"3";"turn knob ."
"11";"4";"push start ."
"11";"5";"take clothes out of dryer ."
"12";"1";"hang clothes ."
"12";"2";"wait to dry ."
"13";"1";"hang clothes ."
"13";"2";"wait to dry ."
"14";"1";"remove clothes from washing machine ."
"14";"2";"put wet clothes into laundry basket ."
"14";"3";"carry basket outdoors ."
"14";"4";"remove clothing items one at a time ."
"14";"5";"hang each item on clothesline ."
"14";"6";"secure each item with clothespins ."
"14";"7";"watch for rain ."
"15";"1";"open washing machine door ."
"15";"2";"remove damp clothes ."
"15";"3";"open dryer door ."
"15";"4";"place damp clothes in dryer ."
"15";"5";"close dryer door ."
"15";"6";"turn dial to '30 minutes' ."
"15";"7";"push 'start' button ."
"16";"1";"open washing machine door ."
"16";"2";"remove damp clothes ."
"16";"3";"open dryer door ."
"16";"4";"place damp clothes in dryer ."
"16";"5";"close dryer door ."
"16";"6";"turn dial to '30 minutes' ."
"16";"7";"push 'start' button ."
"17";"1";"take wet clothes from the washer ."
"17";"2";"place them into the dryer ."
"17";"3";"close the dryer door ."
"17";"4";"set the timer on dryer ."
"17";"5";"push button to start dryer ."
"18";"1";"hang on washing line ."
"18";"2";"keep eye out for rain ."
"19";"1";"place wet clothes in dryer ."
"19";"2";"choose dryer settings ."
"19";"3";"close dryer door ."
"19";"4";"push start ."
"19";"5";"wait until finished ."
"19";"6";"remove clothes ."
"20";"1";"hang clothes on string in backyard ."
"20";"2";"wait ."
"20";"3";"wait ."
"20";"4";"wait ."
"20";"5";"wait ."
"20";"6";"wait ."
"20";"7";"wait ."
"21";"1";"putting them in washer ."
"21";"2";"waiting until done ."
"21";"3";"taking them out of washer ."
"21";"4";"putting them in dryer ."
"21";"5";"turning dryer on ."
"21";"6";"letting dry ."
"21";"7";"taking them out of dryer ."
"22";"1";"remove clothes from washer ."
"22";"2";"hang wet clothes on close line ."
"22";"3";"wait until dry ."
"22";"4";"remove and fold ."
"23";"1";"remove clothes from washer ."
"23";"2";"hang wet clothes on close line ."
"23";"3";"wait until dry ."
"23";"4";"remove and fold ."
"24";"1";"remove clothes from washer ."
"24";"2";"hang wet clothes on close line ."
"24";"3";"wait until dry ."
"24";"4";"remove and fold ."
"25";"1";"remove clothes from washer ."
"25";"2";"hang wet clothes on close line ."
"25";"3";"wait until dry ."
"25";"4";"remove and fold ."
"26";"1";"take wet clothes out of washer ."
"27";"1";"take wet clothes out of washer ."
"28";"1";"take wet clothes out of washer ."
"29";"1";"go out side ."
"29";"2";"hang clothes on clothes line ."
"29";"3";"go inside and wait ."
"30";"1";"go out side ."
"30";"2";"hang clothes on clothes line ."
"30";"3";"go inside and wait ."
"31";"1";"go out side ."
"31";"2";"hang clothes on clothes line ."
"31";"3";"go inside and wait ."
"32";"1";"go out side ."
"32";"2";"hang clothes on clothes line ."
"32";"3";"go inside and wait ."
"33";"1";"go out side ."
"33";"2";"hang clothes on clothes line ."
"33";"3";"go inside and wait ."
"34";"1";"get wet clothes ."
"34";"2";"hang up clothes on clothes line ."
"35";"1";"get wet clothes ."
"35";"2";"hang up clothes on clothes line ."
"36";"1";"get wet clothes ."
"36";"2";"hang up clothes on clothes line ."
"37";"1";"get wet clothes ."
"37";"2";"hang up clothes on clothes line ."
"38";"1";"get wet clothes ."
"38";"2";"hang up clothes on clothes line ."
"39";"1";"get wet clothes ."
"39";"2";"hang up clothes on clothes line ."
"40";"1";"take wet clothes out of washer ."
"40";"2";"open dryer cover/door ."
"40";"3";"put wet clothes in ."
"40";"4";"pick up ones that fell on floor ."
"40";"5";"close dryer cover/door ."
"40";"6";"turn dial to prefered setting ."
"40";"7";"push start button ."
"41";"1";"take wet clothes out of washer ."
"41";"2";"open dryer cover/door ."
"41";"3";"put wet clothes in ."
"41";"4";"pick up ones that fell on floor ."
"41";"5";"close dryer cover/door ."
"41";"6";"turn dial to prefered setting ."
"41";"7";"push start button ."
"42";"1";"put wet clothes into dryer ."
"42";"2";"put in dryer cloth ."
"43";"1";"put wet clothes in dryer ."
"43";"2";"turn on dryer ."
