"1";"1";"playing with toys ."
"1";"2";"singing songs ."
"1";"3";"reading books ."
"1";"4";"going to zoo ."
"1";"5";"going to playgrounds ."
"1";"6";"eating ice-cream ."
"1";"7";"watching childrens programs ."
"2";"1";"get to know what the children think is interesting ."
"2";"2";"think of a related activity that involves what they are interested in ."
"2";"3";"do the activity with the children ."
"3";"1";"consider appropriate entertainment ."
"3";"2";"involve children in fun activities ."
"3";"3";"tell children a story ."
"3";"4";"dance with the children ."
"3";"5";"make sure children are properly fed ."
"3";"6";"make sure children are properly rested ."
"4";"1";"thinking of something that will make children happy and get their attention ."
"4";"2";"performing actions previously thought up ."
"5";"1";"get children attention ."
"5";"2";"perform some activity that makes children laugh ."
"6";"1";"find out what the children like to do ."
"6";"2";"play with the children ."
"7";"1";"call children ."
"7";"2";"tell story to children ."
"8";"1";"smile ."
"8";"2";"fidget a great deal ."
"8";"3";"incite them to follow ."
"9";"1";"gather children ."
"9";"2";"tell story ."
"9";"3";"stop and ask children what they think will happen in the story ."
"9";"4";"continue with story ."
"10";"1";"choose a game to play with the children ."
"10";"2";"open the game box ."
"10";"3";"read the rules of the game ."
"10";"4";"set up the game board ."
"10";"5";"set up the game pieces ."
"10";"6";"begin to play the game with the children ."
"11";"1";"set the children down in front of you ."
"11";"2";"get a joke book ."
"11";"3";"read the children the jokes in the book ."
"11";"4";"make different voices for the characters in the jokes ."
"12";"1";"find children to be entertained ."
"12";"2";"determine method of entertainment ."
"12";"3";"get childrens attention ."
"12";"4";"entertain child with method selected ."
"13";"1";"turn on the tv ."
"13";"2";"find a kids show ."
"13";"3";"pop kids some popcorn ."
"14";"1";"play a toy ."
"14";"2";"sing a song ."
"15";"1";"gather all the children ."
"15";"2";"sing a song to them ."
"16";"1";"determine how old the children are ."
"16";"2";"find out what interests each child ."
"16";"3";"prepare activity for each child ."
"16";"4";"do activity with each child ."
"16";"5";"repeat steps 3 and 4 for each activity ."
"17";"1";"sing a kids  song ."
"18";"1";"goto children ."
"18";"2";"make children laugh ."
"19";"1";"give food ."
"19";"2";"games ."
"19";"3";"computer ."
"19";"4";"play ."
"19";"5";"park ."
"19";"6";"bowling ."
"19";"7";"swimming ."
"20";"1";"act goofy ."
"20";"2";"tell appropriate stories and jokes ."
"20";"3";"listen to them when they talk ."
"20";"4";"speak to them like adults dont be condescending ."
"20";"5";"occasionally give each child a verbal stroke ."
"21";"1";"act goofy ."
"21";"2";"tell appropriate stories and jokes ."
"21";"3";"listen to them when they talk ."
"21";"4";"speak to them like adults dont be condescending ."
"21";"5";"occasionally give each child a verbal stroke ."
"22";"1";"act goofy ."
"22";"2";"tell appropriate stories and jokes ."
"22";"3";"listen to them when they talk ."
"22";"4";"speak to them like adults dont be condescending ."
"22";"5";"occasionally give each child a verbal stroke ."
"23";"1";"act goofy ."
"23";"2";"tell appropriate stories and jokes ."
"23";"3";"listen to them when they talk ."
"23";"4";"speak to them like adults dont be condescending ."
"23";"5";"occasionally give each child a verbal stroke ."
"24";"1";"act goofy ."
"24";"2";"tell appropriate stories and jokes ."
"24";"3";"listen to them when they talk ."
"24";"4";"speak to them like adults dont be condescending ."
"24";"5";"occasionally give each child a verbal stroke ."
"25";"1";"act goofy ."
"25";"2";"tell appropriate stories and jokes ."
"25";"3";"listen to them when they talk ."
"25";"4";"speak to them like adults dont be condescending ."
"25";"5";"occasionally give each child a verbal stroke ."
"26";"1";"make faces ."
"26";"2";"tell jokes kids like ."
"26";"3";"be silly and goofy ."
"26";"4";"talk to kids like adults ."
"26";"5";"side with them against elders ."
"27";"1";"take out a game ."
"27";"2";"open game box ."
"27";"3";"read instructions ."
"27";"4";"give game pieces to each child ."
"27";"5";"take turns according to the directions ."
"27";"6";"play to end of game ."
"27";"7";"congratdulate the winner ."
"28";"1";"take out a game ."
"28";"2";"open game box ."
"28";"3";"read instructions ."
"28";"4";"give game pieces to each child ."
"28";"5";"take turns according to the directions ."
"28";"6";"play to end of game ."
"28";"7";"congratdulate the winner ."
"29";"1";"take out a game ."
"29";"2";"open game box ."
"29";"3";"read instructions ."
"29";"4";"give game pieces to each child ."
"29";"5";"take turns according to the directions ."
"29";"6";"play to end of game ."
"29";"7";"congratdulate the winner ."
