"1";"1";"pick up baby ."
"1";"2";"place baby in baby chair ."
"1";"3";"find baby food jar ."
"1";"4";"open baby food jar ."
"1";"5";"find spoon ."
"1";"6";"place spoon in jar fill with food ."
"1";"7";"place spoon in baby s mouth ."
"2";"1";"find baby food ."
"2";"2";"open baby food ."
"2";"3";"obtain a baby spoon ."
"2";"4";"hand feed the baby the baby food ."
"3";"1";"put infant on seat ."
"3";"2";"get food ."
"3";"3";"give food to infant ."
"3";"4";"wipe infant s mouth ."
"4";"1";"warm milk ."
"4";"2";"put milk into bottle ."
"4";"3";"give bottle to child ."
"5";"1";"warm up food ."
"5";"2";"give food to infant ."
"6";"1";"warm up milk ."
"6";"2";"pour milk in bottle ."
"6";"3";"hold infant in your arms ."
"6";"4";"tilt bottle so that infant can eat from it ."
"7";"1";"warm up milk ."
"7";"2";"put milk into milk bottle ."
"7";"3";"give bottle to infant ."
"7";"4";"tilt bottle so that infant can suck on it ."
"8";"1";"get infant s food ."
"8";"2";"get an infant spoon ."
"8";"3";"move to the infant ."
"8";"4";"feed the infant s food to it with the infant spoon ."
"9";"1";"locate a hungry infant ."
"9";"2";"locate baby formula ."
"9";"3";"prepare baby formula according to directions ."
"9";"4";"place forumla in a baby bottle ."
"9";"5";"utilize bottle to feed formula to infant ."
"10";"1";"locate baby formula ."
"10";"2";"properly prepare baby formula according to directions ."
"10";"3";"heat baby formula to proper temperature ."
"10";"4";"serve formula to infant ."
"11";"1";"get a bottle of milk ."
"11";"2";"heat the bottle of milk on the stove ."
"11";"3";"let the milk cool off for a few minutes ."
"11";"4";"put the nipple of the bottle in the infant s mouth ."
"11";"5";"wait for the infant to have drunk all the milk ."
"12";"1";"get a bottle ."
"12";"2";"fill the bottle with milk ."
"12";"3";"warm the bottle ."
"12";"4";"determine the bottle to be a safe temperature ."
"12";"5";"give the bottle to the infant ."
"13";"1";"obtain food for the infant ."
"13";"2";"prepare food for the infant ."
"13";"3";"give food to infant ."
"14";"1";"locate infant ."
"14";"2";"locate food ."
"14";"3";"get food ."
"14";"4";"bring to infant location ."
"14";"5";"put food in/on dispenser ."
"14";"6";"place in infants mouth ."
"15";"1";"put infant in high chair ."
"15";"2";"put bib on infant ."
"15";"3";"open food ."
"15";"4";"feed infant with spoon ."
"16";"1";"heat water ."
"16";"2";"mix in milk ."
"16";"3";"close bottle ."
"16";"4";"give bottle to baby ."
"17";"1";"hold the infant ."
"17";"2";"elevate his head ."
"17";"3";"put nipple on the side of his mouth ."
