"1";"1";"go to the garage ."
"1";"2";"open up the door ."
"1";"3";"take the out the ladder ."
"1";"4";"lean it against the wall ."
"2";"1";"look for a ladder ."
"2";"2";"move to the ladder s location ."
"2";"3";"pick up the ladder ."
"2";"4";"return to your original location ."
"3";"1";"go to where ladder is located ."
"3";"2";"pick up ladder ."
"3";"3";"carefully carry ladder to where it was requested ."
"4";"1";"locate ladder ."
"4";"2";"walk to ladder ."
"4";"3";"pick up ladder ."
"4";"4";"walk with ladder to desired location ."
"5";"1";"locate ladder ."
"5";"2";"go to ladder ."
"5";"3";"pick up ladder ."
"5";"4";"bring ladder to person ."
"6";"1";"find the ladder ."
"6";"2";"pick up the ladder ."
"6";"3";"bring the ladder to wherever you re going to use it ."
"7";"1";"find the ladder ."
"7";"2";"pick up the ladder ."
"7";"3";"bring the ladder to wherever you re going to use it ."
"8";"1";"find the ladder ."
"8";"2";"pick up the ladder ."
"8";"3";"bring the ladder to wherever you re going to use it ."
"9";"1";"find the ladder ."
"9";"2";"pick up the ladder ."
"9";"3";"bring the ladder to wherever you re going to use it ."
"10";"1";"find the ladder ."
"10";"2";"pick up the ladder ."
"10";"3";"bring the ladder to wherever you re going to use it ."
"11";"1";"find the ladder ."
"11";"2";"pick up the ladder ."
"11";"3";"bring the ladder to wherever you re going to use it ."
"12";"1";"know location of ladder ."
"12";"2";"pick up ladder ."
"12";"3";"carry to desired location ."
"13";"1";"know location of ladder ."
"13";"2";"pick up ladder ."
"13";"3";"carry to desired location ."
"14";"1";"know location of ladder ."
"14";"2";"pick up ladder ."
"14";"3";"carry to desired location ."
"15";"1";"go to garage ."
"15";"2";"open garage door ."
"15";"3";"locate ladder ."
"15";"4";"remove ladder from hooks ."
"15";"5";"exit garage with ladder ."
"15";"6";"close garage door ."
"15";"7";"bring ladder to where it is needed ."
"16";"1";"go to garage ."
"16";"2";"open garage door ."
"16";"3";"locate ladder ."
"16";"4";"remove ladder from hooks ."
"16";"5";"exit garage with ladder ."
"16";"6";"close garage door ."
"16";"7";"bring ladder to where it is needed ."
"17";"1";"go to where the ladder is stored ."
"17";"2";"get the ladder ."
"18";"1";"go to the garage ."
"18";"2";"pcik up the ladder ."
"18";"3";"bring it back ."
"19";"1";"find lader ."
"19";"2";"pick up lader ."
"19";"3";"take ladder to where required ."
"20";"1";"go to the backyard ."
"20";"2";"open the shed ."
"20";"3";"grab the ladder off the hook ."
"21";"1";"find location of ladder ."
"21";"2";"pick up ladder ."
"21";"3";"bring ladder to desired location ."
"22";"1";"find ladder ."
"22";"2";"pick up ladder ."
"22";"3";"carry ladder ."
"23";"1";"find ladder ."
"24";"1";"find ladder ."
"25";"1";"find ladder ."
"26";"1";"find ladder ."
"27";"1";"find ladder ."
"28";"1";"find ladder ."
"29";"1";"decide range of height ."
"29";"2";"get right size ladder ."
"29";"3";"place ladder firmly ."
"29";"4";"have someone around to help ."
"29";"5";"carry ladder to destination ."
"29";"6";"be careful ."
"29";"7";"work together ."
"30";"1";"go to garage ."
"30";"2";"open garage door ."
"30";"3";"grab ladder off rack ."
"30";"4";"bring to necessary location ."
"31";"1";"go to garage ."
"31";"2";"open garage door ."
"31";"3";"grab ladder off rack ."
"31";"4";"bring to necessary location ."
"32";"1";"go to garage ."
"32";"2";"open garage door ."
"32";"3";"grab ladder off rack ."
"32";"4";"bring to necessary location ."
"33";"1";"find a ladder ."
"33";"2";"pick up the ladder ."
"33";"3";"put down the ladder where needed ."
"34";"1";"go to neighbours house ."
"34";"2";"ask if i could borrow his ladder ."
"34";"3";"take ladder home ."
"34";"4";"setup ladder ."
"35";"1";"go to neighbours house ."
"35";"2";"ask if i could borrow his ladder ."
"35";"3";"take ladder home ."
"35";"4";"setup ladder ."
"36";"1";"go to garage ."
"36";"2";"get ladder ."
"36";"3";"bring ladder back into house ."
"37";"1";"go to garage ."
"37";"2";"get ladder ."
"37";"3";"bring ladder back into house ."
"38";"1";"look for ladder ."
"38";"2";"pick up ladder ."
"38";"3";"carry ladder ."
"39";"1";"get ladder ."
"39";"2";"place ladder against wall ."
