"1";"1";"find a clock or watch ."
"1";"2";"say the time ."
"2";"1";"find a watch or clock ."
"2";"2";"read the time from the watch or clock ."
"3";"1";"find a clock or watch ."
"3";"2";"read the time from the clock or watch ."
"4";"1";"look at the watch/clock/computer ."
"4";"2";"read the time displayed on it ."
"5";"1";"try to schedule better activities ."
"6";"1";"check your calendar ."
"6";"2";"change appointments if necessary ."
"7";"1";"treat the task as an appointment ."
"7";"2";"place task in your  appointment book for a specific time ."
"7";"3";"do task at that time ."
"8";"1";"get calendar ."
"8";"2";"find a time slot for activity ."
"8";"3";"move around other appoinements ."
"9";"1";"turn on the tv ."
"9";"2";"change the channel to one which shows the time ."
"9";"3";"take note of the time ."
"10";"1";"find a person s watch ."
"10";"2";"look at the face of the watch to see the time ."
"11";"1";"find an electrical appliance with a clock ."
"11";"2";"move to the appliance ."
"11";"3";"read the time from the appliance s clock ."
"12";"1";"look at schedule ."
"12";"2";"determine available time slots ."
"12";"3";"schedule desired activity in available slot ."
"13";"1";"find a time keeping device ."
"13";"2";"look at the device ."
"14";"1";"look at the watch ."
"15";"1";"check the clock ."
"16";"1";"find a clock ."
"16";"2";"look at it ."
"17";"1";"arrange your time schedule ."
"17";"2";"then find the time ."
"18";"1";"look at a clock ."
"19";"1";"check a clock ."
"19";"2";"report the time ."
"20";"1";"find a clock ."
"20";"2";"interpret the clock ."
"20";"3";"report the time ."
"21";"1";"find a clock ."
"21";"2";"interpret the clock ."
"21";"3";"report the time ."
"22";"1";"nothing ."
"23";"1";"figure out what is scheduled ."
"23";"2";"identify empty slots ."
"24";"1";"look at watch or clock ."
"24";"2";"read the time ."
"25";"1";"identify things to do ."
"25";"2";"assign timeslots to accomplish things to do ."
"25";"3";"identify open time slots ."
"26";"1";"find a watch or clock ."
"26";"2";"read the time ."
"27";"1";"look for a clock ."
"27";"2";"note the time ."
"27";"3";"decide what chores can be put off a bit ."
"27";"4";"decide what chores can be skipped entirely ."
"27";"5";"figure out if this gives you enough time to do 'x' ."
"28";"1";"look for a clock ."
"28";"2";"note the time ."
"28";"3";"decide what chores can be put off a bit ."
"28";"4";"decide what chores can be skipped entirely ."
"28";"5";"figure out if this gives you enough time to do 'x' ."
"29";"1";"look for a clock ."
"29";"2";"note the time ."
"29";"3";"decide what chores can be put off a bit ."
"29";"4";"decide what chores can be skipped entirely ."
"29";"5";"figure out if this gives you enough time to do 'x' ."
"30";"1";"look for a clock ."
"30";"2";"note the time ."
"30";"3";"decide what chores can be put off a bit ."
"30";"4";"decide what chores can be skipped entirely ."
"30";"5";"figure out if this gives you enough time to do 'x' ."
"31";"1";"look for a clock ."
"31";"2";"note the time ."
"31";"3";"decide what chores can be put off a bit ."
"31";"4";"decide what chores can be skipped entirely ."
"31";"5";"figure out if this gives you enough time to do 'x' ."
"32";"1";"look for a clock ."
"32";"2";"note the time ."
"32";"3";"decide what chores can be put off a bit ."
"32";"4";"decide what chores can be skipped entirely ."
"32";"5";"figure out if this gives you enough time to do 'x' ."
"33";"1";"look for a clock ."
"33";"2";"note the time ."
"33";"3";"decide what chores can be put off a bit ."
"33";"4";"decide what chores can be skipped entirely ."
"33";"5";"figure out if this gives you enough time to do 'x' ."
"34";"1";"look for a clock ."
"34";"2";"note the time ."
"34";"3";"decide what chores can be put off a bit ."
"34";"4";"decide what chores can be skipped entirely ."
"34";"5";"figure out if this gives you enough time to do 'x' ."
"35";"1";"look for a clock ."
"35";"2";"note the time ."
"35";"3";"decide what chores can be put off a bit ."
"35";"4";"decide what chores can be skipped entirely ."
"35";"5";"figure out if this gives you enough time to do 'x' ."
"36";"1";"look for a clock ."
"36";"2";"note the time ."
"36";"3";"decide what chores can be put off a bit ."
"36";"4";"decide what chores can be skipped entirely ."
"36";"5";"figure out if this gives you enough time to do 'x' ."
"37";"1";"look for a clock ."
"37";"2";"note the time ."
"37";"3";"decide what chores can be put off a bit ."
"37";"4";"decide what chores can be skipped entirely ."
"37";"5";"figure out if this gives you enough time to do 'x' ."
"38";"1";"look for a clock ."
"38";"2";"note the time ."
"38";"3";"decide what chores can be put off a bit ."
"38";"4";"decide what chores can be skipped entirely ."
"38";"5";"figure out if this gives you enough time to do 'x' ."
"39";"1";"look for a clock ."
"39";"2";"note the time ."
"39";"3";"decide what chores can be put off a bit ."
"39";"4";"decide what chores can be skipped entirely ."
"39";"5";"figure out if this gives you enough time to do 'x' ."
"40";"1";"look for a clock ."
"40";"2";"note the time ."
"40";"3";"decide what chores can be put off a bit ."
"40";"4";"decide what chores can be skipped entirely ."
"40";"5";"figure out if this gives you enough time to do 'x' ."
"41";"1";"look for a clock ."
"41";"2";"note the time ."
"41";"3";"decide what chores can be put off a bit ."
"41";"4";"decide what chores can be skipped entirely ."
"41";"5";"figure out if this gives you enough time to do 'x' ."
"42";"1";"thinking about all obligations ."
"42";"2";"stop current activity ."
"42";"3";"find the time ."
"43";"1";"find a clock ."
"43";"2";"look at time ."
"44";"1";"find a clock ."
"44";"2";"look at time ."
"45";"1";"looking at watch ."
"46";"1";"looking at watch ."
"47";"1";"looking at watch ."
"48";"1";"check the clock ."
"48";"2";"relay the time ."
"49";"1";"check the clock ."
"49";"2";"relay the time ."
"50";"1";"find clock ."
"50";"2";"look at clock ."
"50";"3";"take note of the time ."
"50";"4";"tell requester the time ."
"51";"1";"find a clock ."
"51";"2";"check the time ."
