"1";"1";"go to the place where medicine is kept ."
"1";"2";"identify the appropriate medicine ."
"1";"3";"if it is in a container open the container ."
"1";"4";"dispense the appropriate amount ."
"2";"1";"determine what medicine is needed ."
"2";"2";"determine how much medicine is needed ."
"2";"3";"get the medicine from the bottle ."
"2";"4";"have the person take the medicine ."
"3";"1";"acquiring the medicine ."
"3";"2";"determining the proper dosage ."
"3";"3";"administering the dose ."
"4";"1";"find a medicine ."
"4";"2";"find a person ."
"4";"3";"measure a dose of the medicine into a spoon ."
"4";"4";"pour the medicine from the spoon into the person s mouth ."
"5";"1";"read the instructions on the medicine ."
"5";"2";"remove the correct dosage from the bottle or box ."
"5";"3";"give the dose to the patient ."
"5";"4";"put away the medicine ."
"6";"1";"read instructions for dosage ."
"6";"2";"open medicine container ."
"6";"3";"take out the right amount of medicine ."
"6";"4";"give it to the person taking the medicine ."
"6";"5";"make sure the person takes the medicine ."
"7";"1";"get medicine ."
"7";"2";"get water ."
"7";"3";"give them to person ."
"8";"1";"get glass of water ."
"8";"2";"get medicine ."
"8";"3";"give water and medicine to person ."
"9";"1";"get medicine ."
"9";"2";"get glass of water ."
"9";"3";"take medicine out of container ."
"9";"4";"give medicine and water to person ."
"10";"1";"get medicine ."
"10";"2";"pour water in cup ."
"10";"3";"bring medicine and water to person ."
"11";"1";"go to medicine cabinet ."
"11";"2";"remove medicine ."
"11";"3";"get cup of water ."
"11";"4";"take medicine and water to person ."
"12";"1";"read the label ."
"12";"2";"measure the correct dose ."
"12";"3";"administer the dose ."
"12";"4";"put the medicine away in a child proof place ."
"13";"1";"go to medicine cabinet ."
"13";"2";"remove medicine from cabinet ."
"13";"3";"get medicine dose from medicine bottle ."
"13";"4";"get water ."
"13";"5";"give water and pills to person ."
"14";"1";"find out what medicine ."
"14";"2";"aquire medicine ."
"14";"3";"bring to individual ."
"15";"1";"reading label on medicine to get directions ."
"15";"2";"open medicine ."
"15";"3";"dispense amount necessary ."
"15";"4";"give medicine to recipient ."
"15";"5";"close medicine ."
"15";"6";"put medicine away ."
"16";"1";"find medicine ."
"16";"2";"give medicine to correct person ."
"16";"3";"watch while person takes medicine ."
"17";"1";"take out medicine ."
"17";"2";"open medicine container ."
"17";"3";"follow directions for proper dose ."
"18";"1";"find medicine to be given ."
"18";"2";"pick up medicine container ."
"18";"3";"open medicine container ."
"18";"4";"remove appropriate amount of medicine ."
"18";"5";"close medicine container ."
"18";"6";"put down medicine container ."
"18";"7";"give medicine to appropriate person ."
"19";"1";"pour out correct dosage ."
"19";"2";"administer dosage to patient ."
"20";"1";"identify medicine ."
"20";"2";"remove medicine from container ."
"20";"3";"obtain a cup of water ."
"20";"4";"give medicine and water to patient ."
"21";"1";"measure out medicine ."
"21";"2";"give to patient ."
"22";"1";"read label ."
"22";"2";"open bottle ."
"22";"3";"measure dosage ."
"23";"1";"read directions on medicine container ."
"23";"2";"measure or count appropriate dose for the patient ."
"23";"3";"give as directed on container ."
"24";"1";"read directions on medicine container ."
"24";"2";"measure or count appropriate dose for the patient ."
"24";"3";"give as directed on container ."
"25";"1";"read directions on medicine container ."
"25";"2";"measure or count appropriate dose for the patient ."
"25";"3";"give as directed on container ."
"26";"1";"look for correct medicine ."
"26";"2";"check dosage on bottle ."
"26";"3";"take out correct number of pills per dosage ."
"26";"4";"get a glass of water ."
"26";"5";"give pills and glass of water to patient ."
"26";"6";"ask patient to use water to swallow pills ."
"27";"1";"push down and turn the cap ."
"27";"2";"take off the cap ."
"27";"3";"read the bottle for the required dosage ."
"27";"4";"remove the required number of pills ."
"27";"5";"give the pills to the person ."
"27";"6";"put the cap back on ."
"28";"1";"get medicine ."
"28";"2";"open medicine ."
"28";"3";"give medcine ."
"29";"1";"locate medicine ."
"29";"2";"pick up medicine ."
"29";"3";"give medicine to person ."
"30";"1";"locate medicine ."
"30";"2";"pick up medicine ."
"30";"3";"give medicine to person ."
"31";"1";"determine proper dosage ."
"31";"2";"measure medicine ."
"31";"3";"give medicine to patient ."
"32";"1";"read instructions ."
"32";"2";"measure proper amount ."
"32";"3";"give to person ."
"32";"4";"give person water ."
"33";"1";"read instructions ."
"33";"2";"open container ."
"33";"3";"measure out doses ."
"33";"4";"take medicine ."
"34";"1";"read instructions ."
"34";"2";"open container ."
"34";"3";"measure out doses ."
"34";"4";"take medicine ."
"35";"1";"read instructions ."
"35";"2";"open container ."
"35";"3";"measure out doses ."
"35";"4";"take medicine ."
"36";"1";"read instructions ."
"36";"2";"open container ."
"36";"3";"measure out doses ."
"36";"4";"take medicine ."
"37";"1";"read instructions ."
"37";"2";"read instructions ."
"37";"3";"open container ."
"37";"4";"measure out doses ."
"37";"5";"take medicine ."
"37";"6";"open container ."
"37";"7";"measure out doses ."
"37";"8";"take medicine ."
"38";"1";"read instructions ."
"38";"2";"open container ."
"38";"3";"measure out doses ."
"38";"4";"take medicine ."
"39";"1";"read instructions ."
"39";"2";"open container ."
"39";"3";"measure out doses ."
"39";"4";"take medicine ."
"40";"1";"read instructions ."
"40";"2";"open container ."
"40";"3";"measure out doses ."
"40";"4";"take medicine ."
"41";"1";"read bottle to determine proper dosage ."
"41";"2";"open bottle and remove that amount ."
"41";"3";"place medication in person s mouth ."
"41";"4";"have them wash it down with a drink of water ."
"41";"5";"replace the lid on the medication ."
"42";"1";"walk ."
"42";"2";"find ."
"42";"3";"read ."
"42";"4";"give medicine ."
"43";"1";"walk ."
"43";"2";"find ."
"43";"3";"read ."
"43";"4";"give medicine ."
"44";"1";"walk ."
"44";"2";"find ."
"44";"3";"read ."
"44";"4";"give medicine ."
"45";"1";"walk ."
"45";"2";"find ."
"45";"3";"read ."
"45";"4";"give medicine ."
"46";"1";"walk ."
"46";"2";"find ."
"46";"3";"read ."
"46";"4";"give medicine ."
"47";"1";"walk ."
"47";"2";"find ."
"47";"3";"read ."
"47";"4";"give medicine ."
"48";"1";"giove medicine ."
"49";"1";"walk towards medicine cabinet ."
"49";"2";"open cabinet door ."
"49";"3";"take the medicine ."
"49";"4";"open medicine cap ."
"49";"5";"take medicine ."
"49";"6";"done ."
"50";"1";"open the medicine ."
"50";"2";"take what is needed ."
"51";"1";"tale the medicine ."
"51";"2";"hand the mdecine ."
"52";"1";"tale the medicine ."
"52";"2";"hand the mdecine ."
"53";"1";"tale the medicine ."
"53";"2";"hand the mdecine ."
"54";"1";"tale the medicine ."
"54";"2";"hand the mdecine ."
"55";"1";"obtain medicine ."
"55";"2";"dispense proper dosage ."
"56";"1";"obtain medicine ."
"56";"2";"dispense proper dosage ."
"57";"1";"open medicine container ."
"57";"2";"read directions on container ."
"57";"3";"give patient medicine as directed ."
"57";"4";"give patient a glass of water ."
"57";"5";"close medicine ."
"58";"1";"go to medicine cabinet ."
"58";"2";"get medicine ."
"58";"3";"take out a pill ."
"58";"4";"give pill to patient ."
"59";"1";"take bottle ."
"59";"2";"open bottle ."
"59";"3";"give the medicine ."
