"1";"1";"secure all exits ."
"1";"2";"secure yard ."
"2";"1";"move to doors ."
"2";"2";"lock doors ."
"2";"3";"listen for alarm ."
"3";"1";"listen for unusual sounds from outside the house ."
"3";"2";"look out of windows for unusual movements ."
"4";"1";"watch all windows and doors ."
"4";"2";"ensure that no one gets into or out of the house that should not be entering or leaving ."
"4";"3";"take appropriate action if there is a problem ."
"5";"1";"secure all doors ."
"5";"2";"secure all windows ."
"5";"3";"secure the perimeter of the house ."
"5";"4";"do not allow unrecognized persons on the property ."
"5";"5";"do not allow unrecognized animals on the property ."
"5";"6";"watch for any suspicious activity ."
"6";"1";"watch over the house ."
"7";"1";"watch front door ."
"7";"2";"watch windows ."
"7";"3";"listen for any signs of intruders ."
"8";"1";"watch front door ."
"8";"2";"listen for intruders ."
"9";"1";"looking for suspicious activity ."
"9";"2";"preventing unauthorized access to the house ."
"10";"1";"lock windows ."
"10";"2";"lock doors ."
"10";"3";"patrol entrances ."
"10";"4";"check inhabitants ."
"11";"1";"find confortable spot ."
"11";"2";"watch for unusual signs ."
"12";"1";"detect all entries into house ."
"12";"2";"watch all entries into house ."
"13";"1";"watch entries into house ."
"13";"2";"if there is noise in some part of house do a close inspection ."
"14";"1";"identify house ."
"14";"2";"watch from good vantage point ."
"14";"3";"identify weapon ."
"14";"4";"use weapon to defend house ."
"15";"1";"determine boundaries of the house ."
"15";"2";"stop unauthorized persons from crossing boundaries ."
"16";"1";"buy a guard dog ."
"16";"2";"train it to attack intruders ."
"16";"3";"let the dog roam the house at night ."
"17";"1";"hire a guard ."
"17";"2";"post the guard ."
"18";"1";"stand where you have a good view ."
"18";"2";"observe everywhere around the house ."
"19";"1";"lock the doors ."
"19";"2";"close the windows ."
"19";"3";"make sure some lights are on ."
"19";"4";"tell visitors to go away ."
"19";"5";"listen for unusual sounds ."
"19";"6";"bark if anyone comes up to the house ."
"19";"7";"unlock the door for the owner ."
"20";"1";"be attentive ."
"20";"2";"be alert ."
"20";"3";"be equipped with weapons ."
"20";"4";"keep watch on strangers ."
"20";"5";"keep the door shut ."
"21";"1";"roam around the house ."
"21";"2";"check if theres no suspicious person ."
"22";"1";"always watch the house ."
"22";"2";"dont fall asleep ."
"23";"1";"go outside the house ."
"23";"2";"walk around house ."
"23";"3";"watch for suspicious activity ."
"24";"1";"close the doors ."
"24";"2";"lock the doors ."
"24";"3";"close the windows ."
"24";"4";"lock the windows ."
"24";"5";"look for intruders ."
"24";"6";"sound an alarm if intruders are seen ."
"25";"1";"lock the doors and windows ."
"25";"2";"stay at the house ."
"25";"3";"observe the house ."
"25";"4";"call the police if there is an intrusion ."
"26";"1";"get a dog ."
"27";"1";"lock all the door ."
"27";"2";"stay alert for any suspicious activity ."
"28";"1";"lock the windows ."
"28";"2";"lock the doors ."
"29";"1";"walk around house ."
"29";"2";"look for intruders ."
"30";"1";"put security cameras around the perimeter of the house ."
"30";"2";"monitor the video from the cameras ."
"30";"3";"stop all intruders ."
"30";"4";"have unknown visitors identify themselves ."
"31";"1";"lock the doors ."
"31";"2";"set the alarm ."
"31";"3";"watch for prowlers ."
"32";"1";"turn on security camera ."
"33";"1";"grab gun ."
"33";"2";"survey all doors and windows and lock all ."
"33";"3";"patrol house ."
"33";"4";"turn on alarm system ."
"34";"1";"lock the door ."
"34";"2";"shut the windows ."
"35";"1";"lock the door ."
"35";"2";"shut the windows ."
