"1";"1";"lay out clothes flat ."
"1";"2";"iron them ."
"2";"1";"place clothes on ironing board one at a time ."
"2";"2";"make sure clothes lay flat against ironing board ."
"2";"3";"plug in iron ."
"2";"4";"wait for iron to heat ."
"2";"5";"once heated run iron across clothes slowly ."
"3";"1";"get clothes ."
"3";"2";"get iron ."
"3";"3";"get ironing board ."
"3";"4";"iron one piece of cloth at a time ."
"3";"5";"put it away ."
"4";"1";"plug in the iron ."
"4";"2";"wait until the iron is hot ."
"4";"3";"put the clothes on the ironing board ."
"4";"4";"push and slide the iron on the clothes ."
"4";"5";"put down the iron ."
"4";"6";"take the clothes away from the ironing board ."
"4";"7";"unplug the iron ."
"5";"1";"get clothes from dryer ."
"5";"2";"plug in iron ."
"5";"3";"turn on iron ."
"5";"4";"move iron over clothing until the wrinkles are gone ."
"5";"5";"repeat for all clothing ."
"5";"6";"turn off iron ."
"5";"7";"unplug iron ."
"6";"1";"plug in the iron ."
"6";"2";"set up the ironing board ."
"6";"3";"turn on the iron to the appropriate heat level ."
"6";"4";"lay the fabric to be ironed on the ironing board ."
"6";"5";"place the hot part of the iron on the fabric ."
"7";"1";"set up ironing board ."
"7";"2";"plug iron ."
"7";"3";"place clothes on board ."
"7";"4";"place iron on clothes ."
"7";"5";"move iron around so as to cover all the surface ."
"7";"6";"turn off iron ."
"8";"1";"get clothes ."
"8";"2";"get ironing board ."
"8";"3";"put clothes on board ."
"8";"4";"plug in iron ."
"8";"5";"with iron press clothes ."
"8";"6";"remove clothes ."
"9";"1";"place clothes on ironing board one at a time ."
"9";"2";"heat up iron ."
"9";"3";"press clothes with iron ."
"9";"4";"get to next piece of clothing ."
"10";"1";"locate an iron ."
"10";"2";"locate an ironing board ."
"10";"3";"heat the iron ."
"10";"4";"place clothing to be ironed--one at a time--on the ironing board ."
"10";"5";"utilize iron on the clothes ."
"10";"6";"neatly arrange ironed clothes ."
"11";"1";"set up ironing board ."
"11";"2";"plug iron into electrical socket ."
"11";"3";"place a piece of clothing on ironing board ."
"11";"4";"press with hot iron ."
"11";"5";"unplug iron ."
"11";"6";"put away ironing board ."
"12";"1";"plug in iron ."
"12";"2";"set iron to desired level of heat ."
"12";"3";"open ironing board ."
"12";"4";"place clothes on ironing board ."
"12";"5";"wait for iron to heat up ."
"12";"6";"when heated use hot iron to smooth wrinkles in clothes ."
"13";"1";"place clothes on ironing board ."
"13";"2";"heat iron to desired setting ."
"13";"3";"flatten clothes with iron ."
"14";"1";"get an ironing board ."
"14";"2";"put water in iron ."
"14";"3";"turn iron on to correct temperature ."
"14";"4";"move iron across clothing ."
"15";"1";"turn on iron ."
"15";"2";"place item of clothing on ironing board ."
"15";"3";"run iron back and forth over clothing ."
"15";"4";"stop when clothes are unwrinkled ."
"16";"1";"get an iron ."
"16";"2";"get an ironing board ."
"16";"3";"turn iron to correct tempurature ."
"16";"4";"place item to be ironed on ironing board ."
"16";"5";"pick up iron ."
"16";"6";"set iron on item to be ironed ."
"16";"7";"move iron back and forth over item ."
"17";"1";"get an iron ."
"17";"2";"get an ironing board ."
"17";"3";"turn iron to correct tempurature ."
"17";"4";"place item to be ironed on ironing board ."
"17";"5";"pick up iron ."
"17";"6";"set iron on item to be ironed ."
"17";"7";"move iron back and forth over item ."
"18";"1";"get an iron ."
"18";"2";"get an ironing board ."
"18";"3";"turn iron to correct tempurature ."
"18";"4";"place item to be ironed on ironing board ."
"18";"5";"pick up iron ."
"18";"6";"set iron on item to be ironed ."
"18";"7";"move iron back and forth over item ."
"19";"1";"get an iron ."
"19";"2";"get an ironing board ."
"19";"3";"turn iron to correct tempurature ."
"19";"4";"place item to be ironed on ironing board ."
"19";"5";"pick up iron ."
"19";"6";"set iron on item to be ironed ."
"19";"7";"move iron back and forth over item ."
"20";"1";"get an iron ."
"20";"2";"get an ironing board ."
"20";"3";"turn iron to correct tempurature ."
"20";"4";"place item to be ironed on ironing board ."
"20";"5";"pick up iron ."
"20";"6";"set iron on item to be ironed ."
"20";"7";"move iron back and forth over item ."
"21";"1";"get an iron ."
"21";"2";"get an ironing board ."
"21";"3";"turn iron to correct tempurature ."
"21";"4";"place item to be ironed on ironing board ."
"21";"5";"pick up iron ."
"21";"6";"set iron on item to be ironed ."
"21";"7";"move iron back and forth over item ."
"22";"1";"set up ironing board ."
"22";"2";"plug in iron ."
"22";"3";"turn on iron ."
"22";"4";"lay out item to be iron ."
"22";"5";"smooth some wrinkles with hand ."
"22";"6";"test temp of iron ."
"22";"7";"iron ."
"23";"1";"set up ironing board ."
"23";"2";"get out iron ."
"23";"3";"heat up iron ."
"23";"4";"put clothes on ironing board ."
"23";"5";"move iron carefully over clothes ."
"23";"6";"hang clothes ."
"23";"7";"put away iron and ironing board ."
"24";"1";"turn on iron ."
"24";"2";"place clothes flat on ironing board ."
"24";"3";"smotth out wrinkles with iron ."
"24";"4";"hang up clothes ."
"25";"1";"turn on iron ."
"25";"2";"place clothes flat on ironing board ."
"25";"3";"smotth out wrinkles with iron ."
"25";"4";"hang up clothes ."
"26";"1";"turn on iron ."
"26";"2";"place clothes flat on ironing board ."
"26";"3";"smotth out wrinkles with iron ."
"26";"4";"hang up clothes ."
"27";"1";"gather clothes that need to be ironed ."
"27";"2";"gather hangers ."
"27";"3";"set up ironing board ."
"27";"4";"plug in iron ."
"27";"5";"wait for it to heat up ."
"27";"6";"shake out clothes and place on ironing board ."
"27";"7";"iron slowly over the clothes ."
"28";"1";"place shirt on iron board ."
"28";"2";"adjust iron temperature ."
"28";"3";"press iron to shirt ."
"28";"4";"iron shirt evenly ."
"28";"5";"inspect shirt ."
"28";"6";"turn iron off ."
"29";"1";"walk towards ironing board ."
"29";"2";"turn on iron ."
"29";"3";"iron clothes ."
"29";"4";"done ."
"30";"1";"retrieve the ironing board ."
"30";"2";"retrieve the article of clothing ."
"30";"3";"set up the ironing board and plug in the iron ."
"30";"4";"lay out the clothing on the board ."
"31";"1";"retrieve the ironing board ."
"31";"2";"retrieve the article of clothing ."
"31";"3";"set up the ironing board and plug in the iron ."
"31";"4";"lay out the clothing on the board ."
"32";"1";"retrieve the ironing board ."
"32";"2";"retrieve the article of clothing ."
"32";"3";"set up the ironing board and plug in the iron ."
"32";"4";"lay out the clothing on the board ."
"33";"1";"shake clothes ."
"33";"2";"check for wrinkles ."
"33";"3";"put in dryer ."
"33";"4";"add damp towel ."
"33";"5";"dry for 5 minutes ."
"33";"6";"take out of dryer and shake ."
"33";"7";"put on quickly ."
"34";"1";"bring out iron board ."
"34";"2";"unfold iron board ."
"34";"3";"plug in iron ."
"34";"4";"wait for iron to heat up ."
"35";"1";"place clothing on ironing board ."
"35";"2";"choose heat settings on iron ."
"35";"3";"run iron back and forth until clothes are smooth ."
"36";"1";"place clothing on ironing board ."
"36";"2";"choose heat settings on iron ."
"36";"3";"run iron back and forth until clothes are smooth ."
"37";"1";"place clothing on ironing board ."
"37";"2";"choose heat settings on iron ."
"37";"3";"run iron back and forth until clothes are smooth ."
"38";"1";"set up ironing board ."
"38";"2";"plug in iron ."
"38";"3";"put wrinkled shirt flat on ironing board ."
"38";"4";"when iron is hot  press iron on clothes ."
"39";"1";"get out ironing board ."
"39";"2";"plug in iron ."
"39";"3";"lay wrinkled shirt on board ."
"39";"4";"press iron on shirt ."
