"1";"1";"locate ball ."
"1";"2";"move to ball ."
"1";"3";"kick ball ."
"2";"1";"approach ball ."
"2";"2";"position non-kicking foot near the ball ."
"2";"3";"pull kicking foot backwards ."
"2";"4";"push kicking foot forward through the ball ."
"3";"1";"move foot towards ball ."
"3";"2";"make contact with ball ."
"3";"3";"continue moving foot ."
"4";"1";"find a ball ."
"4";"2";"draw back your foot ."
"4";"3";"apply foot to ball forcefully ."
"5";"1";"locate the ball ."
"5";"2";"go to the ball ."
"5";"3";"kick it ."
"6";"1";"move up to the ball ."
"6";"2";"draw one leg back ."
"6";"3";"swing the leg forward ."
"6";"4";"ensure the foot strikes the ball ."
"7";"1";"approach ball ."
"7";"2";"lift foot ."
"7";"3";"draw foot back ."
"7";"4";"push foot forward ."
"8";"1";"track ball ."
"8";"2";"move close ot ball or wait for ball to be near ."
"8";"3";"pull back kicking foot ."
"8";"4";"psuh kicking foot forward so to make contact with ball ."
"9";"1";"approach ball ."
"9";"2";"pull leg back ."
"9";"3";"push leg forward through ball ."
"10";"1";"approach ball ."
"10";"2";"pull back kicking leg ."
"10";"3";"push leg forward ."
"10";"4";"make contact and follow through ."
"11";"1";"get a ball ."
"11";"2";"stand on one leg ."
"11";"3";"swing the free leg towards the ball in a sharp movement ."
"12";"1";"find a ball ."
"12";"2";"move one leg backward slightly ."
"12";"3";"quickly move leg forward toward the ball ."
"12";"4";"tap the ball with the foot on the moving leg ."
"13";"1";"pick up the ball ."
"13";"2";"hold the ball in the air above one on your feet ."
"13";"3";"swing the foot up quickly to hit the ball ."
"14";"1";"place a ball on the ground ."
"14";"2";"bring a foot back behind a person ."
"14";"3";"swing the foot forward and impact with the ball ."
"15";"1";"get a ball ."
"15";"2";"put it on the floor ."
"15";"3";"swing your leg back ."
"15";"4";"swing your leg forward making contact with the ball ."
"16";"1";"locate ball ."
"16";"2";"run towards ball ."
"16";"3";"kick ball when reaching ball ."
"17";"1";"place the ball near leg ."
"17";"2";"lift the leg ."
"17";"3";"touch the ball with leg ."
"17";"4";"move leg a little backward ."
"17";"5";"give a kick ."
"18";"1";"put the ball on the ground ."
"18";"2";"use your foot to kick the ball ."
"19";"1";"kick a ball using your foot ."
"20";"1";"go to the ball ."
"20";"2";"raise your foot backwards ."
"20";"3";"swing your foot forwards ."
"21";"1";"place ball on the ground ."
"21";"2";"take 3 steps back from ball ."
"21";"3";"run towards ball ."
"21";"4";"swing leg toward ball ."
"21";"5";"end with foot hitting through ball ."
"22";"1";"look at ball ."
"22";"2";"pull foot back ."
"22";"3";"aim foot at ball ."
"22";"4";"bring foot forward quickly ."
"23";"1";"put ball on the ground ."
"23";"2";"take a step back ."
"23";"3";"stand with weight on left leg ."
"23";"4";"pull right leg back ."
"23";"5";"aim for ball ."
"23";"6";"quickly move right leg forward ."
"23";"7";"connect right foot with ball ."
"24";"1";"place ball on ground ."
"24";"2";"move back ."
"24";"3";"run towards ball ."
"24";"4";"move leg back ."
"24";"5";"move leg forward ."
"25";"1";"put ball in front of feet ."
"25";"2";"plant left foot next to ball ."
"25";"3";"swing right foot back ."
"25";"4";"swing right foot forward ."
"25";"5";"strike the ball ."
"26";"1";"raise foot ."
"26";"2";"kick ball ."
"27";"1";"raise foot ."
"27";"2";"kick ball ."
"28";"1";"hold the ball ."
"28";"2";"place the ball ."
"28";"3";"apply the force in proper direction ."
"28";"4";"kick a ball ."
"29";"1";"place the ball ."
"29";"2";"back up ."
"29";"3";"run forward ."
"29";"4";"kick the ball ."
"30";"1";"place ball on ground ."
"30";"2";"line up behind ball ."
"30";"3";"strike ball with foot ."
"31";"1";"find ball ."
"31";"2";"aim for ball ."
"31";"3";"kick ball ."
"32";"1";"point toe at ball ."
"32";"2";"pull back foot ."
"32";"3";"swing foot forward hard and fast ."
"32";"4";"make contact with the ball ."
"33";"1";"point toe at ball ."
"33";"2";"pull back foot ."
"33";"3";"swing foot forward hard and fast ."
"33";"4";"make contact with the ball ."
"34";"1";"kick the ball ."
"35";"1";"find a ball ."
"35";"2";"put it on the ground ."
"35";"3";"stand behind it ."
"35";"4";"run up to it ."
"35";"5";"swing your leg at the ball ."
"35";"6";"hit the ball with your foot ."
"36";"1";"find a ball ."
"36";"2";"put it on the ground ."
"36";"3";"stand behind it ."
"36";"4";"run up to it ."
"36";"5";"swing your leg at the ball ."
"36";"6";"hit the ball with your foot ."
"37";"1";"find a ball ."
"37";"2";"put it on the ground ."
"37";"3";"stand behind it ."
"37";"4";"run up to it ."
"37";"5";"swing your leg at the ball ."
"37";"6";"hit the ball with your foot ."
"38";"1";"find a ball ."
"38";"2";"put it on the ground ."
"38";"3";"stand behind it ."
"38";"4";"run up to it ."
"38";"5";"swing your leg at the ball ."
"38";"6";"hit the ball with your foot ."
"39";"1";"place ball in front of you ."
"39";"2";"pull leg back ."
"39";"3";"hit ball with foot ."
"40";"1";"place ball in front of you ."
"40";"2";"pull leg back ."
"40";"3";"hit ball with foot ."
"41";"1";"place ball in front of you ."
"41";"2";"pull leg back ."
"41";"3";"hit ball with foot ."
"42";"1";"prepare the foot ."
"42";"2";"swing foot at ball ."
"43";"1";"take ball ."
"43";"2";"swing foot ."
"43";"3";"hit ball ."
"44";"1";"put ball on ground ."
"44";"2";"stand in front of ball ."
"44";"3";"lift foot off ground ."
"44";"4";"hit ball with foot ."
"45";"1";"kicking ."
"45";"2";"lifting ."
"45";"3";"exercise ."
"45";"4";"motion ."
"45";"5";"running ."
"45";"6";"balance ."
"45";"7";"movement ."
