"1";"1";"pick up a letter ."
"1";"2";"find a mailbox ."
"1";"3";"put the letter in the mailbox ."
"2";"1";"place the letter in an envelope ."
"2";"2";"properly address the envelope ."
"2";"3";"affix proper postage to the envelope ."
"2";"4";"locate a mailbox ."
"2";"5";"move to the mailbox ."
"2";"6";"place the letter in the mailbox ."
"3";"1";"locate the letter to be sent ."
"3";"2";"locate an evelope ."
"3";"3";"place the letter in the envelope ."
"3";"4";"properly address the envelope to the recipient ."
"3";"5";"place proper postage on the envelope ."
"3";"6";"place the envelope in a mailbox ."
"4";"1";"write letter ."
"4";"2";"seal letter ."
"4";"3";"affix stamp ."
"4";"4";"move to post box ."
"4";"5";"drop letter into post box ."
"5";"1";"find an envelope ."
"5";"2";"fold letter to fit inside envelope ."
"5";"3";"put letter in envelope and seal envelope ."
"5";"4";"place proper postage on envelope ."
"5";"5";"write destination address on envelope ."
"5";"6";"find a mailbox ."
"5";"7";"place letter in mailbox ."
"6";"1";"write to address ."
"6";"2";"write return address ."
"6";"3";"stamp ."
"6";"4";"drop in a mailbox ."
"7";"1";"seal the letter in an envelope ."
"7";"2";"write the delivery address on the envelope ."
"7";"3";"write the return address on the envelope ."
"7";"4";"place postage stamp on the envelope ."
"7";"5";"place the envelope into a mailbox ."
"8";"1";"write the address on the letter ."
"8";"2";"write the return address on the letter in the upper left-hand corner ."
"8";"3";"place a stamp on the letter in the upper-right-hand corner ."
"8";"4";"place the letter in a mailbox ."
"9";"1";"put completed letter in envelope ."
"9";"2";"seal envelope ."
"9";"3";"put stamp on envelope ."
"9";"4";"go to mailbox ."
"9";"5";"put letter in mailbox ."
"10";"1";"get envelope and stamps ready ."
"10";"2";"insert letter into envelope ."
"10";"3";"seal envelope by licking the adhesive strip or remove the protection over the adhesive ."
"10";"4";"close envelope ."
"10";"5";"put letter in mailbox ."
"11";"1";"put the letter into an envelope ."
"11";"2";"put the mailing address on the envelope ."
"11";"3";"weigh the letter ."
"11";"4";"put enough postage on the envelope ."
"11";"5";"get the letter to the next mailbox ."
"12";"1";"put letter in envelope ."
"12";"2";"seal envelope ."
"12";"3";"write address on envelope ."
"12";"4";"stamp letter ."
"12";"5";"drop letter in mailbox ."
"13";"1";"put the letter in an envelope ."
"13";"2";"address the envelope ."
"13";"3";"put postage on the envelope ."
"13";"4";"drop the envelope in a mailbox ."
"14";"1";"place letter in envelope ."
"14";"2";"seal envelope ."
"14";"3";"write to address on envelope ."
"14";"4";"write return address on evelope ."
"14";"5";"stamp envelope ."
"14";"6";"drop envelope in mailbox ."
"15";"1";"place letter in envelope ."
"15";"2";"seal envelope ."
"15";"3";"write to address on envelope ."
"15";"4";"write return address on envelope ."
"15";"5";"stamp envelope ."
"15";"6";"place envelope in outgoing mailbox ."
"16";"1";"writing a letter ."
"16";"2";"sign the letter ."
"16";"3";"put letter in envelope ."
"16";"4";"stick stamp on envelope ."
"16";"5";"write adress on envelope ."
"16";"6";"bring envelope to postbox ."
"16";"7";"put envelope in postbox ."
"17";"1";"put letter in envelope ."
"17";"2";"write adresson envelope ."
"17";"3";"stick stamp on envelope ."
"17";"4";"walk with envelope to post box ."
"17";"5";"put envelope in post box ."
"18";"1";"address the letter ."
"18";"2";"put stamp ."
"18";"3";"put in postbox ."
"19";"1";"drop the letter into a postal dropbox ."
"20";"1";"address envelope ."
"20";"2";"place letter in envelope ."
"20";"3";"stamp envelope ."
"20";"4";"place envelope in outgoing mailbox ."
"21";"1";"take letter ."
"21";"2";"place stamp on letter ."
"21";"3";"take letter to post office ."
"21";"4";"put letter in mailbox ."
"22";"1";"take letter to mail box ."
"22";"2";"open mailbox ."
"23";"1";"take letter to mail box ."
"23";"2";"open mailbox ."
"23";"3";"drop letter in mailbox ."
"26";"1";"discern need for letter ."
"26";"2";"find paper ."
"26";"3";"find pencil or pen ."
"26";"4";"decide what to write ."
"26";"5";"write ."
"26";"6";"fold and place in envelope ."
"26";"7";"mail letter ."
"27";"1";"put the letter into an envelope ."
"27";"2";"write the address on the envelope ."
"27";"3";"stick a postage stamp on the envelope ."
"27";"4";"seal the envelope ."
"27";"5";"put the letter in a mailbox ."
"28";"1";"write letter ."
"29";"1";"write letter ."
"29";"2";"place letter in envelope ."
"29";"3";"address envelope ."
"29";"4";"put stamp on envelope ."
"29";"5";"put envelope in mail box ."
"44";"1";"address envelope ."
"44";"2";"put stamp on envelope ."
"44";"3";"put return address on envelope ."
"44";"4";"put envelope in mail box ."
"53";"1";"put letter in envelope ."
"53";"2";"seal envelope ."
"53";"3";"put the sender s and recipient s name on the envelope ."
"53";"4";"put sufficient stamps on the envelope ."
"53";"5";"drop envelope in mail box ."
"56";"1";"write letter ."
"56";"2";"address envelope ."
"56";"3";"insert letter in envelope ."
"56";"4";"seal envelope ."
"56";"5";"affix stamp ."
"56";"6";"take letter to postbox ."
"56";"7";"insert letter in postbox slot ."
"58";"1";"open the mailbox ."
"58";"2";"put the letter in a mailbox ."
"58";"3";"close the mailbox ."
"59";"1";"write letter ."
"59";"2";"put letter in envelope ."
"59";"3";"address envelope ."
"59";"4";"stamp envelope ."
"59";"5";"post at box or post office ."
"60";"1";"write letter ."
"60";"2";"put stamp on letter ."
"60";"3";"drop letter in mailbox ."
"61";"1";"write letter ."
"61";"2";"put letter in envelope ."
"61";"3";"put address and stamp on the front of the envelope ."
"61";"4";"wet the edges on the back to close envelope ."
"61";"5";"drive or walk to the mail box ."
"61";"6";"put the letter in the mail box ."
"62";"1";"write address on envelope ."
"62";"2";"put letter in envelope ."
"62";"3";"seal envelope ."
"62";"4";"buy stamp ."
"62";"5";"put stamp on envelope ."
"62";"6";"put letter in letter box ."
"63";"1";"place postage on the letter ."
"63";"2";"place letter in mail pickup box ."
"64";"1";"place letter in envelope ."
"64";"2";"seal envelope ."
"64";"3";"address envelope ."
"64";"4";"apply postage ."
"64";"5";"put in mailbox ."
"64";"6";"raise flag on mailbox ."
"65";"1";"fold letter into thirds ."
"65";"2";"place letter in envelope ."
"65";"3";"address the envelope ."
"65";"4";"seal the envelope ."
"65";"5";"place a stamp on the envelope ."
"65";"6";"place the envelope in the outgoing mail box ."
"68";"1";"put letter in envilope ."
"68";"2";"seal envilope ."
"68";"3";"affix postage stamp ."
"68";"4";"post letter in red post box ."
"69";"1";"get paper and pen sit down ."
"69";"2";"write information sign at the bottom ."
"69";"3";"fold and place in envelope with a stamp ."
"69";"4";"find mailing place ."
"69";"5";"mail letter ."
"70";"1";"get paper ."
"70";"2";"get pen ."
"70";"3";"write letter ."
"70";"4";"fold paper ."
"70";"5";"put in envelope ."
"70";"6";"seal and put a stamp on it ."
"70";"7";"place in a mail box ."
"71";"1";"write letter ."
"71";"2";"print letter if possible ."
"71";"3";"sign letter ."
"71";"4";"put letter in envelope ."
"71";"5";"lick end of envelope ."
"71";"6";"write address ."
"71";"7";"put letter in mailbox ."
"72";"1";"put letter into envelope ."
"72";"2";"seal envelope ."
"72";"3";"write return address ."
"72";"4";"write forwarding address ."
"72";"5";"put stamp ."
"72";"6";"go to post box ."
"72";"7";"put letter in mailbox ."
"73";"1";"insert letter in envelope ."
"75";"1";"insert letter in envelope ."
"75";"2";"adress envelope ."
"75";"3";"add stamp ."
"75";"4";"make sure envelope is sealed ."
"75";"5";"put letter in postal mail box ."
"77";"1";"write a letter ."
"77";"2";"seal the letter in an envelope ."
"77";"3";"put the letter in the mailbox ."
"79";"1";"put letter in envelope ."
"79";"2";"seal and address envelope ."
"79";"3";"add postage ."
"79";"4";"put in outgoing mailbox ."
"82";"1";"seal envelope ."
"82";"2";"write address on envelope ."
"82";"3";"apply postage stamp ."
"82";"4";"walk to mail box ."
