"1";"1";"find clean bed sheets ."
"1";"2";"remove old bed sheets from a bed ."
"1";"3";"put new bed sheets on the bed ."
"2";"1";"smooth sheets on bed ."
"2";"2";"smooth blanket on top of sheets on bed ."
"2";"3";"place quilt on bed ."
"2";"4";"smooth quilt ."
"2";"5";"place pillows at headboard ."
"3";"1";"find the bed ."
"3";"2";"find sheets for the bed ."
"3";"3";"remove the old sheets from the bed ."
"3";"4";"place the new sheets onto the bed ."
"4";"1";"arrange sheets ."
"4";"2";"arrange pillows ."
"4";"3";"cover bed with cover ."
"5";"1";"pull the sheet up to the head of the bed ."
"5";"2";"pull the covers up tot he head of the bed ."
"5";"3";"fluff the pillows ."
"5";"4";"place the pillows at the top of the bed ."
"5";"5";"flatten any remaining wrinkles in the covers ."
"6";"1";"straighten the sheets ."
"6";"2";"fluff the pillows ."
"6";"3";"fluff the comforter ."
"6";"4";"put the comforter on the bed straight ."
"7";"1";"fluff comforter ."
"7";"2";"fluff pillow ."
"7";"3";"straighten sheets ."
"8";"1";"pull up the sheets ."
"8";"2";"tuck in the sheets ."
"8";"3";"pull up the blankets ."
"8";"4";"tuck inthe blankets ."
"8";"5";"pull up the cover ."
"8";"6";"arrange the pillows ."
"8";"7";"smooth the bed ."
"9";"1";"identify bed ."
"9";"2";"identify sheets ."
"9";"3";"place sheets on bed ."
"9";"4";"place sheet edges under mattress ."
"9";"5";"completely cover bed with sheets ."
"9";"6";"identify pillow ."
"9";"7";"put pillow on bed near head ."
"10";"1";"smooth bed sheet evenly over top of bed ."
"10";"2";"tuck bottom and side edges of sheet under mattress ."
"10";"3";"place pillow at head of bed ."
"10";"4";"arrange bed cover evenly over top of bed ."
"11";"1";"put undersheet on the bed ."
"11";"2";"put pillow-sheet around the pillow ."
"11";"3";"put sheets around blanket ."
"11";"4";"put blanket and pillow on the bed ."
"12";"1";"remove old sheets ."
"12";"2";"replace matrass cover ."
"12";"3";"put pillow in pillow-sheet ."
"12";"4";"put pillow on bed ."
"12";"5";"put sheets on blanket ."
"12";"6";"put blanket on bed ."
"13";"1";"take the dirty sheets off the bed ."
"13";"2";"put the clean sheets on the bed ."
"14";"1";"clear the mattresses ."
"14";"2";"cover the mattress ."
"14";"3";"cover the pillow too ."
"14";"4";"put blanket on the bed ."
"15";"1";"remove all sheets from the bed ."
"15";"2";"put the fitted sheet on the bed ."
"15";"3";"put the flat sheet on the bed ."
"15";"4";"fold it back ."
"15";"5";"tuck it in ."
"15";"6";"put the quilt on the bed ."
"16";"1";"gather clean bedding ."
"16";"2";"remove old bedding from bed ."
"16";"3";"place old bedding in laundry ."
"16";"4";"replace sheet ."
"16";"5";"replace pillow cases ."
"16";"6";"replace quilts/spread ."
"16";"7";"tuck in and you re done ."
"17";"1";"remove covers ."
"17";"2";"place pillow at top end of bed ."
"17";"3";"straighten pillow ."
"17";"4";"throw covers over bed ."
"17";"5";"straighten covers ."
"17";"6";"tuck covers in at side of bed ."
"18";"1";"remove covers ."
"18";"2";"place pillow at top end of bed ."
"18";"3";"straighten pillow ."
"18";"4";"throw covers over bed ."
"18";"5";"straighten covers ."
"18";"6";"tuck covers in at side of bed ."
"19";"1";"remove blanket ."
"19";"2";"pull up sheets ."
"19";"3";"tuck in sheets ."
"19";"4";"put on blanket ."
"19";"5";"fluff pillows ."
"20";"1";"remove blanket ."
"20";"2";"pull up sheets ."
"20";"3";"tuck in sheets ."
"20";"4";"put on blanket ."
"20";"5";"fluff pillows ."
"21";"1";"remove bedding ."
"21";"2";"straighten bottom sheet ."
"21";"3";"spread top sheet ."
"21";"4";"straighten top sheet ."
"21";"5";"spread quilt ."
"21";"6";"straighten quilt ."
"21";"7";"put pillows in place ."
"22";"1";"pull up bottom sheet ."
"22";"2";"tuck undermatteress ."
"22";"3";"pull up blankets ."
"22";"4";"streighten edges ."
"22";"5";"fold over top edge ."
"22";"6";"put pillows on top of bed ."
"23";"1";"fluff the pillows ."
"23";"2";"straighten the sheets ."
"23";"3";"pull up the flat sheet ."
"23";"4";"fluff out the comforter ."
"23";"5";"tuck in the sides ."
"23";"6";"smooth out the bed ."
"24";"1";"remove old sheets ."
"24";"2";"put old sheets into laundry hamper ."
"24";"3";"clean ."
"25";"1";"remove pillows and quilt from bed ."
"25";"2";"pull sheets and blankets flat on the bed and make sure they are all tucked in at the foot ."
"25";"3";"replace quilt on the bed ."
"25";"4";"replace pillows on the bed neatly at the head ."
"26";"1";"remove pillows and quilt from bed ."
"26";"2";"pull sheets and blankets flat on the bed and make sure they are all tucked in at the foot ."
"26";"3";"replace quilt on the bed ."
"26";"4";"replace pillows on the bed neatly at the head ."
"27";"1";"remove pillows and quilt from bed ."
"27";"2";"pull sheets and blankets flat on the bed and make sure they are all tucked in at the foot ."
"27";"3";"replace quilt on the bed ."
"27";"4";"replace pillows on the bed neatly at the head ."
"28";"1";"remove pillows and quilt from bed ."
"28";"2";"pull sheets and blankets flat on the bed and make sure they are all tucked in at the foot ."
"28";"3";"replace quilt on the bed ."
"28";"4";"replace pillows on the bed neatly at the head ."
"29";"1";"remove pillows and quilt from bed ."
"29";"2";"pull sheets and blankets flat on the bed and make sure they are all tucked in at the foot ."
"29";"3";"replace quilt on the bed ."
"29";"4";"replace pillows on the bed neatly at the head ."
"30";"1";"remove pillows and quilt from bed ."
"30";"2";"pull sheets and blankets flat on the bed and make sure they are all tucked in at the foot ."
"30";"3";"replace quilt on the bed ."
"30";"4";"replace pillows on the bed neatly at the head ."
"31";"1";"remove old covers ."
"31";"2";"put into laundry ."
"31";"3";"dust bed ."
"31";"4";"disinfect bed ."
"31";"5";"let dry ."
"31";"6";"put on clean sheets ."
"31";"7";"tug corners in place ."
"32";"1";"make the bed ."
"33";"1";"cover bed with bedsheet ."
"33";"2";"lay out blanket ."
"34";"1";"make dough ."
"34";"2";"put dough in pan ."
"34";"3";"cook in oven ."
"35";"1";"make dough ."
"35";"2";"put dough in pan ."
"35";"3";"cook in oven ."
"36";"1";"make dough ."
"36";"2";"put dough in pan ."
"36";"3";"cook in oven ."
"37";"1";"put sheets on bed ."
"37";"2";"pull sheets up to top of bed ."
"37";"3";"put pillows on bed ."
