"1";"1";"pick a restaurant ."
"1";"2";"call the restaurant ."
"1";"3";"make the reservation ."
"1";"4";"hang up ."
"2";"1";"call a restaurant ."
"2";"2";"ask to make a reservation ."
"2";"3";"give a time for the reservation ."
"2";"4";"give the number of people to reserve for ."
"3";"1";"determine a restaurant for dinner ."
"3";"2";"telephone the restaurant ."
"3";"3";"ask the operator if the business has any open time slots ."
"3";"4";"confirm a time and date for a reservation ."
"3";"5";"hang up the phone ."
"4";"1";"call the restaurant ."
"4";"2";"decide on time ."
"4";"3";"decide on group name ."
"4";"4";"ask for availability ."
"4";"5";"if not available pick another time ."
"4";"6";"once available time is agreed on say thanks and hang up ."
"5";"1";"decide where you would like to eat ."
"5";"2";"decide when you would to eat ."
"5";"3";"call the restaurant and ask for a reservation ."
"6";"1";"find a restaurant ."
"6";"2";"find the phone number of the restaurant ."
"6";"3";"call the restaurant ."
"6";"4";"tell them the date ."
"6";"5";"tell them the time ."
"6";"6";"tell them the number of people in your group ."
"6";"7";"hang up the phone ."
"7";"1";"call the restaurant desired ."
"7";"2";"give the information about time and number of people ."
"7";"3";"confirm that they have space ."
"7";"4";"if not ask what times are available and make a choice between those ."
"8";"1";"call dinner place ."
"8";"2";"ask for reservation ."
"8";"3";"give name ."
"8";"4";"hang up ."
"9";"1";"choose a restaurant to eat at ."
"9";"2";"choose a time at which to eat ."
"9";"3";"find the phone number of the restaurant ."
"9";"4";"call the restaurant ."
"9";"5";"tell the host what time you wish to eat ."
"10";"1";"call the restaurant ."
"10";"2";"tell them when you want the reservation for ."
"11";"1";"decide on restaurant and time ."
"11";"2";"call restaurant ."
"11";"3";"ask for reservation giving name time and number of guests ."
"12";"1";"call dinner place ."
"12";"2";"ask to make reservation giving time and number of persons ."
"12";"3";"hang up ."
"13";"1";"choose a restaurant ."
"13";"2";"choose a time and date for the dinner ."
"13";"3";"search for the phone number of that restaurant ."
"13";"4";"call to the restaurant ."
"13";"5";"ask for a reservation ."
"13";"6";"supply the info ."
"14";"1";"call a restaurant ."
"14";"2";"ask for a reservation ."
"14";"3";"state the date and time ."
"14";"4";"state the number of people ."
"15";"1";"decide on time ."
"15";"2";"count people ."
"15";"3";"call restaurant ."
"15";"4";"reserve time ."
"16";"1";"call restaurant ."
"16";"2";"ask to make a reservation ."
"16";"3";"answer questions of host ."
"16";"4";"end call ."
"17";"1";"decide where to go ."
"17";"2";"find the phone number for the place ."
"17";"3";"call the palce ."
"17";"4";"reserve a tabla ."
"18";"1";"pick up phone ."
"18";"2";"dial number ."
"18";"3";"tell date and time ."
"18";"4";"confirm avalible ."
"18";"5";"thank booker ."
"18";"6";"hang up phone ."
"19";"1";"look up telephone number of the restaurant ."
"19";"2";"dial the telephone number ."
"19";"3";"ask for availability for required number of persons ."
"19";"4";"validate reservation ."
"20";"1";"decide time ."
"20";"2";"decide number of people ."
"20";"3";"call restuarant ."
"20";"4";"tell information ."
"20";"5";"hang up ."
"21";"1";"look up the restaurants phone number ."
"21";"2";"call the restaurant ."
"21";"3";"ask for reservation ."
"22";"1";"get phone number for restaurant ."
"22";"2";"use phone to call restaurant ."
"22";"3";"ask to make reservation ."
"22";"4";"provide hostess with number of seats and smoking preference ."
"22";"5";"confirm reservation ."
"23";"1";"identify restaurant ."
"23";"2";"identify phone number ."
"23";"3";"identify preferred date/time ."
"23";"4";"identify number of diners ."
"23";"5";"call restaurant ."
"23";"6";"request reservation ."
"24";"1";"choose a restaurant ."
"24";"2";"find the restaurant s phone number ."
"24";"3";"dial the phone number ."
"24";"4";"ask for a table ."
"24";"5";"say how many people will be dining ."
"24";"6";"say what time you will be dining ."
"24";"7";"say 'thank you' ."
"25";"1";"call resturant ."
"25";"2";"choose a time ."
"25";"3";"confirm time ."
"26";"1";"call resturant ."
"26";"2";"choose a time ."
"26";"3";"confirm time ."
"27";"1";"call resturant ."
"27";"2";"choose a time ."
"27";"3";"confirm time ."
"28";"1";"call resturant ."
"28";"2";"choose a time ."
"28";"3";"confirm time ."
"29";"1";"call resturant ."
"29";"2";"choose a time ."
"29";"3";"confirm time ."
"30";"1";"call resturant ."
"30";"2";"choose a time ."
"30";"3";"confirm time ."
"31";"1";"choose resaurant ."
"31";"2";"call restaurant ."
"32";"1";"phone call to the restaurant ."
"32";"2";"check availability of table seating ."
"32";"3";"check arrival time ."
"32";"4";"check number of people attending ."
"32";"5";"confirm the reservation ."
"32";"6";"end the phone call ."
"33";"1";"find restaurant phone ."
"33";"2";"dial the number ."
"33";"3";"request the time and day you want ."
"34";"1";"contact resaurant ."
"34";"2";"schedule dinner ."
"35";"1";"choose restaurant ."
"35";"2";"locate phone number of restaurant ."
"35";"3";"call restaurant ."
"35";"4";"request reservation ."
"35";"5";"give name of party ."
"35";"6";"give number of people in party ."
"35";"7";"give desired time ."
"36";"1";"choose restaurant ."
"36";"2";"locate phone number of restaurant ."
"36";"3";"call restaurant ."
"36";"4";"request reservation ."
"36";"5";"give name of party ."
"36";"6";"give number of people in party ."
"36";"7";"give desired time ."
"37";"1";"choose restaurant ."
"37";"2";"locate phone number of restaurant ."
"37";"3";"call restaurant ."
"37";"4";"request reservation ."
