"1";"1";"get mower ."
"1";"2";"start mower ."
"1";"3";"mow grass ."
"1";"4";"stop mower ."
"1";"5";"put mower away ."
"2";"1";"go to the garage ."
"2";"2";"get the lawn mower ."
"2";"3";"take the lawn mower to the grass ."
"2";"4";"start the mower ."
"2";"5";"push it over the grass area ."
"2";"6";"turn off the mower ."
"2";"7";"put the mower back in the garage ."
"3";"1";"get a lawn mover ."
"3";"2";"put the lawn mover on the lawn ."
"3";"3";"turn on or activate the lawn mover ."
"3";"4";"move the lawn mover over the lawn ."
"4";"1";"get the lawn mover ."
"4";"2";"move close to the lawn ."
"4";"3";"start the lawnmower ."
"4";"4";"use the lawnmower on the lawn ."
"5";"1";"fill lawnmower with gas ."
"5";"2";"start lawnmower ."
"5";"3";"push lawnmower around lawn ."
"6";"1";"turn on the mower ."
"6";"2";"push the mower on the area that should be mowed ."
"6";"3";"turn of the mower ."
"7";"1";"get mower ."
"7";"2";"start mover ."
"7";"3";"move mower over lawn ."
"7";"4";"find any missed spots ."
"7";"5";"mow them ."
"7";"6";"stop mower ."
"8";"1";"start mower ."
"8";"2";"move mower over lawn ."
"8";"3";"if there are patches left move over patch ."
"9";"1";"move lawnmover over lawn ."
"9";"2";"start lawnmower ."
"9";"3";"move around lawnmower so that it covers all the lawn ."
"9";"4";"when finished stop lawnmower ."
"10";"1";"find the lawn mover ."
"10";"2";"move the lawn mower to the lawn ."
"10";"3";"turn on the lawn mower ."
"10";"4";"move the lawn mower across an unmowed section of the lawn in a straight line ."
"10";"5";"repeat until the lawn is mowed ."
"11";"1";"go to the garden ."
"11";"2";"get the mower out he shed ."
"11";"3";"mow the lawn ."
"11";"4";"empty the grass cuttings ."
"11";"5";"put the mower away ."
"11";"6";"go back inside the house ."
"12";"1";"get the mower out ."
"12";"2";"plug it in ."
"12";"3";"cut the grass ."
"12";"4";"empty the cutting box ."
"12";"5";"unplug the mower ."
"12";"6";"put the mower away ."
"13";"1";"find push lawn mower ."
"13";"2";"move the lawn mower to the lawn ."
"13";"3";"push the lawn mower in a straight line across the line ."
"13";"4";"repeat until all of the lawn is mowed ."
"14";"1";"get the lawn mower ."
"14";"2";"start the lawn mower ."
"14";"3";"begin mowing lawn ."
"14";"4";"continue until grass in lawn is cut ."
"14";"5";"stop mower ."
"14";"6";"put the lawn mower away ."
"15";"1";"get the lawn mower ."
"15";"2";"move the lawn mower to the yard ."
"15";"3";"turn on the lawn mower ."
"15";"4";"mow the lawn ."
"15";"5";"turn off the lawn mower ."
"15";"6";"empty lawn mower bag in the trash ."
"15";"7";"put away the lawn mower ."
"16";"1";"get the lawnmower ."
"16";"2";"turn the lawnmower on ."
"16";"3";"push the lawnmower around the lawn ."
"16";"4";"turn the lawnmower off ."
"17";"1";"get mower out ."
"17";"2";"fill with gas ."
"17";"3";"turn mower on ."
"17";"4";"mow ."
"18";"1";"take out lawn mower ."
"18";"2";"start up mower ."
"18";"3";"mow lawn ."
"18";"4";"finish ."
"18";"5";"win! ."
"19";"1";"get out the lawn mower ."
"19";"2";"check the oil and gasoline ."
"19";"3";"prime the engine by pumping the button ."
"19";"4";"pull cord to start the mower ."
"19";"5";"follow the lawn perimeter once around ."
"19";"6";"mow the rest of the yard in even rows ."
"20";"1";"buy gas for lawamower ."
"20";"2";"get lawamower out of shed ."
"20";"3";"put gas in lawnmower ."
"20";"4";"start lawnmower ."
"20";"5";"mow an area ."
"20";"6";"stop lawnmower ."
"20";"7";"put lawnmower away ."
"21";"1";"buy gas for lawamower ."
"21";"2";"get lawamower out of shed ."
"21";"3";"put gas in lawnmower ."
"21";"4";"start lawnmower ."
"21";"5";"mow an area ."
"21";"6";"stop lawnmower ."
"21";"7";"put lawnmower away ."
"22";"1";"check and add oil ."
"22";"2";"check and add gas ."
"22";"3";"cut grass ."
"22";"4";"bag cut grass ."
"23";"1";"put gas in the lawnmower ."
"23";"2";"take lawnmower to yard ."
"23";"3";"start the lawnmower ."
"23";"4";"adjust the height of the blades ."
"23";"5";"push/ride the lawnmower across lawn ."
"23";"6";"empty grass-bag when necessary ."
