"1";"1";"get knife or scissors ."
"1";"2";"cut along edges ."
"1";"3";"open box ."
"2";"1";"get package ."
"2";"2";"locate tape ."
"2";"3";"remove tape ."
"2";"4";"remove wrapping ."
"3";"1";"get package ."
"3";"2";"determine top of package ."
"3";"3";"get knife ."
"3";"4";"carefully cut tape ."
"3";"5";"move back lid ."
"4";"1";"get package ."
"4";"2";"cut tape ."
"4";"3";"fold back flaps ."
"4";"4";"remove contents from package ."
"5";"1";"get a knife ."
"5";"2";"tear the tape ."
"5";"3";"then open the package ."
"6";"1";"use sharp object to open the package ."
"7";"1";"get sissors ."
"7";"2";"place package on flat surface ."
"7";"3";"use sissors to cut tape on package ."
"7";"4";"lift flap on package ."
"8";"1";"pick up the package ."
"8";"2";"pick up a knife ."
"8";"3";"run the knife blade along the package seal ."
"9";"1";"decide most effecient manner to open package ."
"9";"2";"get tools needed to open package ."
"9";"3";"use tools ."
"10";"1";"place package on counter ."
"10";"2";"retrieve cutter ."
"10";"3";"use cutter to carefully slice packing tape ."
"10";"4";"open box flaps ."
"10";"5";"take out packing materials ."
"10";"6";"take out shipped contents ."
"10";"7";"recycle packing materials ."
"11";"1";"tear package ."
"11";"2";"repeat step 1 until fully open ."
"12";"1";"tear package ."
"12";"2";"repeat step 1 until fully open ."
"13";"1";"get package in hand ."
"13";"2";"select one end to open ."
"13";"3";"rip open the packaging ."
"13";"4";"widen the rip until the contents are revealed ."
"14";"1";"pick up package ."
"14";"2";"look for package opening ."
"14";"3";"tear package opening ."
"14";"4";"look in package ."
"14";"5";"then do a little dance ."
"15";"1";"cut string and peel tape off package ."
"15";"2";"tear paper off package ."
"15";"3";"open the box that the item is in ."
"16";"1";"cut string and peel tape off package ."
"16";"2";"tear paper off package ."
"16";"3";"open the box that the item is in ."
"17";"1";"cut string and peel tape off package ."
"17";"2";"tear paper off package ."
"17";"3";"open the box that the item is in ."
"18";"1";"cut string and peel tape off package ."
"18";"2";"tear paper off package ."
"18";"3";"open the box that the item is in ."
"19";"1";"cut string and peel tape off package ."
"19";"2";"tear paper off package ."
"19";"3";"open the box that the item is in ."
"20";"1";"cut string and peel tape off package ."
"20";"2";"tear paper off package ."
"20";"3";"open the box that the item is in ."
"21";"1";"cut string and peel tape off package ."
"21";"2";"tear paper off package ."
"21";"3";"open the box that the item is in ."
"22";"1";"cut string and peel tape off package ."
"22";"2";"tear paper off package ."
"22";"3";"open the box that the item is in ."
"23";"1";"cut string and peel tape off package ."
"23";"2";"tear paper off package ."
"23";"3";"open the box that the item is in ."
"24";"1";"cut string and peel tape off package ."
"24";"2";"tear paper off package ."
"24";"3";"open the box that the item is in ."
"25";"1";"cut string and peel tape off package ."
"25";"2";"tear paper off package ."
"25";"3";"open the box that the item is in ."
"26";"1";"cut string and peel tape off package ."
"26";"2";"tear paper off package ."
"26";"3";"open the box that the item is in ."
"27";"1";"unwrap box ."
"28";"1";"unwrap box ."
"29";"1";"unwrap box ."
"30";"1";"unwrap box ."
"31";"1";"unwrap box ."
"32";"1";"unwrap box ."
"33";"1";"unwrap box ."
"34";"1";"unwrap box ."
"35";"1";"unwrap box ."
"36";"1";"unwrap box ."
"37";"1";"unwrap box ."
"38";"1";"unwrap box ."
"39";"1";"unwrap box ."
"40";"1";"unwrap box ."
"41";"1";"unwrap box ."
"42";"1";"find suitable place to open ."
"42";"2";"asess flaps or edges for best way to open ."
"42";"3";"proceed to open ."
"42";"4";"put away utensils ."
"42";"5";"enjoy package contents ."
"43";"1";"put the package on the table ."
"43";"2";"get a knife ."
"43";"3";"cut the tape ."
"43";"4";"open the lid of the box ."
"44";"1";"put the package on the table ."
"44";"2";"get a knife ."
"44";"3";"cut the tape ."
"44";"4";"open the lid of the box ."
"45";"1";"take the package into the kitchen ."
"45";"2";"get out a knife/scissors ."
"45";"3";"cut open one end of the package ."
"45";"4";"pull out the contents of the package ."
"46";"1";"get package ."
"46";"2";"cut tape ."
"47";"1";"pick up package ."
"47";"2";"pick up scissors ."
"47";"3";"use scissors to cut package ."
"48";"1";"pick up package ."
"48";"2";"pick up scissors ."
"48";"3";"use scissors to cut package ."
"49";"1";"pick up package ."
"49";"2";"pick up scissors ."
"49";"3";"use scissors to cut package ."
"50";"1";"pick up the package with both hands ."
"50";"2";"take one hand and tear open the paper ."
"50";"3";"remove the contents ."
"50";"4";"hold the contents in your hands ."
"50";"5";"recycle the paper ."
"51";"1";"pick up the package with both hands ."
"51";"2";"take one hand and tear open the paper ."
"51";"3";"remove the contents ."
"51";"4";"hold the contents in your hands ."
"51";"5";"recycle the paper ."
"52";"1";"pick up the package with both hands ."
"52";"2";"take one hand and tear open the paper ."
"52";"3";"remove the contents ."
"52";"4";"hold the contents in your hands ."
"52";"5";"recycle the paper ."
"53";"1";"pick up the package with both hands ."
"53";"2";"take one hand and tear open the paper ."
"53";"3";"remove the contents ."
"53";"4";"hold the contents in your hands ."
"53";"5";"recycle the paper ."
