"1";"1";"pick up envelope ."
"1";"2";"open flap of envelope ."
"1";"3";"remove contents of envelope ."
"1";"4";"place envelope on counter ."
"1";"5";"place contents of envelope in separate pile ."
"2";"1";"take hold of indicated mail ."
"2";"2";"tear envelope along top fold of envelope being careful not to tear contents ."
"2";"3";"remove contents ."
"3";"1";"locate a sharp object ."
"3";"2";"utilize the sharp object to cut open the piece of mail ."
"3";"3";"remove the contents of the envelope or package ."
"4";"1";"get knife ."
"4";"2";"take letters one by one ."
"4";"3";"open using knife ."
"4";"4";"read mail ."
"4";"5";"next mail ."
"5";"1";"pick up each envelope ."
"5";"2";"cut a quarter of an inch off the top of the envelope ."
"5";"3";"remove the contents of the envelope ."
"6";"1";"get knife ."
"6";"2";"cut letter ."
"6";"3";"get next letter ."
"7";"1";"pick up a letter ."
"7";"2";"cut open the letter with a letter opener ."
"7";"3";"remove the letter s contents ."
"7";"4";"repeat for all letters ."
"8";"1";"go to mailbox ."
"8";"2";"get mail ."
"8";"3";"bring mail in house ."
"8";"4";"open the envelopes with letter opener ."
"8";"5";"take out paper inside envelopes ."
"9";"1";"take letters one by one ."
"9";"2";"open letter using cutter ."
"9";"3";"place letter aside ."
"10";"1";"get paper cutter ."
"10";"2";"get envelopes one by one ."
"10";"3";"cut envelope open ."
"10";"4";"get letter from envelope ."
"11";"1";"take the mail ."
"11";"2";"open the envelope ."
"11";"3";"take out the stationary inside the envelope ."
"11";"4";"unfold the stationary ."
"12";"1";"go to the door ."
"12";"2";"pick up the mail ."
"12";"3";"take the mail to the table ."
"12";"4";"open the mail ."
"13";"1";"hold mail in one hand ."
"13";"2";"get letter opener ."
"13";"3";"slice open seal of mail with letter opener ."
"13";"4";"remove papers out of open envelopes ."
"14";"1";"find the mail ."
"14";"2";"find a letter opener ."
"14";"3";"pick up a piece of mail ."
"14";"4";"slice the top of the letter open with the mail opener ."
"14";"5";"repeat until all envelopes have been opened ."
"15";"1";"get letter opener ."
"15";"2";"cut letter on the edge ."
"15";"3";"extract letter from envelope ."
"15";"4";"open next letter ."
"16";"1";"gather all the mail into one pile ."
"16";"2";"pick up each piece of mail individually ."
"16";"3";"rip open the sealed flap on the envelopes ."
"16";"4";"be careful of not ripping the paper in the envelopes ."
"17";"1";"locate the mail ."
"17";"2";"locate an envelope opener ."
"17";"3";"utilize the envelope opener on each piece of mail ."
"17";"4";"remove the contents of each envelope ."
"17";"5";"read the contents of each envelope ."
"18";"1";"pick up one envelope ."
"18";"2";"pick up a letter-opener ."
"18";"3";"insert the letter-opener into the back-flap of the envelope ."
"18";"4";"pull the letter-opener towards the top of the envelope ."
"18";"5";"set down this envelope ."
"19";"1";"aquire mail ."
"19";"2";"aquire sharp object ."
"19";"3";"cut open mail ."
"20";"1";"pick up mail ."
