"1";"1";"place objects in box ."
"1";"2";"tape box shut ."
"2";"1";"put item in box ."
"2";"2";"close box ."
"2";"3";"tape box shut ."
"3";"1";"fold box ."
"3";"2";"secure box with packing tape ."
"3";"3";"fill box with packing foam ."
"3";"4";"place item in box ."
"3";"5";"close lid of box ."
"3";"6";"secure lid with packing tape ."
"4";"1";"tape the bottom of the mailing box ."
"4";"2";"fill box half way with packing material ."
"4";"3";"insert object to be packed ."
"4";"4";"fill box completely with packing material ."
"4";"5";"seal with tape ."
"5";"1";"tape the bottom of the mailing box ."
"5";"2";"fill box half way with packing material ."
"5";"3";"insert object to be packed ."
"5";"4";"fill box completely with packing material ."
"5";"5";"seal with tape ."
"6";"1";"get a mailing box ."
"6";"2";"insert items in box ."
"7";"1";"get a mailing box ."
"7";"2";"insert items in box ."
"8";"1";"put stuff in mailing box ."
"9";"1";"put stuff in mailing box ."
"10";"1";"obtain box ."
"10";"2";"fill box with items to mail ."
"10";"3";"close and seal the box ."
"10";"4";"fill in the address details ."
"10";"5";"fill in the return address details ."
"10";"6";"affix stamps ."
"10";"7";"give the box to the post office ."
"11";"1";"find a sturdy box of the appropriate size ."
"11";"2";"put the object in the box ."
"11";"3";"fill the empty spaces in the box with packing materials ."
"11";"4";"tape the box shut ."
"11";"5";"address the box ."
"12";"1";"place items in box ."
"12";"2";"tape the box closed with mailing tape ."
"12";"3";"label the box with address to send to ."
"12";"4";"apply appropriate postage ."
"13";"1";"put mail in mail box ."
"13";"2";"keep putting mail in till fill ."
"14";"1";"place items in box ."
"14";"2";"place packing material ."
"14";"3";"seal box with tape ."
"15";"1";"walk ."
"15";"2";"pack mail ."
"16";"1";"walk ."
"16";"2";"pack mail ."
"17";"1";"walk ."
"17";"2";"pack mail ."
"18";"1";"walk ."
"18";"2";"pack mail ."
"19";"1";"walk ."
"19";"2";"pack mail ."
"20";"1";"walk ."
"20";"2";"pack mail ."
"21";"1";"insert package ."
"22";"1";"insert package ."
"23";"1";"insert package ."
"24";"1";"insert package ."
"25";"1";"insert package ."
"26";"1";"insert package ."
"27";"1";"take the mailing box ."
"27";"2";"pack the box ."
"28";"1";"locate a mailing box ."
"28";"2";"fill it up ."
"29";"1";"find a mailing box ."
"29";"2";"pack until full ."
"30";"1";"find box ."
"30";"2";"wrap items ."
"30";"3";"put item in box ."
"30";"4";"fill in area so items wont move ."
"30";"5";"tape box ."
"30";"6";"address box ."
"30";"7";"drop off at post office ."
"31";"1";"find box ."
"31";"2";"wrap items ."
"31";"3";"put item in box ."
"31";"4";"fill in area so items wont move ."
"31";"5";"tape box ."
"31";"6";"address box ."
"31";"7";"drop off at post office ."
"32";"1";"find box ."
"32";"2";"wrap items ."
"32";"3";"put item in box ."
"32";"4";"fill in area so items wont move ."
"32";"5";"tape box ."
"32";"6";"address box ."
"32";"7";"drop off at post office ."
