"1";"1";"locate paint ."
"1";"2";"locate a paintbrush ."
"1";"3";"dip paintbrush into paint ."
"1";"4";"run paintbrush over the wall ."
"2";"1";"locate paint ."
"2";"2";"locate paintbrush ."
"2";"3";"dip paintbrush in paint ."
"2";"4";"run paintbrush across wall ."
"3";"1";"open a can of paint ."
"3";"2";"stir the paint ."
"3";"3";"use a brush to apply paint to wall edges ."
"3";"4";"pour some paint into a rolling pan ."
"3";"5";"use a roller to apply paint to wall surface ."
"4";"1";"open a can of pain ."
"4";"2";"dip paintbrush into the can ."
"4";"3";"brush the paint on the wall ."
"5";"1";"get paint ."
"5";"2";"get tools ."
"5";"3";"start painting ."
"6";"1";"get out a bucket of paint ."
"6";"2";"get out a paitbrush ."
"6";"3";"dip the brush into the paint ."
"6";"4";"brush the paint on the wall ."
"6";"5";"evenly coat the entire wall with paint ."
"7";"1";"pour some paint into a rolling pan ."
"7";"2";"use brush to apply paint to the edges of the wall ."
"7";"3";"use a paint roller to apply paint to area between edges ."
"7";"4";"allow paint to dry ."
"7";"5";"repeat the entire process one more time ."
"8";"1";"clean wall ."
"8";"2";"get paint ."
"8";"3";"dip brush in paint ."
"8";"4";"move brush up and down wall so to leave paint on ."
"8";"5";"cover all wall with paint ."
"8";"6";"wait to dry ."
"9";"1";"get paint ."
"9";"2";"put paint into tray ."
"9";"3";"get roller ."
"9";"4";"put roller in paint ."
"9";"5";"roll paint on wall ."
"10";"1";"choose color of paint ."
"10";"2";"open paint can ."
"10";"3";"get brush ."
"10";"4";"dip brush in paint ."
"10";"5";"rub brush on wall until the wall is covered ."
"10";"6";"repeat the painting until enough coats of paint are added ."
"11";"1";"wash the wall ."
"11";"2";"open the paint ."
"11";"3";"mix the paint ."
"11";"4";"apply paint with the brush ."
"12";"1";"clean first the wall ."
"12";"2";"decide what color of paint do you want ."
"12";"3";"apply  paint with paint roller or brush ."
"13";"1";"clean the wall ."
"13";"2";"paint the wall with primer ."
"13";"3";"paint the wall with wall paint ."
"14";"1";"choose color ."
"14";"2";"buy paint ."
"14";"3";"buy brush ."
"14";"4";"open can ."
"14";"5";"put paint on wall with brush ."
"15";"1";"cover surrounding room to protect from paint ."
"15";"2";"get paint can ."
"15";"3";"get paintbrush ."
"15";"4";"open paint can ."
"15";"5";"stir paint ."
"15";"6";"dip paintbrush in paint can ."
"15";"7";"use paintbrush to spread paint on wall ."
"16";"1";"pour some paint into a tray ."
"16";"2";"dip a paint roller into the paint ."
"16";"3";"hold the roller against the wall ."
"16";"4";"run the roller up and down the wall ."
"17";"1";"decide to paint wall ."
"17";"2";"decide on color ."
"17";"3";"buy paint ."
"17";"4";"buy brushes ."
"17";"5";"move furniture ."
"17";"6";"lay down plastic protection ."
"17";"7";"paint ."
"18";"1";"decide to paint wall ."
"18";"2";"decide on color ."
"18";"3";"buy paint ."
"18";"4";"buy brushes ."
"18";"5";"move furniture ."
"18";"6";"lay down plastic protection ."
"18";"7";"paint ."
"19";"1";"open paint can ."
"19";"2";"stir paint ."
"20";"1";"buy paint ."
"20";"2";"clean wall ."
"20";"3";"open paint paint ."
"21";"1";"clean wall ."
"21";"2";"scrape wall ."
"21";"3";"cover floor with plastic or old blanket ."
"21";"4";"apply paint to wall ."
"22";"1";"get paint ."
"22";"2";"put paint on wall ."
"23";"1";"get paint ."
"23";"2";"put paint on wall ."
"24";"1";"brush wall to make sure it is clean ."
"24";"2";"pry lid off paint can ."
"24";"3";"stir paint ."
"24";"4";"pour paint into tray ."
"24";"5";"coat roller with paint from tray ."
"24";"6";"roll paint onto wall ."
"24";"7";"apply second coat if needed ."
"25";"1";"brush wall to make sure it is clean ."
"25";"2";"pry lid off paint can ."
"25";"3";"stir paint ."
"25";"4";"pour paint into tray ."
"25";"5";"coat roller with paint from tray ."
"25";"6";"roll paint onto wall ."
"25";"7";"apply second coat if needed ."
"26";"1";"clean the wall ."
"26";"2";"buy paint of desired color ."
"26";"3";"open can of paint ."
"26";"4";"put paint thinner in and mix well so color is consistent ."
"26";"5";"add primer to the wall ."
"26";"6";"let the primer dry ."
"26";"7";"paint on the wall and repeat if necessary ."
"27";"1";"clean wall ."
"27";"2";"pour pain in paint bin ."
"27";"3";"put roller in paint ."
"27";"4";"spread paint evenly on wall ."
"28";"1";"choose paint ."
"28";"2";"poor paint in tray ."
"28";"3";"cover brush in paint ."
"28";"4";"apply paint to wall ."
"29";"1";"tape off carpet ."
"29";"2";"open can of paint ."
"29";"3";"pour paint in to paint tray ."
"29";"4";"dip roller into paint tray ."
"29";"5";"roll roller onto wall slowly ."
"29";"6";"dip roller back into paint ."
"29";"7";"roll paint on wall until wall is colored ."
"30";"1";"strip wallpaper remove posters and nails ."
"30";"2";"tape edges ."
"30";"3";"roll base paint layer ."
"30";"4";"let dry for 24 hours ."
"30";"5";"paint second coat ."
"31";"1";"patch cracks ."
"31";"2";"let dry ."
"31";"3";"sand filler ."
"31";"4";"get paint ."
"31";"5";"put down paper to protect from splatter ."
"31";"6";"paint walls ."
"32";"1";"patch cracks ."
"32";"2";"let dry ."
"32";"3";"sand filler ."
"32";"4";"get paint ."
"32";"5";"put down paper to protect from splatter ."
"32";"6";"paint walls ."
"33";"1";"patch cracks ."
"33";"2";"let dry ."
"33";"3";"sand filler ."
"33";"4";"get paint ."
"33";"5";"put down paper to protect from splatter ."
"33";"6";"paint walls ."
"34";"1";"run paintbrush over walls vertically ."
