"1";"1";"take notes ."
"1";"2";"play piano ."
"2";"1";"put the cd in to the player ."
"2";"2";"switch on the player ."
"2";"3";"listen to the song ."
"3";"1";"insert song recording into a music system ."
"3";"2";"turn the music system on ."
"3";"3";"press the play button to play the song ."
"4";"1";"locate archived music ."
"4";"2";"located music device ."
"4";"3";"stick the archived music--tape or cd--into the music player ."
"4";"4";"briefly depress the play button on the music player ."
"5";"1";"choose song from available selection ."
"5";"2";"choose playing device depending upon the media type involved with the song ."
"5";"3";"use appropriate playing device for the particular media as necessary ."
"5";"4";"activate the playing device ."
"6";"1";"get music score for the song ."
"6";"2";"get your instrument ."
"6";"3";"put score on a music stand ."
"6";"4";"prepare to play your instrument ."
"6";"5";"read the notes on the score and play them ."
"7";"1";"get music ."
"7";"2";"get instrument ."
"7";"3";"play music for the song on instrument ."
"8";"1";"find a musical instrument ."
"8";"2";"play a note of the song on the instrument ."
"8";"3";"repeat until all notes of the song have been played ."
"9";"1";"get a radio ."
"9";"2";"choose radio station ."
"9";"3";"turn on the radio ."
"9";"4";"pick a song on that station ."
"9";"5";"let the song play on the radio ."
"10";"1";"locate a music playing device ."
"10";"2";"determine the song to be heard ."
"10";"3";"utilize the music playing device to play the requested song ."
"11";"1";"get music ."
"11";"2";"identify instrument ."
"11";"3";"retrieve instrument ."
"11";"4";"tune instrument ."
"11";"5";"read music ."
"11";"6";"play instrument ."
"11";"7";"replace objects ."
"12";"1";"find an instrument ."
"12";"2";"learn to read musical notes ."
"12";"3";"learn to play each note ."
"12";"4";"get sheet music ."
"12";"5";"play each note on sheet music ."
"12";"6";"do it again until it sounds right ."
"13";"1";"pick a cd ."
"13";"2";"insert it ."
"13";"3";"push play ."
"14";"1";"identify song ."
"14";"2";"place music storage device in music player ."
"14";"3";"skip to correct song ."
"14";"4";"play song ."
"15";"1";"choose song-playing device ."
"15";"2";"turn on song-playing device ."
"16";"1";"insert a cd ."
"16";"2";"push play on the cd player ."
"17";"1";"select a cd ."
"17";"2";"put the disc in the cd player ."
"17";"3";"select the track number of the song you want to play ."
"17";"4";"input the track number into the player ."
"17";"5";"press the play button ."
"18";"1";"choose a cd ."
"18";"2";"put the cd in the cd player ."
"18";"3";"rpess the play button ."
"19";"1";"pick the song ."
"19";"2";"find your instrument ."
"19";"3";"pick up instrument ."
"19";"4";"tune instrument ."
"19";"5";"play song ."
"20";"1";"pick up a cd ."
"20";"2";"turn cd player on ."
"20";"3";"insert cd into player ."
"20";"4";"select song on cd player ."
"20";"5";"hit play button ."
"21";"1";"look at the sheet music ."
"21";"2";"play the music on your piano ."
"22";"1";"in ."
"23";"1";"pick a cd ."
"23";"2";"open the cd case ."
"23";"3";"open the top of the cd player ."
"23";"4";"set the cd in the player ."
"23";"5";"close the top of the cd player ."
"23";"6";"wait for cd player to be ready ."
"23";"7";"click play ."
"24";"1";"pick a song to listen to ."
"24";"2";"take the cd out of the case ."
"24";"3";"put the cd in the cd player ."
"24";"4";"press play ."
"24";"5";"listen to the song ."
"25";"1";"pick a song to listen to ."
"25";"2";"take the cd out of the case ."
"25";"3";"put the cd in the cd player ."
"25";"4";"press play ."
"25";"5";"listen to the song ."
"26";"1";"pick a song to listen to ."
"26";"2";"take the cd out of the case ."
"26";"3";"put the cd in the cd player ."
"26";"4";"press play ."
"26";"5";"listen to the song ."
"27";"1";"turn on the radio ."
"27";"2";"turn to desired song ."
"27";"3";"listen to the song ."
"28";"1";"turn on the radio ."
"28";"2";"turn to desired song ."
"28";"3";"listen to the song ."
"29";"1";"put cd in stereo ."
"29";"2";"press play ."
"30";"1";"walk to audio system ."
"30";"2";"turn on ."
"30";"3";"choose song ."
"30";"4";"push play ."
"31";"1";"choose a song you want to play ."
"32";"1";"start media player ."
"32";"2";"click on music ."
"32";"3";"press play ."
"32";"4";"turn up speakers ."
"32";"5";"enjoy ."
"33";"1";"composing words ."
"33";"2";"composing the music ."
"33";"3";"putting the music with the words ."
"33";"4";"practice ."
"34";"1";"turn mp3 player on ."
"34";"2";"pick a song ."
"34";"3";"press play ."
"35";"1";"play ."
"35";"2";"songs ."
"36";"1";"turn on your music device ."
"36";"2";"press the play button ."
