"1";"1";"find the appliance s electric plug ."
"1";"2";"find an electrical outlet ."
"1";"3";"put the plug into the outlet ."
"2";"1";"find appliance s electric cord ."
"2";"2";"plug cord into electrical wall outlet ."
"3";"1";"locate the cord on the appliance ."
"3";"2";"locate the plug on the cord ."
"3";"3";"locate an electrical outlet for the plug ."
"3";"4";"insert the plug into the electrical outlet ."
"4";"1";"find electric outlet ."
"4";"2";"put appliance plug in electric outlet ."
"5";"1";"locate power cord ."
"5";"2";"locate power outlet ."
"5";"3";"put plug into outlet ."
"6";"1";"find appliance plug ."
"6";"2";"find power plug ."
"6";"3";"insert appliance plug in power plug ."
"7";"1";"put the appliance near an outlet ."
"7";"2";"make sure the outlet is not in use ."
"7";"3";"put the plug end of the cord into the outlet ."
"8";"1";"grasp the plug ."
"8";"2";"locate the electric socket ."
"8";"3";"press the plug into the socket ."
"9";"1";"find plug of the appliance ."
"9";"2";"find outlet ."
"9";"3";"put plug in outlet ."
"10";"1";"locate power outlet ."
"10";"2";"locate cord ."
"10";"3";"plug cord into power outlet ."
"11";"1";"find an outlet near the appliance ."
"11";"2";"turn the plug in the correct direction ."
"11";"3";"plug the plug into the outlet ."
"12";"1";"pick up the cord end ."
"12";"2";"finding an outlet ."
"12";"3";"plugging the cord into the outlet ."
"13";"1";"locate an electric outlet ."
"13";"2";"find the power cord of the electric appliance ."
"13";"3";"plug the power cord into the outlet ."
"14";"1";"take electric plug ."
"14";"2";"go to nearest electric outlet ."
"14";"3";"insert plug in outlet ."
"15";"1";"grab appliance plug ."
"15";"2";"take to nearest power outlet moving the appliance if neccessary ."
"15";"3";"insert plug into outlet ."
"16";"1";"find outlet ."
"16";"2";"plug plug into outlet ."
"17";"1";"find an electric appliance ."
"17";"2";"find the appliance s power cord ."
"17";"3";"pick up the power cord by the power connector ."
"17";"4";"plug the connector into an electrical outlet ."
"18";"1";"find electricity socket ."
"18";"2";"find plug on electric appliance ."
"18";"3";"put plug in socket ."
"19";"1";"pick up the plug ."
"19";"2";"find an outlet ."
"19";"3";"plug the plug into the outlet ."
"20";"1";"find the electric appliance ."
"20";"2";"find the cord on it ."
"20";"3";"find an outlet ."
"20";"4";"plug the cord into the outlet ."
"21";"1";"put the plug in a main outlet of the electric appliance ."
"22";"1";"get cord ."
"22";"2";"find outlet ."
"22";"3";"insert plug into outlet ."
"23";"1";"locate an open electrical outlet ."
"23";"2";"put the appliance where you want it ."
"23";"3";"take the applicance s plug and insert it in the open electrical outlet ."
"24";"1";"hold plug in your hand ."
"24";"2";"put plug into electrical socket ."
"25";"1";"hold plug in your hand ."
"25";"2";"put plug into electrical socket ."
"26";"1";"push the plug into the outlet ."
"27";"1";"push the plug into the outlet ."
"28";"1";"put the plug into an outlet ."
"29";"1";"pick up the plug ."
"29";"2";"find a wall socket ."
"29";"3";"put the plug in the wall ."
"30";"1";"take the appliance ."
"30";"2";"select suitable socket ."
"30";"3";"plug the wire ."
"30";"4";"swith on the appliance ."
"31";"1";"take the appliance ."
"31";"2";"select suitable socket ."
"31";"3";"plug the wire ."
"31";"4";"swith on the appliance ."
"32";"1";"locate plug socket ."
"32";"2";"hold plug ."
"32";"3";"push plug into socket ."
"33";"1";"take cord ."
"33";"2";"put plug in socket ."
"34";"1";"take cord ."
"34";"2";"put plug in socket ."
"35";"1";"take cord ."
"35";"2";"put plug in socket ."
"36";"1";"take cord ."
"36";"2";"put plug in socket ."
"37";"1";"take cord ."
"37";"2";"put plug in socket ."
"38";"1";"take cord ."
"38";"2";"put plug in socket ."
"39";"1";"take cord ."
"39";"2";"put plug in socket ."
"40";"1";"take cord ."
"40";"2";"put plug in socket ."
"41";"1";"take cord ."
"41";"2";"put plug in socket ."
"42";"1";"take cord ."
"42";"2";"put plug in socket ."
"43";"1";"locate plug ."
"43";"2";"locate socket ."
"43";"3";"insert plug into socket ."
"43";"4";"switch on socket ."
"44";"1";"locate plug ."
"44";"2";"locate socket ."
"44";"3";"insert plug into socket ."
"44";"4";"switch on socket ."
"45";"1";"locate plug ."
"45";"2";"locate socket ."
"45";"3";"insert plug into socket ."
"45";"4";"switch on socket ."
"46";"1";"locate plug ."
"46";"2";"locate socket ."
"46";"3";"insert plug into socket ."
"46";"4";"switch on socket ."
"47";"1";"locate plug ."
"47";"2";"locate socket ."
"47";"3";"insert plug into socket ."
"47";"4";"switch on socket ."
"48";"1";"grasp the plug ."
"48";"2";"find an electrical outlet ."
"48";"3";"insert the plug into the outlet ."
"49";"1";"grasp the plug ."
"49";"2";"find an electrical outlet ."
"49";"3";"insert the plug into the outlet ."
"50";"1";"grasp the plug ."
"50";"2";"find an electrical outlet ."
"50";"3";"insert the plug into the outlet ."
"51";"1";"grasp the plug ."
"51";"2";"find an electrical outlet ."
"51";"3";"insert the plug into the outlet ."
"52";"1";"grasp the plug ."
"52";"2";"find an electrical outlet ."
"52";"3";"insert the plug into the outlet ."
"53";"1";"grasp the plug ."
"53";"2";"find an electrical outlet ."
"53";"3";"insert the plug into the outlet ."
"54";"1";"find end of cord ."
"54";"2";"place plug in wall socket ."
"55";"1";"find end of cord ."
"55";"2";"place plug in wall socket ."
"56";"1";"find electric applicance plug ."
"56";"2";"find proper electric socket ."
"56";"3";"insert plug into socket ."
"57";"1";"grasp electric cord ."
"57";"2";"put metal prongs into wall socket ."
"58";"1";"grasp electric cord ."
"58";"2";"put metal prongs into wall socket ."
"59";"1";"grasp electric cord ."
"59";"2";"put metal prongs into wall socket ."
"60";"1";"grasp electric cord ."
"60";"2";"put metal prongs into wall socket ."
"61";"1";"grab cord ."
"61";"2";"find electrical outlet ."
"61";"3";"plug in cord ."
"62";"1";"grab cord ."
"62";"2";"find electrical outlet ."
"62";"3";"plug in cord ."
"63";"1";"grab cord ."
"63";"2";"find electrical outlet ."
"63";"3";"plug in cord ."
"64";"1";"grab cord ."
"64";"2";"find electrical outlet ."
"64";"3";"plug in cord ."
"65";"1";"take cord with plug in hand ."
"65";"2";"look for outlet ."
"65";"3";"find outlet ."
"65";"4";"move plug to outlet ."
"65";"5";"align plug ."
"65";"6";"push into outlet ."
"65";"7";"it s plugged in now ."
"66";"1";"obtain electric appliance ."
"66";"2";"take appliance to nearest outlet ."
"66";"3";"plug in appliance into outlet ."
"67";"1";"obtain electric appliance ."
"67";"2";"take appliance to nearest outlet ."
"67";"3";"plug in appliance into outlet ."
