"1";"1";"examine the charger to see where the positive side goes ."
"1";"2";"place the battery accordingly into the charger ."
"2";"1";"locate the opening on the object to be charged ."
"2";"2";"turn off the charger ."
"2";"3";"plug in the end of the charger cable into the object ."
"2";"4";"turn on the charger ."
"3";"1";"getting the battery ."
"3";"2";"getting the charger ."
"3";"3";"connecting the charger to a power source ."
"3";"4";"connecting the battery to the charger ."
"4";"1";"take the battery ."
"4";"2";"put the battery into the charger ."
"5";"1";"get batter ."
"5";"2";"get charger ."
"5";"3";"put battery into charger ."
"5";"4";"plug charger into power outlet ."
"6";"1";"identify in what direction the battery has to go into the charger ."
"6";"2";"push the battery into the charger ."
"7";"1";"take the battery ."
"7";"2";"place the battery in the correct position ."
"7";"3";"put the battery into the slot of the charger ."
"8";"1";"fetch battery ."
"8";"2";"insert battery into charger ."
"9";"1";"search for the battery ."
"9";"2";"search for the charger ."
"9";"3";"put the battery on the charger ."
"10";"1";"plug in the charger ."
"10";"2";"connect the charger with battery ."
"11";"1";"take battery out of device ."
"11";"2";"put battery in charger ."
"11";"3";"plug charger into wall ."
"12";"1";"put battery into the charger ."
"13";"1";"locate battery ."
"13";"2";"remove battery ."
"13";"3";"plug in charger to a functioning electrical outlet ."
"13";"4";"insert battery into charger ."
"14";"1";"place battery into charger ."
"14";"2";"plug charger into wall ."
"15";"1";"take battery ."
"15";"2";"take charger ."
"15";"3";"place battery into slot on charger ."
"16";"1";"open charger ."
"16";"2";"place battery in charger ."
"16";"3";"close charger ."
"16";"4";"plug in charger ."
"17";"1";"plug in charger ."
"17";"2";"open charger lid ."
"17";"3";"insert battery ."
"17";"4";"close lid ."
"18";"1";"find charger ."
"18";"2";"get battery ."
"18";"3";"bring battery and charger together ."
"19";"1";"remove battery from device ."
"19";"2";"put battery into charger ."
"19";"3";"plug charger into wall ."
"19";"4";"remove when battery is full ."
"20";"1";"hold battery ."
"20";"2";"hold charger ."
"20";"3";"put battery on chargerpush firmly ."
"21";"1";"get charger ."
"21";"2";"put battery in charger ."
"21";"3";"turn on charger ."
"22";"1";"pick up battery ."
"22";"2";"place battery on charger at proper place ."
"22";"3";"make sure battery charger is hooked into a wall socket properly ."
"22";"4";"let the battery charger charge the battery ."
"23";"1";"remove batteries from device ."
"23";"2";"place in charger ."
"23";"3";"plug charger in ."
"23";"4";"let charge ."
"23";"5";"remove batteries ."
"24";"1";"line up positive and negative ."
"24";"2";"insert battery ."
"24";"3";"plug in charger ."
"24";"4";"turn on charger ."
"24";"5";"wait for indicator light ."
"24";"6";"remove batteries ."
"24";"7";"unplug charger ."
"25";"1";"line up positive and negative ."
