"1";"1";"find the beer ."
"1";"2";"find a glass ."
"1";"3";"find a can opener ."
"1";"4";"open the beer ."
"1";"5";"tilt the beer bottle ."
"1";"6";"let the beer flow out to the glass ."
"1";"7";"put the beer bottle down ."
"2";"1";"open beer bottle ."
"2";"2";"lift lip of bottle against glass ."
"2";"3";"pour beer into glass ."
"3";"1";"tilt the glass ."
"3";"2";"pour bear from bottle into glass ."
"4";"1";"take a beer bottle ."
"4";"2";"open the beer bottle ."
"4";"3";"place the neck of the beer bottle over the glass ."
"4";"4";"tilt the bottle ."
"4";"5";"wait until the bottle is empty ."
"4";"6";"put down the bottle ."
"5";"1";"get beer and glass ."
"5";"2";"open beer ."
"5";"3";"move bottle over glass ."
"5";"4";"tilt bottle so that beer pours into glass ."
"5";"5";"when no more beer in bottle stop ."
"6";"1";"open beer bottle ."
"6";"2";"hold glass diagonally ."
"6";"3";"pour beer into glass letting it flow along the diagonal ."
"6";"4";"stop when glass is full ."
"7";"1";"open the bottle or tap ."
"7";"2";"tip the bottle or tap handle over the bottle ."
"7";"3";"watch the beer risie in the glass ."
"7";"4";"stop pouring when the glass is full ."
"8";"1";"open beer bottle ."
"8";"2";"get glass ."
"8";"3";"tilt beer bottle while holding it over glass ."
"8";"4";"allow beer to flow into glass ."
"8";"5";"stop when glass full or bottle empty ."
"9";"1";"find a beer ."
"9";"2";"find a beer glass ."
"9";"3";"open the beer ."
"9";"4";"pour the beer slowly into the glass ."
"10";"1";"open beer bottle ."
"10";"2";"tilt beer glass ."
"10";"3";"set beer bottle neck to beer glass ."
"10";"4";"slowly turn beer bottle upside down ."
"10";"5";"stop when glass is filled ."
"11";"1";"locate a container of beer ."
"11";"2";"locate a glass ."
"11";"3";"open the container of beer ."
"11";"4";"transfer the beer from the container to the glass ."
"12";"1";"fetch a glass ."
"12";"2";"get a beer ."
"12";"3";"open the beer ."
"12";"4";"pour the beer in the glass ."
"13";"1";"get a clean glass ."
"13";"2";"open the bottle of beer ."
"13";"3";"put the bottle mouth over the glass ."
"13";"4";"tilt the bottle slightly ."
"13";"5";"wait for beer to pour out ."
"13";"6";"stop when glass is almost full ."
"14";"1";"get bottle of beer ."
"14";"2";"get glass ."
"14";"3";"if glass is dirty clean glass ."
"14";"4";"open bottle of beer ."
"14";"5";"empty beer in glass ."
"15";"1";"get the beer ."
"15";"2";"get the glass ."
"15";"3";"open the beer ."
"15";"4";"pour the beer into the glass ."
"15";"5";"discard the empty beer bottle into the recycling ."
"15";"6";"serve the beer in the glass ."
"16";"1";"acquire glass ."
"16";"2";"acquire beer can or beer bottle ."
"16";"3";"open beer can or beer bottle ."
"16";"4";"lift beer can or beer bottle ."
"16";"5";"tilt can or bottle forward ."
"17";"1";"put beer into a glass ."
"18";"1";"get an empty glass ."
"18";"2";"open the bottle of beer ."
"18";"3";"pour slowly into the glass ."
"19";"1";"get an empty glass ."
"19";"2";"pour the beer slowly into a glass ."
"20";"1";"open fridge ."
"20";"2";"select beer ."
"20";"3";"open cabinet ."
"20";"4";"select glass ."
"20";"5";"open beer ."
"20";"6";"pick up beer ."
"20";"7";"pour beer into glass ."
"21";"1";"tilt the glass ."
"21";"2";"pour the beer until the glass is 3/4ths full ."
"21";"3";"as you fill the last 1/4th of the glass with beer gradually tilt the glass up straight again ."
"22";"1";"get the beer bottle ."
"22";"2";"get a cup ."
"22";"3";"put them on a table ."
"22";"4";"pour the beer in the cup ."
"23";"1";"open beer ."
"23";"2";"tilt glass ."
"23";"3";"pour beer onto side of glass ."
"23";"4";"as glass gets full tilt glass back up ."
"23";"5";"stop pouring when glass is full or beer is empty ."
"24";"1";"open beer ."
"24";"2";"get glass ."
"24";"3";"pour beer into glass ."
"25";"1";"take beer out of cooler ."
"25";"2";"open beer ."
"25";"3";"left beer to glass ."
"25";"4";"pour beer into glass ."
"26";"1";"open the beer ."
"26";"2";"hold the glass ."
"26";"3";"pour the beer into the glass ."
"27";"1";"open the beer ."
"27";"2";"hold the glass ."
"27";"3";"pour the beer into the glass ."
"28";"1";"get a glass ."
"28";"2";"get a beer ."
"28";"3";"open the beer ."
"28";"4";"pour the beer ."
"29";"1";"get a glass ."
"29";"2";"get a beer ."
"29";"3";"open the beer ."
"29";"4";"pour the beer ."
