"1";"1";"grip chair ."
"1";"2";"move forward ."
"1";"3";"turn in direction requested ."
"1";"4";"stop when requested ."
"2";"1";"go to wheelchair ."
"2";"2";"grip wheelchair ."
"2";"3";"push in direction requested ."
"2";"4";"stop when requested ."
"3";"1";"push ."
"4";"1";"move behind chair ."
"4";"2";"place hands on handles ."
"4";"3";"push forward ."
"4";"4";"walk forward ."
"5";"1";"place someone into a wheelchair ."
"5";"2";"push the chair with your hands ."
"6";"1";"place person in wheelchair ."
"6";"2";"step behind wheelchair ."
"6";"3";"take hold of the handles on the wheelchair ."
"6";"4";"push and walk behind the chair ."
"6";"5";"do not let go as long as you are pushing ."
"7";"1";"help someone to sit in a wheelchair ."
"7";"2";"push the wheelchair to the location to which the person wishes to go ."
"8";"1";"grasp the wheel chair handles ."
"8";"2";"walk forward ."
"9";"1";"face wheel chair in the desired direction ."
"9";"2";"position yourself behind the wheel chair ."
"9";"3";"move forward ."
"9";"4";"continue moving until wheel chair is at the desired location ."
"10";"1";"ask someone to sit in the wheel chair ."
"10";"2";"hold the wheel chair handles ."
"10";"3";"push the wheel chair ."
"11";"1";"grab the handles of the weelchair ."
"11";"2";"start walking ."
"12";"1";"ask whether you can assist ."
"12";"2";"push wheel chair ."
"13";"1";"hold wheel chair handles ."
"13";"2";"start walking and push hand forward ."
"13";"3";"make sure wheel chair at safe distance in front of you ."
"14";"1";"get behind the wheel chair ."
"14";"2";"lean against wheel chair so that it moves slowly ."
"14";"3";"start waking still leaning forward ."
"15";"1";"get behind the person s wheelchair ."
"15";"2";"grab on to the wheelchair handles ."
"15";"3";"walk while applying pressure forward to the wheelchair ."
"16";"1";"hold onto wheel chair handles ."
"16";"2";"push wheel chair forward ."
"17";"1";"hold the handle of the wheel chair ."
"17";"2";"ask the person if he s ready ."
"17";"3";"push the wheel chair slowly ."
"18";"1";"ask the person where they want to go ."
"18";"2";"grab the handles of the wheelchair ."
"18";"3";"lean a little forward and start walking ."
"19";"1";"unlock wheels ."
"19";"2";"push ."
"20";"1";"find someone in a wheel chair ."
"20";"2";"understand direction ."
"20";"3";"exert force on the wheel chair ."
"21";"1";"ask the person where they d like to go ."
"21";"2";"walk behind wheelchair ."
"21";"3";"take hold of handles ."
"21";"4";"walk slowly and smoothly pushing ."
"22";"1";"push on  the back handles ."
"23";"1";"stand behind wheel chair ."
"23";"2";"grab handles ."
"23";"3";"ensure person is properly in chair ."
"23";"4";"walk forward slowly whilst holding handles ."
"23";"5";"move hands in direction needed to go ."
"24";"1";"grasp handles ."
"24";"2";"push slowly ."
"25";"1";"grab onto wheelchair handles ."
"25";"2";"release wheelchair brakes ."
"25";"3";"push wheelchair ."
"26";"1";"push ."
"27";"1";"push ."
"28";"1";"push ."
"29";"1";"push ."
"30";"1";"push ."
"31";"1";"push ."
"32";"1";"grab handles ."
"32";"2";"push forward ."
"33";"1";"find wheel chair ."
"33";"2";"have person sit in chair ."
"33";"3";"push chair from behind ."
"34";"1";"find wheel chair ."
"34";"2";"have person sit in chair ."
"34";"3";"push chair from behind ."
"35";"1";"find wheel chair ."
"35";"2";"have person sit in chair ."
"35";"3";"push chair from behind ."
"36";"1";"find wheel chair ."
"36";"2";"have person sit in chair ."
"36";"3";"push chair from behind ."
"37";"1";"find wheel chair ."
"37";"2";"have person sit in chair ."
"37";"3";"push chair from behind ."
"38";"1";"find wheel chair ."
"38";"2";"have person sit in chair ."
"38";"3";"push chair from behind ."
"39";"1";"release the brake ."
"39";"2";"grab both handles firmly in each hand ."
"39";"3";"push the wheel chair in the deseried direction ."
"40";"1";"release the brake ."
"40";"2";"grab both handles firmly in each hand ."
"40";"3";"push the wheel chair in the deseried direction ."
"41";"1";"release the brake ."
"41";"2";"grab both handles firmly in each hand ."
"41";"3";"push the wheel chair in the deseried direction ."
"42";"1";"release the brake ."
"42";"2";"grab both handles firmly in each hand ."
"42";"3";"push the wheel chair in the deseried direction ."
"43";"1";"take hold of the handles ."
"43";"2";"push with gentle force ."
"43";"3";"walk with the chair in front of you ."
"44";"1";"put hands on handle ."
"44";"2";"walk and push chair ."
"45";"1";"put hands on handle ."
"45";"2";"walk and push chair ."
"46";"1";"take wheel chair ."
"46";"2";"grab handle ."
"46";"3";"push the chair ."
"47";"1";"take wheel chair ."
"47";"2";"grab handle ."
"47";"3";"push the chair ."
"48";"1";"take hold of the handles ."
"48";"2";"push wheelchair ."
"49";"1";"take hold of the handles ."
"49";"2";"push wheelchair ."
