"1";"1";"locate the thing to push ."
"1";"2";"position yourself behind it ."
"1";"3";"push ."
"2";"1";"locate the thing to be pushed ."
"2";"2";"move to that thing ."
"2";"3";"put hands on the thing ."
"2";"4";"move towards the direction desired while hands held against the thing ."
"3";"1";"see whether the object might fall if pushed ."
"3";"2";"if not push object with your hands ."
"4";"1";"move toward something ."
"4";"2";"make contact with it ."
"4";"3";"continue moving ."
"5";"1";"approach the object ."
"5";"2";"place hands on the object ."
"5";"3";"lean toward the object ."
"5";"4";"hopefully this will move the object where you need it ."
"6";"1";"apply pressure to something ."
"7";"1";"move behind object ."
"7";"2";"lean towards object ."
"7";"3";"put hands on object ."
"7";"4";"move your weight forward pressing your hands on object ."
"8";"1";"position yourself behind object ."
"8";"2";"lean against object with hands in front ."
"8";"3";"apply weight to object so that it moves ."
"8";"4";"stop when reached desired location ."
"9";"1";"move to object ."
"9";"2";"apply force to the object ."
"10";"1";"put one s hand on the thing ."
"10";"2";"apply force to the thing ."
"11";"1";"place hands on object ."
"11";"2";"apply force to move object across floor ."
"12";"1";"place hands on object ."
"12";"2";"push it ."
"13";"1";"find something ."
"13";"2";"push on something ."
"14";"1";"get close to something ."
"14";"2";"put arms on something ."
"15";"1";"of placing hands on object to be pushed ."
"15";"2";"have feet firmly on the ground ."
"16";"1";"get behind something ."
"16";"2";"move something forward ."
"17";"1";"place yourself next to the thing ."
"17";"2";"put both of your palm on the side of the thing ."
"17";"3";"start pushing forward ."
"18";"1";"place yourself next to the thing ."
"18";"2";"put both of your palm on the side of the thing ."
"18";"3";"start pushing forward ."
"19";"1";"stand behind ."
"19";"2";"place hands on object lean into the object ."
"19";"3";"walk forward pushing with arms ."
"20";"1";"stand behind ."
"20";"2";"place hands on object lean into the object ."
"20";"3";"walk forward pushing with arms ."
"21";"1";"stand behind ."
"21";"2";"place hands on object lean into the object ."
"21";"3";"walk forward pushing with arms ."
"22";"1";"put hands on something ."
"22";"2";"apply pressure to push ."
"23";"1";"place hands on object ."
"23";"2";"push object away from self ."
"24";"1";"place hands on object ."
"24";"2";"push object away from self ."
"25";"1";"plan out location ."
"25";"2";"decide on method/strategy ."
"25";"3";"bend knees ."
"25";"4";"push with hands with body weight behind ."
"25";"5";"push object to desired state ."
"26";"1";"walk ."
"26";"2";"push object ."
"27";"1";"walk ."
"27";"2";"push object ."
"28";"1";"walk ."
"28";"2";"push object ."
"29";"1";"walk ."
"29";"2";"push object ."
"30";"1";"walk ."
"30";"2";"push object ."
"31";"1";"walk ."
"31";"2";"push object ."
"32";"1";"push thing ."
"33";"1";"face object ."
"33";"2";"place both hands on object ."
"33";"3";"lean on object ."
"33";"4";"extend arms ."
"34";"1";"face towards object ."
"34";"2";"place hands on object ."
"34";"3";"lean forward towards object ."
"34";"4";"use weight of your body through your hands to push against object ."
"35";"1";"face towards object ."
"35";"2";"place hands on object ."
"35";"3";"lean forward towards object ."
"35";"4";"use weight of your body through your hands to push against object ."
"36";"1";"face towards object ."
"36";"2";"place hands on object ."
"36";"3";"lean forward towards object ."
"36";"4";"use weight of your body through your hands to push against object ."
"37";"1";"face towards object ."
"37";"2";"place hands on object ."
"37";"3";"lean forward towards object ."
"37";"4";"use weight of your body through your hands to push against object ."
"38";"1";"select object to push ."
"38";"2";"walk up to object ."
"38";"3";"place your hands on object ."
"38";"4";"gently push the object ."
"39";"1";"select object to push ."
"39";"2";"walk up to object ."
"39";"3";"place your hands on object ."
"39";"4";"gently push the object ."
"40";"1";"select object to push ."
"40";"2";"walk up to object ."
"40";"3";"place your hands on object ."
"40";"4";"gently push the object ."
"41";"1";"use force on something ."
