"1";"1";"pick up a story book ."
"1";"2";"move close to the child ."
"1";"3";"turn to page one of the book ."
"1";"4";"start reading from the book ."
"1";"5";"once end of a page is reached move to the next page ."
"1";"6";"stop when child is asleep or asked to stop ."
"2";"1";"get book ."
"2";"2";"open at begining of story ."
"2";"3";"start reading from book ."
"2";"4";"pause at important moments ."
"2";"5";"end story ."
"3";"1";"choose a story with the child ."
"3";"2";"open the book at the beginning of the story ."
"3";"3";"read the story out loud ."
"4";"1";"get book ."
"4";"2";"open book to desired page ."
"4";"3";"read story ."
"4";"4";"close book ."
"5";"1";"find a story ."
"5";"2";"find a child ."
"5";"3";"read the words on a page of the story to the child ."
"5";"4";"turn the page ."
"5";"5";"repeat until you have read all of the pages ."
"6";"1";"choose a story to read to the child ."
"6";"2";"sit down in a chair with the child in your lap ."
"6";"3";"open the book to the beginning of the story ."
"6";"4";"begin to read the book ."
"6";"5";"turn the pages when necessary ."
"7";"1";"locate a child ."
"7";"2";"locate an appropriate children s story to read ."
"7";"3";"recite the text from the story from beginning to end ."
"8";"1";"get a book ."
"8";"2";"sit down with a child ."
"8";"3";"open the book ."
"8";"4";"read the book out loud to the child ."
"9";"1";"get child in bed ."
"9";"2";"get book ."
"9";"3";"open book at the correct page ."
"9";"4";"start reading ."
"9";"5";"when child is asleep stop reading ."
"9";"6";"mark the page ."
"9";"7";"close book ."
"10";"1";"choose book ."
"10";"2";"open book ."
"10";"3";"read book ."
"11";"1";"get book ."
"11";"2";"open book ."
"11";"3";"read aloud to child ."
"12";"1";"select a book ."
"12";"2";"sit next to the child ."
"12";"3";"open the book ."
"12";"4";"read the words written in the book ."
"12";"5";"close the book ."
"12";"6";"return the book ."
"13";"1";"get a story book ."
"13";"2";"open the story book where you stoped yesterday (if not new) ."
"13";"3";"breif the child about what you read yesterday ."
"13";"4";"begine reading the story ."
"14";"1";"find the child ."
"14";"2";"find a story ."
"14";"3";"open story to first page ."
"14";"4";"read story to child ."
"15";"1";"find comfortable place to sit ."
"15";"2";"sit down with child ."
"15";"3";"find age appropreate book for child ."
"15";"4";"open book ."
"15";"5";"read book with child ."
"15";"6";"look at pictures with child ."
"15";"7";"tell child name or author of book ."
"16";"1";"determine if child wants to be read to ."
"16";"2";"ask what they want to hear ."
"16";"3";"listen to their answer ."
"16";"4";"find the book ."
"16";"5";"find a comfortable setting to read ."
"16";"6";"read the story ."
"16";"7";"tuck in sleeping child ."
"17";"1";"sit child down ."
"17";"2";"open book ."
"17";"3";"read book ."
"18";"1";"sit child down ."
"18";"2";"open book ."
"18";"3";"read book ."
"19";"1";"discern if child wants to hear a story ."
"19";"2";"ask child for story suggestions ."
"19";"3";"decide on story ."
"19";"4";"find book ."
"19";"5";"find place to read ."
"19";"6";"read to child ."
"19";"7";"tuck in sleeping child ."
"20";"1";"choose a book ."
"20";"2";"sit down next to child ."
"20";"3";"read the words in the book ."
"20";"4";"put book away ."
"21";"1";"sit a child down ."
"21";"2";"sit near the child ."
"21";"3";"open book ."
"21";"4";"find first page ."
"21";"5";"start reading sentences ."
"22";"1";"select a story ."
"22";"2";"ask the child to sit and be still ."
"22";"3";"open the story to the beginning ."
"22";"4";"read the page ."
"22";"5";"pause to let child see pictures ."
"22";"6";"turn page ."
"22";"7";"read ."
