"1";"1";"remove old filter ."
"1";"2";"throw away old filter ."
"1";"3";"open new filter ."
"1";"4";"install new filter according to package instructions ."
"2";"1";"remove old filter ."
"2";"2";"locate new filter ."
"2";"3";"screw on new filter ."
"3";"1";"unscrew filter ."
"3";"2";"remove old filter ."
"3";"3";"replace with new filter ."
"3";"4";"screw filter back on ."
"4";"1";"unscrew filter holder from tap ."
"4";"2";"remove old filter ."
"4";"3";"place new filter ."
"4";"4";"screw filter holder onto tap ."
"5";"1";"remove filter from tap ."
"5";"2";"remove old filter ."
"5";"3";"place new filter ."
"5";"4";"attach water filter to tap ."
"6";"1";"remove water tap ."
"6";"2";"remove filter from tap ."
"6";"3";"put in new filter ."
"6";"4";"put water tap back on ."
"7";"1";"unscrew faucet tap ."
"7";"2";"remove old filter ."
"7";"3";"put new filter into water tap ."
"7";"4";"rescrew the faucet tap back into place ."
"8";"1";"remove old water tap filter ."
"8";"2";"put old water tap filter in garbage ."
"8";"3";"find new water tap filter ."
"8";"4";"put new water tap filter into the filter container ."
"9";"1";"remove tap ."
"9";"2";"remove old filter ."
"9";"3";"put in new filter ."
"9";"4";"put back tap ."
"10";"1";"take the lid off the jug ."
"10";"2";"remove the old filter ."
"10";"3";"put int he new filter ."
"10";"4";"fill the jug ."
"10";"5";"put the lid on ."
"10";"6";"throw away the old filter ."
"11";"1";"turn off water ."
"11";"2";"remove filter ."
"11";"3";"place new filter on tap ."
"11";"4";"turn on water ."
"12";"1";"buy new filter ."
"12";"2";"open filter holder ."
"12";"3";"remove old filter ."
"12";"4";"put new filter in ."
"12";"5";"close filter container ."
"12";"6";"run water through filter ."
"12";"7";"turn off water ."
"13";"1";"remove and dispose of old filter ."
"13";"2";"install new filter ."
"14";"1";"remove cover on dispenser ."
"14";"2";"remove old filter ."
"14";"3";"insert new filter ."
"14";"4";"replace cover on dispenser ."
"15";"1";"remove cover on dispenser ."
"15";"2";"remove old filter ."
"15";"3";"insert new filter ."
"15";"4";"replace cover on dispenser ."
"16";"1";"remove cover on dispenser ."
"16";"2";"remove old filter ."
"16";"3";"insert new filter ."
"16";"4";"replace cover on dispenser ."
"17";"1";"remove cover on dispenser ."
"17";"2";"remove old filter ."
"17";"3";"insert new filter ."
"17";"4";"replace cover on dispenser ."
"18";"1";"remove cover on dispenser ."
"18";"2";"remove old filter ."
"18";"3";"insert new filter ."
"18";"4";"replace cover on dispenser ."
"19";"1";"remove cover on dispenser ."
"19";"2";"remove old filter ."
"19";"3";"insert new filter ."
"19";"4";"replace cover on dispenser ."
"20";"1";"remove cover on dispenser ."
"20";"2";"remove old filter ."
"20";"3";"insert new filter ."
"20";"4";"replace cover on dispenser ."
"21";"1";"remove cover on dispenser ."
"21";"2";"remove old filter ."
"21";"3";"insert new filter ."
"21";"4";"replace cover on dispenser ."
"22";"1";"turn off water ."
"22";"2";"remove old filter ."
"22";"3";"put on new filter ."
"22";"4";"turn water on ."
"23";"1";"turn off water ."
"23";"2";"remove old filter ."
"23";"3";"put on new filter ."
"23";"4";"turn water on ."
"24";"1";"unscrew top flange ."
"24";"2";"remove gasket ."
"24";"3";"remove filtering material ."
"24";"4";"replace filtering material ."
"24";"5";"re-insert gasket flange assembly ."
"24";"6";"screw filter assembly back in ."
"25";"1";"unscrew top flange ."
"25";"2";"remove gasket ."
"25";"3";"remove filtering material ."
"25";"4";"replace filtering material ."
"25";"5";"re-insert gasket flange assembly ."
"25";"6";"screw filter assembly back in ."
"26";"1";"remove old filter ."
"26";"2";"add new filter ."
"27";"1";"turn off the tap ."
"27";"2";"remove the old filter ."
"27";"3";"open packaging for new filter ."
"27";"4";"place new filter onto the tap ."
"27";"5";"make sure new filter is fully attached ."
"27";"6";"test the faucet ."
"27";"7";"throw away old filter ."
"28";"1";"remove filter cover ."
"28";"2";"remove old filter ."
"28";"3";"insert new filter ."
"28";"4";"replace filter cover ."
"29";"1";"remove filter cover ."
"29";"2";"remove old filter ."
"29";"3";"insert new filter ."
"29";"4";"replace filter cover ."
"30";"1";"remove old water tap filter ."
"30";"2";"connect new water tap filter ."
"31";"1";"take old off ."
"31";"2";"clean ."
"31";"3";"take new out of box ."
"31";"4";"put on ."
"31";"5";"test ."
"32";"1";"remove old filter ."
"32";"2";"place new filter ."
"32";"3";"throw away old filter ."
"33";"1";"close tap ."
"33";"2";"remove old filter ."
"33";"3";"put new filter into cup of cold water ."
"33";"4";"clean head of tap ."
"33";"5";"replace filter ."
"33";"6";"throw away garbage ."
"33";"7";"turn on water ."
"34";"1";"clean surface ."
"34";"2";"find filter ."
"34";"3";"screw it on ."
"35";"1";"clean surface ."
"35";"2";"find filter ."
"35";"3";"screw it on ."
"36";"1";"clean surface ."
"36";"2";"find filter ."
"36";"3";"screw it on ."
"37";"1";"clean surface ."
"37";"2";"find filter ."
"37";"3";"screw it on ."
"38";"1";"clean surface ."
"38";"2";"find filter ."
"38";"3";"screw it on ."
"39";"1";"buy new filter ."
"39";"2";"unscrew old filter ."
"39";"3";"screw in new filter ."
