"1";"1";"buy replacement filter ."
"1";"2";"find heater ."
"1";"3";"remove cover ."
"1";"4";"remove old filter ."
"1";"5";"insert new filter ."
"1";"6";"replace filter ."
"2";"1";"find heater ."
"2";"2";"open heater ."
"2";"3";"remove filter ."
"2";"4";"put in new filter ."
"2";"5";"close heater ."
"3";"1";"locate the heater filter ."
"3";"2";"remove the heater filter ."
"3";"3";"place a new heater filter into the heater ."
"3";"4";"discard the old heater filter ."
"4";"1";"turn off heater ."
"4";"2";"wait for heater to cool down ."
"4";"3";"open heater casing ."
"4";"4";"remove old heater ."
"4";"5";"put in new heater ."
"4";"6";"place casing back ."
"5";"1";"remove casing ."
"5";"2";"take out old filter ."
"5";"3";"put in new filter ."
"5";"4";"place back casing ."
"6";"1";"open heater ."
"6";"2";"take out old filter ."
"6";"3";"put in new filter ."
"6";"4";"close heater ."
"7";"1";"find a new heater filter ."
"7";"2";"find the heater ."
"7";"3";"remove the dirty heater filter from the heater ."
"7";"4";"place the new heater filter into the heater ."
"8";"1";"determine model of heater filter ."
"8";"2";"purchase new heater filter of same model ."
"8";"3";"replace old heater filter with new one ."
"8";"4";"discard old heater filter ."
"9";"1";"get filter ."
"9";"2";"open heater panel where the filter goes ."
"9";"3";"take out old filter ."
"9";"4";"put in new filter ."
"9";"5";"close heater panel ."
"10";"1";"open the heater ."
"10";"2";"pull out the old filter ."
"10";"3";"dispose of it ."
"10";"4";"unwrap the new filter ."
"10";"5";"put the new filter in the old filter s place ."
"10";"6";"close the heater ."
"11";"1";"open heater ."
"11";"2";"remove old filter ."
"11";"3";"insert new filter ."
"11";"4";"close heater ."
"12";"1";"ensure heater is off ."
"12";"2";"ensure heater is cold ."
"12";"3";"open heater filter ."
"12";"4";"remove heater filter ."
"13";"1";"ensure heater is off ."
"13";"2";"ensure heater is cold ."
"13";"3";"open heater filter ."
"13";"4";"remove heater filter ."
"13";"5";"replace filter ."
"13";"6";"close filter ."
"13";"7";"switch heater on ."
"14";"1";"remove old filter ."
"14";"2";"locate new filter ."
"14";"3";"put new filter in heater ."
"15";"1";"remove heater cover ."
"15";"2";"remove old filter ."
"15";"3";"discard old filter ."
"15";"4";"place new filter in heater ."
"15";"5";"replace heater cover ."
"16";"1";"go to furnace room ."
"16";"2";"locate filter ."
"16";"3";"remove old filter ."
"16";"4";"throw old filter away ."
"16";"5";"locate new filter ."
"16";"6";"get new filter ."
"16";"7";"insert new filter into furnace ."
"17";"1";"get the old filter ."
"17";"2";"change to new heater filter ."
"18";"1";"go to the heater ."
"18";"2";"open the filter cover ."
"18";"3";"remove the old filter ."
"18";"4";"insert the new filter ."
"18";"5";"close the filter cover ."
"19";"1";"open heater filter door ."
"19";"2";"take out old heater filter ."
"19";"3";"replace new heater filter ."
"19";"4";"close heater filter door ."
"19";"5";"trash old heater filter ."
"20";"1";"open cover ."
"20";"2";"take out old filter ."
"20";"3";"put in new filter ."
"20";"4";"close cover ."
"21";"1";"turn off heater ."
"21";"2";"open filter compartment ."
"21";"3";"remove old filter ."
"21";"4";"insert new filter ."
"21";"5";"close filter compartment ."
"21";"6";"turn on heater ."
"21";"7";"discard old filter ."
"22";"1";"turn off heater ."
"22";"2";"locate heater filter ."
"22";"3";"remove old filter ."
"22";"4";"insert new filter ."
"22";"5";"turn on heater ."
"23";"1";"remove filter ."
"23";"2";"buy new filter ."
"23";"3";"insert new filter ."
"23";"4";"run heater to see filter s proper installment ."
"24";"1";"take out old filter ."
"24";"2";"go buy replacement ."
"24";"3";"insert new filter ."
"24";"4";"discard old filter ."
"25";"1";"take out old filter ."
"25";"2";"go buy replacement ."
"25";"3";"insert new filter ."
"25";"4";"discard old filter ."
"26";"1";"take out old filter ."
"26";"2";"go buy replacement ."
"26";"3";"insert new filter ."
"26";"4";"discard old filter ."
"27";"1";"take out old filter ."
"27";"2";"go buy replacement ."
"27";"3";"insert new filter ."
"27";"4";"discard old filter ."
"28";"1";"take out old filter ."
"28";"2";"go buy replacement ."
"28";"3";"insert new filter ."
"28";"4";"discard old filter ."
"29";"1";"take out old filter ."
"29";"2";"go buy replacement ."
"29";"3";"insert new filter ."
"29";"4";"discard old filter ."
"30";"1";"take out old filter ."
"30";"2";"go buy replacement ."
"30";"3";"insert new filter ."
"30";"4";"discard old filter ."
"31";"1";"take out old filter ."
"31";"2";"go buy replacement ."
"31";"3";"insert new filter ."
"31";"4";"discard old filter ."
"32";"1";"take out old filter ."
"32";"2";"go buy replacement ."
"32";"3";"insert new filter ."
"32";"4";"discard old filter ."
"33";"1";"take out old filter ."
"33";"2";"go buy replacement ."
"33";"3";"insert new filter ."
"33";"4";"discard old filter ."
"34";"1";"turn off heat ."
"34";"2";"remove panel ."
"34";"3";"remove old filter ."
"34";"4";"vacuum inside ."
"34";"5";"put in new filter ."
"34";"6";"close back up ."
"34";"7";"start up heater ."
"35";"1";"remove old filter ."
"35";"2";"throw old filter away ."
"35";"3";"put in new filter ."
