"1";"1";"look for the tool ."
"1";"2";"pick it up ."
"2";"1";"move to tool ."
"2";"2";"reach to pick up tool ."
"2";"3";"pick up tool ."
"2";"4";"place tool in proper location ."
"3";"1";"move to tool box ."
"3";"2";"open tool box ."
"3";"3";"pick up tool ."
"3";"4";"close tool box ."
"4";"1";"move to get the tool ."
"4";"2";"take the tool ."
"5";"1";"open tool box ."
"5";"2";"select tool ."
"5";"3";"take tool out of tool box ."
"6";"1";"go to toolbox ."
"6";"2";"open toolbox ."
"6";"3";"take out tool of choice ."
"7";"1";"identify the tool needed ."
"7";"2";"locate the tool ."
"8";"1";"think about where the tool could be ."
"8";"2";"look around the places you ve thought of ."
"8";"3";"look around other places ."
"8";"4";"see the tool ."
"8";"5";"take the tool ."
"9";"1";"go to the tool storage area ."
"9";"2";"open the tool box ."
"9";"3";"remove the tool ."
"9";"4";"carry the tool back ."
"10";"1";"open tool box ."
"10";"2";"select tool ."
"10";"3";"take tool out of the tool box ."
"11";"1";"open tool box ."
"11";"2";"take out tool ."
"12";"1";"figure out where the tool is ."
"12";"2";"walk in the direction of the tool ."
"12";"3";"retrieve the tool ."
"13";"1";"go to toll box ."
"13";"2";"open tool box ."
"13";"3";"remove tool needed ."
"14";"1";"go to toolbox ."
"14";"2";"open toolbox ."
"14";"3";"remove tool ."
"15";"1";"go to toolbox ."
"15";"2";"open toolbox ."
"15";"3";"get tool needed ."
"15";"4";"return to previous location ."
"16";"1";"open tool box ."
"16";"2";"locate tool ."
"16";"3";"take tool out of tool box ."
"17";"1";"go to toolbox ."
"17";"2";"open toolbox ."
"17";"3";"get tool ."
"17";"4";"go back ."
"18";"1";"go to where the tool is laid ."
"18";"2";"pick up the tool ."
"18";"3";"carry the tool back to the place it needs to be ."
"19";"1";"determine the needed tool ."
"19";"2";"attempt to locate the position of the tool ."
"19";"3";"find the tool ."
"19";"4";"pick up the tool ."
"19";"5";"return to where the tool was needed ."
"20";"1";"go to toolbox ."
"20";"2";"open toolbox ."
"20";"3";"retrieve tool ."
"20";"4";"bring back tool ."
"21";"1";"look for the tool ."
"21";"2";"move to the tool s location ."
"21";"3";"pick up the tool ."
"21";"4";"return to your original location ."
"22";"1";"determine tool to be retrieved ."
"22";"2";"go to toolbox ."
"22";"3";"open toolbox ."
"22";"4";"search for tool ."
"22";"5";"grab tool ."
"22";"6";"close toolbox ."
"22";"7";"bring back to original location ."
"23";"1";"pick up the tool ."
"24";"1";"get the tool from the tool box ."
"25";"1";"go to toolbox ."
"25";"2";"open toolbox ."
"25";"3";"select tool needed ."
"25";"4";"close toolbox ."
"26";"1";"locate the tool ."
"26";"2";"go to the tool ."
"26";"3";"pick up the tool ."
"26";"4";"walk back to your first position ."
"27";"1";"find the tool ."
"27";"2";"pick up the tool ."
"27";"3";"bring the tool back ."
"28";"1";"walk to the tool ."
"28";"2";"grasp the tool ."
"28";"3";"pick up the tool ."
"29";"1";"get tool ."
"30";"1";"got to toolbox ."
"30";"2";"pick out tool ."
"31";"1";"find the tool ."
"31";"2";"pick up the tool ."
"31";"3";"bring the tool back ."
"32";"1";"identify the tool you need ."
"32";"2";"go to the tool box ."
"32";"3";"retrieve the tool ."
"32";"4";"use the tool ."
"33";"1";"go to the tool box ."
"33";"2";"open the drawer ."
"33";"3";"gather the tool from the drawer ."
"33";"4";"close the drawer ."
"34";"1";"go to tool box ."
"34";"2";"open the lid ."
"34";"3";"search for tool needed ."
"34";"4";"take out of tool box ."
"35";"1";"identify the needed tool ."
"35";"2";"find the location of the tool ."
"35";"3";"go to location ."
"35";"4";"pick up tool ."
"35";"5";"bring back to desired location ."
"36";"1";"go to the closet ."
"36";"2";"get the toolbox ."
"36";"3";"find the tool ."
"36";"4";"pick up the tool ."
"36";"5";"bring it to me ."
"37";"1";"ask where the tool is ."
"37";"2";"go and get it ."
"37";"3";"bring it back ."
"38";"1";"ask where the tool is ."
"38";"2";"go and get it ."
"38";"3";"bring it back ."
"39";"1";"ask where the tool is ."
"39";"2";"go and get it ."
"39";"3";"bring it back ."
"40";"1";"open toolbox ."
"40";"2";"locate tool ."
"40";"3";"retrieve tool ."
"41";"1";"open toolbox ."
"41";"2";"locate tool ."
"41";"3";"retrieve tool ."
"42";"1";"open toolbox ."
"42";"2";"locate tool ."
"42";"3";"retrieve tool ."
"43";"1";"locate a tool ."
"43";"2";"pick up tool ."
