"1";"1";"lock all dors ."
"1";"2";"lock all windows ."
"2";"1";"go to each exit ."
"2";"2";"lock door or window ."
"3";"1";"close all doors ."
"3";"2";"lock all doors ."
"3";"3";"close all windows ."
"3";"4";"lock all windows ."
"4";"1";"move to an exit ."
"4";"2";"ensure that the exit door or window is closed and locked ."
"4";"3";"if the door or window is not closed and locked close it and lock it ."
"4";"4";"repeat until all exits have been secured ."
"5";"1";"go to exit ."
"5";"2";"ensure exit is closed ."
"5";"3";"ensure exit is locked ."
"5";"4";"repeat for all exits ."
"6";"1";"count number of exits ."
"6";"2";"move to all exits ."
"6";"3";"ensure exit is operating correctly ."
"7";"1";"go to each individual exit ."
"7";"2";"when you arrive at each exit check to make sure it is locked ."
"8";"1";"identify all exits ."
"8";"2";"close all exits ."
"8";"3";"lock all exits ."
"9";"1";"lock all exit doors ."
"9";"2";"place guards at all exit doors and all other possible exit points ."
"10";"1";"determine how many exits there are ."
"10";"2";"begin rounds of exits ."
"10";"3";"check to see if secure ."
"10";"4";"if not secure latch ."
"10";"5";"continue circuit of exits ."
"10";"6";"continue to check ."
"10";"7";"record data after rounds ."
"11";"1";"walk to the door ."
"11";"2";"lock the door ."
"11";"3";"walk to the next door ."
"11";"4";"lock the door ."
"12";"1";"walk to the kitchen door ."
"12";"2";"lock the door ."
"12";"3";"walk to the front door ."
"12";"4";"lock the door ."
"12";"5";"waslk down to the basement ."
"12";"6";"lock the basement door ."
"13";"1";"lock all doors ."
"13";"2";"lock all windows ."
"13";"3";"place security guard at all exits ."
"13";"4";"activate security alarm ."
"14";"1";"locate one exit ."
"14";"2";"secure it ."
"14";"3";"repeat steps 1 and 2 for each exit ."
"15";"1";"locate one exit ."
"15";"2";"secure it ."
"15";"3";"repeat steps 1 and 2 for each exit ."
"16";"1";"lock all the doors ."
"17";"1";"lock all the doors ."
"18";"1";"place a guard at every exit door ."
"18";"2";"place a guard at every large window ."
"18";"3";"place a guard at every exit gate ."
"19";"1";"close doors ."
"20";"1";"look for all exits ."
"20";"2";"check each one ."
"20";"3";"make sure all are secure ."
"21";"1";"monitor all exit doors ."
"21";"2";"survey surrounding areas ."
"21";"3";"lock all doors ."
"22";"1";"monitor all exit doors ."
"22";"2";"survey surrounding areas ."
"22";"3";"lock all doors ."
"23";"1";"monitor all exit doors ."
"23";"2";"survey surrounding areas ."
"23";"3";"lock all doors ."
"24";"1";"check all the exit points ."
"24";"2";"verify that exits are secured ."
"25";"1";"shut all doors and windows ."
"25";"2";"lock all doors and windows ."
"26";"1";"check each exit ."
"26";"2";"make sure all exits are locked ."
