"1";"1";"put originals in fax machine ."
"1";"2";"dial destination number ."
"1";"3";"press send on fax machine ."
"2";"1";"get number ."
"2";"2";"pick up phone ."
"2";"3";"dial number ."
"2";"4";"wait for fax tone ."
"2";"5";"press send ."
"3";"1";"type in fax number ."
"3";"2";"put document to be faxed in paper feeder ."
"3";"3";"hit send ."
"3";"4";"wait until document has gone through ."
"3";"5";"check if send was successful ."
"4";"1";"put the paper into the fax ."
"4";"2";"dial the number ."
"4";"3";"push start ."
"4";"4";"watch it finish sending ."
"4";"5";"remove the sent item from the tray ."
"5";"1";"take the document to the fax machine ."
"5";"2";"put the document in the tray facing down ."
"5";"3";"dial the fax number ."
"5";"4";"press the 'start' button ."
"6";"1";"write fax ."
"6";"2";"put fax pages into fax machine ."
"6";"3";"dial number ."
"6";"4";"wait for fax tone ."
"6";"5";"press send ."
"6";"6";"wait for transmission to end ."
"7";"1";"write fax ."
"7";"2";"put fax in fax machine ."
"7";"3";"dial number ."
"7";"4";"wait for fax tone ."
"7";"5";"press send ."
"7";"6";"hang up ."
"8";"1";"write fax ."
"8";"2";"insert fax into fax machine ."
"8";"3";"dial humber ."
"8";"4";"wait for fax tone ."
"8";"5";"press send button ."
"8";"6";"wait until all fax transmitted ."
"8";"7";"hang up ."
"9";"1";"write document and print ."
"9";"2";"take document to fax machine ."
"9";"3";"insert document in fax machine ."
"9";"4";"dial number ."
"9";"5";"wait for fax tone ."
"9";"6";"press send ."
"9";"7";"when finished hang up ."
"10";"1";"select options on fax machine ."
"10";"2";"punch number in fax machine ."
"10";"3";"put document to be sent in slot ."
"10";"4";"press send ."
"11";"1";"write fax ."
"11";"2";"place fax in fax machine ."
"11";"3";"dial number ."
"11";"4";"wait for fax tone ."
"11";"5";"press send ."
"11";"6";"wait for fax to transmit ."
"12";"1";"place document to fax into fax machine ."
"12";"2";"pick up phone ."
"12";"3";"dial number ."
"12";"4";"wait for fax tone ."
"12";"5";"press send ."
"12";"6";"wait for fax to finish transmission ."
"12";"7";"hang up ."
"13";"1";"locate fax number of recipient ."
"13";"2";"dial fax number of recipient on a fax machine ."
"13";"3";"feed message to fax into the fax machine ."
"13";"4";"transmit the fax to the recipient ."
"13";"5";"end the call ."
"14";"1";"type out the fax ."
"14";"2";"print it ."
"14";"3";"enter the fax number in the machine ."
"14";"4";"feed the fax into the document ."
"14";"5";"press send ."
"15";"1";"insert the fax into the fax machine ."
"15";"2";"dial the recipient s number ."
"15";"3";"wait for 'send tone' ."
"15";"4";"press 'send' button ."
"16";"1";"get  fax material to be sent ."
"16";"2";"go to fax machine ."
"16";"3";"place fax face side down in fax machine ."
"16";"4";"dial number to where fax is to be sent ."
"16";"5";"press send ."
"17";"1";"write letter ."
"17";"2";"print letter ."
"17";"3";"put letter in fax ."
"17";"4";"type recepient number ."
"17";"5";"press send ."
"18";"1";"place paper in fax machine ."
"18";"2";"enter fax number ."
"18";"3";"press button ."
"19";"1";"put fax in fax machine ."
"19";"2";"dial fax number ."
"20";"1";"load the paper in a fax machine ."
"20";"2";"dial the number ."
"20";"3";"press start to send ."
"21";"1";"put the paper to send in the fax machine ."
"21";"2";"dial the fax number ."
"21";"3";"wait for the fax to send ."
"21";"4";"retrieve the paper from the fax machine ."
"21";"5";"file the paper that went through the fax machine ."
"22";"1";"put the paper in the fax holder ."
"22";"2";"dial the number ."
"22";"3";"press start ."
"23";"1";"write document ."
"23";"2";"dial number ."
"23";"3";"insert document ."
"23";"4";"send ."
"24";"1";"write a message in a paper ."
"24";"2";"put the paper in a fax machine ."
"24";"3";"dial the number where you want to send ."
"24";"4";"then press start ."
"25";"1";"put paper in a tray ."
"25";"2";"dial the number and press start ."
"26";"1";"prepare fax ."
"26";"2";"turn on fax machine ."
"26";"3";"make sure the feed is clear ."
"26";"4";"place fax into feed ."
"26";"5";"dial the appropriate number ."
"26";"6";"make sure fax call is completed ."
"26";"7";"hang up ."
"27";"1";"insert paper ."
"27";"2";"input the phone number ."
"27";"3";"push the start button ."
"28";"1";"insert paper ."
"28";"2";"input the phone number ."
"28";"3";"push the start button ."
"29";"1";"write your message on paper ."
"29";"2";"go to the fax machine ."
"29";"3";"place the paper in the machine ."
"29";"4";"dial the fax number ."
"29";"5";"press the send button ."
"30";"1";"pen mind ."
"31";"1";"feed in fax ."
"31";"2";"type in fax number ."
"31";"3";"press send ."
"31";"4";"retrieve confirmation ."
"32";"1";"place paper in fax ."
"32";"2";"dial number ."
"32";"3";"send fax ."
"32";"4";"remove page from fax ."
"33";"1";"press fax number ."
"33";"2";"insert document ."
"33";"3";"send fax ."
"34";"1";"press fax number ."
"34";"2";"insert document ."
"34";"3";"send fax ."
"35";"1";"press fax number ."
"35";"2";"insert document ."
"35";"3";"send fax ."
"36";"1";"find the fax ."
"37";"1";"find the fax ."
"38";"1";"find the fax ."
"39";"1";"obtain document to fax ."
"39";"2";"walk to fax machine ."
"39";"3";"place document face side down onto fax machine ."
"39";"4";"dail number to fax ."
"39";"5";"press start ."
"39";"6";"watch document be faxed ."
"39";"7";"validate document was faxed ."
"40";"1";"obtain document to fax ."
"40";"2";"walk to fax machine ."
"40";"3";"place document face side down onto fax machine ."
"40";"4";"dail number to fax ."
"40";"5";"press start ."
"40";"6";"watch document be faxed ."
"40";"7";"validate document was faxed ."
"41";"1";"obtain document to fax ."
"41";"2";"walk to fax machine ."
"41";"3";"place document face side down onto fax machine ."
"41";"4";"dail number to fax ."
"41";"5";"press start ."
"41";"6";"watch document be faxed ."
"41";"7";"validate document was faxed ."
"42";"1";"obtain document to fax ."
"42";"2";"walk to fax machine ."
"42";"3";"place document face side down onto fax machine ."
"42";"4";"dail number to fax ."
"42";"5";"press start ."
"42";"6";"watch document be faxed ."
"42";"7";"validate document was faxed ."
"43";"1";"obtain document to fax ."
"43";"2";"walk to fax machine ."
"43";"3";"place document face side down onto fax machine ."
"43";"4";"dail number to fax ."
"43";"5";"press start ."
"43";"6";"watch document be faxed ."
"43";"7";"validate document was faxed ."
"44";"1";"obtain document to fax ."
"44";"2";"walk to fax machine ."
"44";"3";"place document face side down onto fax machine ."
"44";"4";"dail number to fax ."
"44";"5";"press start ."
"44";"6";"watch document be faxed ."
"44";"7";"validate document was faxed ."
"45";"1";"place paper in fax tray ."
"45";"2";"enter fax number ."
"45";"3";"press send ."
"46";"1";"place paper in fax tray ."
"46";"2";"enter fax number ."
"46";"3";"press send ."
"47";"1";"place paper in fax tray ."
"47";"2";"enter fax number ."
"47";"3";"press send ."
"48";"1";"place paper in fax tray ."
"48";"2";"enter fax number ."
"48";"3";"press send ."
