"1";"1";"select guests ."
"1";"2";"get their addresses ."
"1";"3";"write invitations ."
"1";"4";"mail invitations ."
"2";"1";"gather addresses ."
"2";"2";"gather invitation cards ."
"2";"3";"write invitations ."
"2";"4";"put invitations in envelopes ."
"2";"5";"address envelopes ."
"2";"6";"post invitations ."
"3";"1";"for each name on guests list ."
"3";"2";"write invitation ."
"3";"3";"write address on invitation ."
"3";"4";"next guest ."
"3";"5";"mail invitations ."
"4";"1";"make list with guests ."
"4";"2";"get guests addresses ."
"4";"3";"for each guest ."
"4";"4";"write invitation ."
"4";"5";"write address on invitation ."
"4";"6";"mail invitation ."
"5";"1";"decide who to invite ."
"5";"2";"write out invitations ."
"5";"3";"post them ."
"6";"1";"make a guest list ."
"6";"2";"for each guest do ."
"6";"3";"write an invitation ."
"6";"4";"write address on envelope ."
"6";"5";"stamp envelope ."
"6";"6";"send envelope ."
"7";"1";"write details on cards ."
"7";"2";"put in envelopes ."
"7";"3";"address envelopes ."
"7";"4";"put postage on envelopes ."
"7";"5";"put in mail box ."
"8";"1";"make a list of people to invite ."
"8";"2";"write out the invitations ."
"8";"3";"put them in envelopes ."
"8";"4";"write on their addresses ."
"8";"5";"attach a stamp ."
"8";"6";"post them ."
"9";"1";"create party invitations ."
"9";"2";"put each invitation in an envelope ."
"9";"3";"write guest name and address on each envelope ."
"9";"4";"put stamp on envelope ."
"9";"5";"put envelopes in mail ."
"10";"1";"make list of people to invite ."
"10";"2";"design party invitations ."
"10";"3";"print party invitations ."
"10";"4";"address invitations to people in list to invite ."
"10";"5";"put stamp on each invitation envelope ."
"10";"6";"mail out the invitations ."
"11";"1";"make a guest list ."
"11";"2";"set a date for the party ."
"11";"3";"buy invitations ."
"11";"4";"address invitations ."
"11";"5";"put stamps on invitations ."
"11";"6";"put invitations in the mail ."
"12";"1";"choose list of people ."
"12";"2";"buy invitations ."
"12";"3";"fill out and address invitations ."
"12";"4";"stamp invitations ."
"12";"5";"mail invitations ."
"12";"6";"wait for responses ."
"13";"1";"place the party invitations into addressed and stamped envelopes ."
"13";"2";"mail the envelopes ."
"14";"1";"plan party ."
"14";"2";"make guest list ."
"14";"3";"buy invitations ."
"14";"4";"find address book ."
"14";"5";"address invitation to those on list ."
"14";"6";"stamp envelopes ."
"14";"7";"mail invitations ."
"15";"1";"create mailing list ."
"15";"2";"buy or print invitations ."
"15";"3";"fill in party information ."
"15";"4";"print mailing labels ."
"15";"5";"put invitations in envelopes ."
"15";"6";"place mailing labels on envelopes ."
"15";"7";"put stamps on envelopes and mail ."
"16";"1";"make addressee list ."
"16";"2";"address invitations ."
"16";"3";"stuff envelopes ."
"16";"4";"stamp envelopes ."
"16";"5";"mail invitations ."
"17";"1";"arrange the party date ."
"17";"2";"print the invitations ."
"17";"3";"identify the senders list ."
"17";"4";"send the invitations ."
"18";"1";"select card for invitation ."
"18";"2";"write out details you want guests to know about the party ."
"18";"3";"pick out people you want to invite ."
"18";"4";"send out cards ."
"19";"1";"name list ."
"19";"2";"write on envelops ."
"19";"3";"add cards with small decripton ."
"19";"4";"stamps ."
"19";"5";"send mail ."
"20";"1";"write out guest list ."
"20";"2";"write out invitations to everyone on guest list ."
"20";"3";"stuff invitations into envelopes ."
"20";"4";"send out invitations in the mail ."
"21";"1";"write party invitations ."
"21";"2";"put party invitations in envelopes ."
"21";"3";"mail party invitations ."
"22";"1";"write party invitations ."
