"1";"1";"ask where to find presentation equipment ."
"1";"2";"get presentation equipment ."
"1";"3";"plug presentation equipment into the wall socket ."
"1";"4";"switch on presentation equipment ."
"2";"1";"turn on the projector ."
"2";"2";"turn on the computer ."
"2";"3";"connect the computer to the projector with a cable ."
"3";"1";"plug components together ."
"3";"2";"plug equipment in ."
"3";"3";"turn equipment on ."
"3";"4";"adjust location of equipment and sharpness of projection ."
"4";"1";"turn on the projector ."
"4";"2";"turn on the computer ."
"4";"3";"connect the computer to the projector with a cable ."
"4";"4";"open the slides (presentation file) ."
"5";"1";"figure out where you want the equipment ."
"5";"2";"take the equipment to the location that you picked ."
"5";"3";"arrange the equipment in the way that you want it ."
"6";"1";"roll in presentation cart ."
"6";"2";"connect presentation cart ."
"6";"3";"start computer ."
"7";"1";"connect projector to computer ."
"7";"2";"test picture ."
"8";"1";"turn on computer ."
"8";"2";"load presentation slides into the computer program ."
"8";"3";"turn on the overhead projector ."
"8";"4";"place overhead sheets on the projector ."
"8";"5";"pull down slide screen from the wall ."
"9";"1";"find presentation equipment ."
"9";"2";"plug the equipment s power cord into an electrical outlet ."
"9";"3";"turn the equipment s lens toward the screen ."
"9";"4";"focus the lens so that it shows a clear picture on the screen ."
"10";"1";"find a projector ."
"10";"2";"plugin the projector ."
"10";"3";"setup a the projection screen ."
"10";"4";"connect the projector to a computer ."
"10";"5";"start the presentation ."
"11";"1";"get to presentation room ."
"11";"2";"set up projector ."
"11";"3";"put electrical cord in the socket ."
"11";"4";"set up personal computer ."
"11";"5";"link personal computer to projector ."
"11";"6";"dim the lights ."
"11";"7";"start presentation ."
"12";"1";"identify necessary equipment ."
"12";"2";"secure equipment ."
"12";"3";"set up table ."
"12";"4";"place equipment on table ."
"12";"5";"plug equipment into electrical outlet ."
"13";"1";"connect cords ."
"13";"2";"turn on equipment ."
"13";"3";"position equipment correctly ."
"14";"1";"connect cords ."
"14";"2";"turn on equipment ."
"14";"3";"position equipment correctly ."
"15";"1";"set up projector screen ."
"15";"2";"plug in projector unit ."
"15";"3";"focus projector onto screen ."
"15";"4";"put presentation material into projector ."
"15";"5";"dim lights ."
"15";"6";"start presentation ."
"16";"1";"plug in projector ."
"16";"2";"connect laptop ."
"16";"3";"point projector ."
"16";"4";"turn on laptop ."
"17";"1";"turn on projector ."
"18";"1";"turn on projector ."
"19";"1";"turn on projector ."
"20";"1";"turn on projector ."
"21";"1";"turn on projector ."
"22";"1";"turn on projector ."
"23";"1";"turn on projector ."
"23";"2";"connect laptop to projector ."
"24";"1";"plug projector to laptop ."
"24";"2";"turn on both equipment ."
"25";"1";"gather the tools you need ."
"25";"2";"hook laptop up to the projector ."
"25";"3";"set up screen ."
"25";"4";"secure settings ."
"25";"5";"turn everything on ."
"26";"1";"gather notes ."
"26";"2";"plug in slide machine ."
"26";"3";"press play ."
"27";"1";"gather notes ."
"27";"2";"plug in slide machine ."
"27";"3";"press play ."
"28";"1";"gather notes ."
"28";"2";"plug in slide machine ."
"28";"3";"press play ."
"29";"1";"hook computer to projector ."
"29";"2";"turn on computer ."
"29";"3";"turn on projector ."
"29";"4";"set the settings ."
"30";"1";"hook computer to projector ."
"30";"2";"turn on computer ."
"30";"3";"turn on projector ."
"30";"4";"set the settings ."
"31";"1";"find equipment ."
"31";"2";"move it to the room ."
"31";"3";"plug it in ."
"31";"4";"turn it on ."
"32";"1";"find equipment ."
"32";"2";"move it to the room ."
"32";"3";"plug it in ."
"32";"4";"turn it on ."
