"1";"1";"think about the events in a story ."
"1";"2";"speak the events ."
"2";"1";"find an audience ."
"2";"2";"decide on a story topic ."
"2";"3";"decide what order to tell the story in ."
"2";"4";"tell the story ."
"3";"1";"choose story from available selection ."
"3";"2";"relate story to person or people involved ."
"3";"3";"include all details and appropriate emphasis ."
"3";"4";"use appropriate voices if necessary ."
"4";"1";"conceptualize a fictional story for an audience ."
"4";"2";"dramatically convey images and pictures through verbalization ."
"5";"1";"choose story from available selection ."
"5";"2";"relate story to person or people involved ."
"5";"3";"answer any questions the person has about the story ."
"6";"1";"recall a story from memory ."
"6";"2";"verbally relay the story to another person or persons ."
"7";"1";"find your audience ."
"7";"2";"find a storybook ."
"7";"3";"read the storybook ."
"7";"4";"read out the words ."
"7";"5";"watch the response from the audience ."
"7";"6";"put away the storybook ."
"7";"7";"ask the audience if they want more ."
"8";"1";"tell subject of story ."
"8";"2";"tell introduction ."
"8";"3";"tell conflict ."
"8";"4";"tell finish ."
"8";"5";"tell moral of story ."
"9";"1";"find someone to tell a story to ."
"9";"2";"get a book ."
"9";"3";"readout the story ."
"10";"1";"search for an appropriate story ."
"10";"2";"recite the story in a suspenseful manner ."
"11";"1";"think of a story ."
"11";"2";"open mouth and say the words ."
"12";"1";"think of a story you want to tell ."
"12";"2";"get the people you want to tell the story to to sit in front of you ."
"12";"3";"begin to say the story when the people are ready to hear it ."
"13";"1";"choose book ."
"13";"2";"remove book from shelf ."
"13";"3";"open book ."
"13";"4";"read words on page ."
"13";"5";"turn page ."
"13";"6";"continue reading all pages ."
"13";"7";"close book ."
"14";"1";"remember story to tell ."
"14";"2";"speak story ."
"15";"1";"read the story ."
"15";"2";"create an outline ."
"15";"3";"practice telling the story ."
"15";"4";"tell the story ."
"16";"1";"think of story ."
"16";"2";"relay story ."
"17";"1";"read story aloud ."
"18";"1";"starting the story ."
"18";"2";"building the plot ."
"18";"3";"adding interesting characters ."
"18";"4";"having a couple of twists ."
"18";"5";"lots of action and adventure ."
"18";"6";"good over evil ."
"18";"7";"happily every after ."
"19";"1";"make up story ."
"19";"2";"communicate story ."
"20";"1";"make up story ."
"20";"2";"communicate story ."
"21";"1";"choose a book ."
"21";"2";"find a comfortable chair ."
"21";"3";"let child climb onto your lap ."
"21";"4";"read title of book ."
"21";"5";"turn to first page ."
"21";"6";"begin reading ."
"21";"7";"use interesting voices ."
"22";"1";"select the category ."
"22";"2";"tell the story ."
"23";"1";"make sure listener is peaceful ."
"23";"2";"listener should be comfortable ."
"23";"3";"pick a book that they like ."
"23";"4";"introduce the hgh point of the book ."
"23";"5";"get listener interested ."
"23";"6";"read slowly ."
"23";"7";"read with emotions ."
"24";"1";"find the story ."
"24";"2";"open your mouth and speak ."
"25";"1";"find the story ."
"25";"2";"open your mouth and speak ."
