"1";"1";"pick up the object ."
"1";"2";"pull your arm back behind your head ."
"1";"3";"move your arm forward quickly ."
"1";"4";"release the object at the arc of the motion ."
"2";"1";"pick up the object with your hand ."
"2";"2";"draw your arm back ."
"3";"1";"find an object ."
"3";"2";"pick up the object ."
"3";"3";"fling object away from you using your arm ."
"4";"1";"pick up the object ."
"4";"2";"draw back the arm that is holding the object ."
"4";"3";"bring the arm forward releasing the object ."
"5";"1";"find an object ."
"5";"2";"pick object up ."
"5";"3";"lift arm up ."
"5";"4";"bend elbo to the side ."
"5";"5";"put forward motion onto object ."
"5";"6";"release grip of object when arm is at full forward length ."
"5";"7";"relax arm ."
"6";"1";"grab object with hand ."
"6";"2";"pull back object ."
"6";"3";"push object forward ."
"6";"4";"release ."
"7";"1";"pick up object ."
"7";"2";"throw object ."
"8";"1";"take object ."
"8";"2";"move hand backward ."
"8";"3";"push hand forward ."
"8";"4";"release object when hand in motion ."
"9";"1";"grab object with hand ."
"9";"2";"pull hand back behind head ."
"9";"3";"push hand forward ."
"9";"4";"release object ."
"10";"1";"hold object ."
"10";"2";"balance hand ."
"10";"3";"when hand at highest position release object ."
"11";"1";"grab object ."
"11";"2";"swing arm back ."
"11";"3";"swing arm forward ."
"11";"4";"release object ."
"12";"1";"grab the object ."
"12";"2";"aim where to throw ."
"12";"3";"throw it ."
"13";"1";"fetch object ."
"13";"2";"swing arm back ."
"13";"3";"when arm goes forward release object ."
"14";"1";"fetch object ."
"14";"2";"swing arm ."
"14";"3";"release object ."
"15";"1";"pick up the object ."
"15";"2";"swing your arm ."
"15";"3";"when you hand is futhest away from your body release the object ."
"16";"1";"pick up object ."
"16";"2";"accelerate object to desired horizontal and vertical velocities ."
"16";"3";"release object ."
"17";"1";"pick up object in hand ."
"17";"2";"bring up arm ."
"17";"3";"release object as arm comes forward ."
"18";"1";"pick of object ."
"18";"2";"aim throwing mechanism at destination ."
"18";"3";"propel object ."
"18";"4";"release object ."
"19";"1";"pick up the object ."
"19";"2";"pull hand backward for more acceleration room ."
"19";"3";"push hand forward to launch object ."
"19";"4";"let go of object ."
"20";"1";"pick up object ."
"20";"2";"throw the object ."
"21";"1";"pick up the object ."
"21";"2";"throw the object ."
"22";"1";"place object on hand ."
"22";"2";"throw the object ."
"23";"1";"discern need to throw object ."
"23";"2";"decide what to throw ."
"23";"3";"find item to throw ."
"23";"4";"retrieve item to throw ."
"23";"5";"clutch item in hand ."
"23";"6";"move arm backward ."
"23";"7";"pitch arm forward and release item ."
"24";"1";"pick up the object ."
"24";"2";"hold the object in your hand ."
"24";"3";"look at the target where the object is to be thrown ."
"24";"4";"raise your hand holding the object ."
"24";"5";"bring your hand forward ."
"24";"6";"release the object from your hand ."
"25";"1";"pick up the object ."
"25";"2";"hold the object in your hand ."
"25";"3";"look at the target where the object is to be thrown ."
"25";"4";"raise your hand holding the object ."
"25";"5";"bring your hand forward ."
"25";"6";"release the object from your hand ."
"26";"1";"pick up object ."
"26";"2";"throw ."
"27";"1";"pick object up on hand ."
"27";"2";"toss object in air ."
"28";"1";"see the object ."
"28";"2";"touch the object ."
"28";"3";"pick up the object ."
"28";"4";"put arm back ."
"28";"5";"move arm forward quickly ."
"28";"6";"release object ."
"28";"7";"watch it fly ."
"29";"1";"pick up the object ."
"29";"2";"set your target ."
"29";"3";"throw away the object to the target ."
"30";"1";"throw the object ."
"31";"1";"pick up object ."
"31";"2";"bring arm back ."
"31";"3";"swing arm forward ."
"31";"4";"release the object ."
"32";"1";"pick up object ."
"32";"2";"select target ."
"32";"3";"throw object towards target ."
"33";"1";"pick up the object ."
"33";"2";"raise your arm ."
"33";"3";"throw your arm forward ."
"33";"4";"release the object ."
"34";"1";"pick up the object ."
"34";"2";"raise your arm ."
"34";"3";"push your arm forward ."
"34";"4";"release the object ."
"35";"1";"find the object ."
"35";"2";"hold the object ."
"35";"3";"see the direction ."
"35";"4";"apply the force ."
"35";"5";"throw the object ."
"36";"1";"hold object in hand ."
"36";"2";"pull hand back over head ."
"36";"3";"swiftly move hand over head ."
"36";"4";"let loose of object ."
"37";"1";"look at object ."
"37";"2";"grab object ."
"37";"3";"lift object up ."
"37";"4";"feel how heavy object is ."
"37";"5";"raise your arm ."
"37";"6";"move arm fast ."
"37";"7";"and leave go of object ."
"38";"1";"pick up object ."
"38";"2";"decide where you are aiming ."
"38";"3";"cock arm back ."
"38";"4";"sling arm forward then release object ."
"38";"5";"when object is released your pointer finger should be pointing at your target ."
"39";"1";"grasp object in prominent hand ."
"39";"2";"wind arm back ."
"39";"3";"aim ."
"39";"4";"release grasp and fingers ."
"40";"1";"grasp object in prominent hand ."
"40";"2";"wind arm back ."
"40";"3";"aim ."
"40";"4";"release grasp and fingers ."
"41";"1";"grasp object in prominent hand ."
"41";"2";"wind arm back ."
"41";"3";"aim ."
"41";"4";"release grasp and fingers ."
"42";"1";"grasp object in prominent hand ."
"42";"2";"wind arm back ."
"42";"3";"aim ."
"42";"4";"release grasp and fingers ."
"43";"1";"pick up the object ."
"43";"2";"toss the object ."
"44";"1";"pick up object ."
"44";"2";"pull arm back ."
"44";"3";"toss object away with great force ."
"45";"1";"pick it up ."
"45";"2";"extend your arm ."
"46";"1";"pick it up ."
"46";"2";"extend your arm ."
"47";"1";"pick it up ."
"47";"2";"extend your arm ."
"48";"1";"pick it up ."
"48";"2";"extend your arm ."
"49";"1";"pick it up ."
"49";"2";"extend your arm ."
"50";"1";"pick up object ."
"50";"2";"extend arm ."
"50";"3";"let go ."
"51";"1";"pick up object ."
"51";"2";"extend arm ."
"51";"3";"let go ."
"52";"1";"pick up object ."
"52";"2";"draw arm back ."
"52";"3";"push hand forward ."
"52";"4";"realease object when arm is fully extended ."
"53";"1";"pick up object ."
"53";"2";"draw arm back ."
"53";"3";"push hand forward ."
"53";"4";"realease object when arm is fully extended ."
"54";"1";"pick up object ."
"54";"2";"draw arm back ."
"54";"3";"push hand forward ."
"54";"4";"realease object when arm is fully extended ."
"55";"1";"pick up object ."
"55";"2";"hurl it across room ."
