"1";"1";"find the music system ."
"1";"2";"turn the power on ."
"1";"3";"adjust the volume ."
"2";"1";"go to the music system or pick up the remote for the music system ."
"2";"2";"turn it on ."
"2";"3";"adjust the volume ."
"2";"4";"go to the station or song you wish to listen to ."
"3";"1";"move to music system ."
"3";"2";"push power switch ."
"4";"1";"find the music system ."
"4";"2";"find the system s on switch ."
"4";"3";"turn the switch to the on position ."
"5";"1";"find music system ."
"5";"2";"plug music system into electrical outlet ."
"5";"3";"find music system s power switch ."
"5";"4";"turn switch to the on position ."
"6";"1";"locate music system ."
"6";"2";"locate music system s on switch ."
"6";"3";"press the music system s on switch ."
"7";"1";"locate music system ."
"7";"2";"locate power button on music system ."
"7";"3";"press power button on music system with finger ."
"8";"1";"approach the music system ."
"8";"2";"press the power button ."
"9";"1";"find power knob ."
"9";"2";"push power knob ."
"10";"1";"find music system ."
"10";"2";"find remote ."
"10";"3";"point remote towards system ."
"10";"4";"press on button ."
"11";"1";"grab the on knob or button ."
"11";"2";"turn or push it ."
"11";"3";"adjust the volume ."
"12";"1";"locate remote ."
"12";"2";"point remote toward music system ."
"12";"3";"press power button ."
"13";"1";"locate remote ."
"13";"2";"point remote toward music system ."
"13";"3";"press power button ."
"14";"1";"find music system ."
"14";"2";"press off button ."
"15";"1";"go to music system ."
"15";"2";"insert cd ."
"15";"3";"press play ."
"16";"1";"take the remote control ."
"16";"2";"press the i/o button ."
"17";"1";"go to music system location ."
"17";"2";"locate on button on music system controls ."
"17";"3";"press on button on the music system ."
"18";"1";"fetch remote ."
"18";"2";"aim remote towards music system ."
"18";"3";"press play button ."
"19";"1";"get in proximity of music system ."
"19";"2";"turn on power ."
"20";"1";"plug in the music device ."
"20";"2";"turn it on ."
"21";"1";"turn the switch on to turn on the music system ."
"22";"1";"identify music system ."
"22";"2";"identify power button ."
"22";"3";"press power button ."
"23";"1";"locate power button ."
"23";"2";"press power button ."
"24";"1";"use remote control to turn on system ."
"25";"1";"go to music system near on button ."
"25";"2";"press on button ."
"25";"3";"adjust volume to occupant preferance ."
"26";"1";"go to music system near on button ."
"26";"2";"press on button ."
"26";"3";"adjust volume to occupant preferance ."
"27";"1";"go to music system near on button ."
"27";"2";"press on button ."
"27";"3";"adjust volume to occupant preferance ."
"28";"1";"go to music system near on button ."
"28";"2";"press on button ."
"28";"3";"adjust volume to occupant preferance ."
"29";"1";"go to music system near on button ."
"29";"2";"press on button ."
"29";"3";"adjust volume to occupant preferance ."
"30";"1";"go to music system near on button ."
"30";"2";"press on button ."
"30";"3";"adjust volume to occupant preferance ."
"31";"1";"go to music system near on button ."
"31";"2";"press on button ."
"31";"3";"adjust volume to occupant preferance ."
"32";"1";"go to music system near on button ."
"32";"2";"press on button ."
"32";"3";"adjust volume to occupant preferance ."
"33";"1";"press the power button ."
"33";"2";"adjust the volume button ."
"34";"1";"plug in power cord ."
"34";"2";"turn on power point ."
"34";"3";"turn on music system ."
"35";"1";"plug in power cord ."
"35";"2";"turn on power point ."
"35";"3";"turn on music system ."
"36";"1";"plug on the system ."
"36";"2";"insert cd or dvd ."
"36";"3";"press the play button ."
"36";"4";"adjust the volume ."
"36";"5";"listen the music ."
"37";"1";"locate music system ."
"37";"2";"locate on/off button/switch ."
"37";"3";"change to on ."
"37";"4";"press play button ."
"37";"5";"adjust volume to required level ."
"38";"1";"walk over to stereo ."
"38";"2";"press on button ."
"39";"1";"walk to music system ."
"39";"2";"press power button ."
"40";"1";"walk ."
"40";"2";"walk towards stereo or radio ."
"40";"3";"turn on radio ."
"40";"4";"change radio ."
"40";"5";"put cd inside system ."
"40";"6";"turn on system ."
"40";"7";"turn up volume ."
"41";"1";"go to stereo ."
"41";"2";"find power button ."
"41";"3";"push ."
"42";"1";"find music system remote ."
"42";"2";"press power button ."
"42";"3";"enjoy ."
"43";"1";"find music system remote ."
"43";"2";"press power button ."
"43";"3";"enjoy ."
"44";"1";"hit power button ."
"44";"2";"select cd ."
"44";"3";"press play cd ."
"44";"4";"turn up volume ."
"45";"1";"hit power button ."
"45";"2";"select cd ."
"45";"3";"press play cd ."
"45";"4";"turn up volume ."
"46";"1";"hit power button ."
"46";"2";"select cd ."
"46";"3";"press play cd ."
"46";"4";"turn up volume ."
"47";"1";"find system ."
"47";"2";"hit the on button ."
"48";"1";"find system ."
"48";"2";"hit the on button ."
"49";"1";"find system ."
"49";"2";"hit the on button ."
"50";"1";"find system ."
"50";"2";"hit the on button ."
"51";"1";"find system ."
"51";"2";"hit the on button ."
"52";"1";"find system ."
"52";"2";"hit the on button ."
"53";"1";"hit on ."
"54";"1";"hit on ."
"55";"1";"press the on button ."
"56";"1";"press the on button ."
"57";"1";"press the on button ."
"58";"1";"press the on button ."
"59";"1";"select disc ."
"59";"2";"put disc into music system ."
"59";"3";"turn power on ."
"59";"4";"press play button ."
"60";"1";"select disc ."
"60";"2";"put disc into music system ."
"60";"3";"turn power on ."
"60";"4";"press play button ."
"61";"1";"select disc ."
"61";"2";"put disc into music system ."
"61";"3";"turn power on ."
"61";"4";"press play button ."
