"1";"1";"find light switch ."
"1";"2";"go to light switch ."
"1";"3";"turn switch to on position ."
"2";"1";"look for light switch ."
"2";"2";"turn on light switch ."
"3";"1";"find light switch ."
"3";"2";"turn switch to on position ."
"4";"1";"go to the light switch ."
"4";"2";"switch on the light ."
"5";"1";"go to light switch ."
"5";"2";"flip switch to the on position ."
"6";"1";"locate light switch ."
"6";"2";"walk to light switch ."
"6";"3";"move light switch to on position ."
"7";"1";"find the light switch ."
"7";"2";"flip it up or down until the light comes on ."
"8";"1";"locate the light switch ."
"8";"2";"put the switch in the on position ."
"9";"1";"locate switch ."
"9";"2";"turn on switch ."
"10";"1";"locate the light switch ."
"10";"2";"move the switch to the on position ."
"11";"1";"locate the light switch ."
"11";"2";"move over to the light switch ."
"11";"3";"flip the light switch into on position ."
"12";"1";"locate the light switch ."
"12";"2";"go to the light switch ."
"12";"3";"turn / touch the light switch ."
"13";"1";"locate light switch ."
"13";"2";"go to light switch ."
"13";"3";"flip light switch ."
"14";"1";"move to light switch ."
"14";"2";"press switch to on position ."
"15";"1";"go to light switch ."
"15";"2";"press light switch to on position ."
"16";"1";"go to the light switch ."
"16";"2";"press the light switch ."
"17";"1";"go to where light switch is ."
"17";"2";"move switch to on position ."
"18";"1";"go to light switch ."
"18";"2";"press light switch ."
"19";"1";"go to the light switch in the room ."
"19";"2";"grasp the light switch lever ."
"19";"3";"flip the light switch lever to the on position ."
"20";"1";"go over to the light switch ."
"20";"2";"grasp the light switch lever ."
"20";"3";"move the light switch lever to the on position ."
"21";"1";"locate the light switch or light control knob ."
"21";"2";"operate the light switch or light control knob until the room brightens to the desired intensity ."
"22";"1";"locate light switch ."
"22";"2";"activate light switch ."
"23";"1";"walk towards to the light switch ."
"23";"2";"flip the light switch to the on position ."
"24";"1";"walk to light switch ."
"24";"2";"toggle switch to the on position ."
"25";"1";"notice light is needed ."
"25";"2";"find switch ."
"25";"3";"throw switch ."
"25";"4";"notice whether light is on ."
"26";"1";"find the switch of the lights ."
"26";"2";"press the switch off ."
"27";"1";"switch the light switch to on ."
"28";"1";"find light switch ."
"28";"2";"flip switch ."
"29";"1";"decide which light to turn on ."
"29";"2";"identify where the light switch is ."
"29";"3";"walk to the light switch ."
"29";"4";"flip the light switch ."
"30";"1";"decide which light to turn on ."
"30";"2";"identify where the light switch is ."
"30";"3";"walk to the light switch ."
"30";"4";"flip the light switch ."
"31";"1";"walk to the light switch ."
"31";"2";"flip switch on ."
"32";"1";"find lightswitch ."
"32";"2";"flip lightswitch ."
"33";"1";"go to the light switch ."
"33";"2";"put hand on the switch ."
"33";"3";"push the switch downwards ."
"33";"4";"remove hand from switch ."
"34";"1";"walk to light switch ."
"34";"2";"flip the switch ."
"35";"1";"walk to light switch ."
"35";"2";"flip switch ."
"36";"1";"flip the wall switch ."
"37";"1";"walk to switch ."
"37";"2";"move switch up ."
"38";"1";"sense loss of light ."
"38";"2";"find light source ."
"38";"3";"find switch ."
"38";"4";"toggle switch ."
"39";"1";"push the switch up ."
"40";"1";"flip light switch on ."
"41";"1";"flip light switch on ."
"42";"1";"go to light switch ."
