"1";"1";"remove dishes from dishwasher ."
"2";"1";"remove dishes from dishwasher ."
"2";"2";"close dishwasher ."
"3";"1";"open the dishwasher ."
"3";"2";"remove a dish from the dishwasher ."
"3";"3";"put the dish in the cabinet ."
"3";"4";"repeat for all dishes ."
"4";"1";"open dishwasher ."
"4";"2";"remove plates glasses and silverware ."
"4";"3";"close dishwasher ."
"5";"1";"open dishwasher ."
"5";"2";"take dishes out ."
"5";"3";"close dishwasher ."
"6";"1";"open dishwasher ."
"6";"2";"remove dishes from dishwasher ."
"6";"3";"remove silverware and glasses ."
"6";"4";"close door ."
"7";"1";"open dishwasher ."
"7";"2";"remove dishes from dishwasher ."
"7";"3";"remove glasses from dishwasher ."
"7";"4";"remove silverware from dishwasher ."
"7";"5";"close dishwasher door ."
"8";"1";"open the dishwasher door ."
"8";"2";"pull out the diswasher racks ."
"8";"3";"open the dish cabinets ."
"8";"4";"remove a dish from a rack ."
"8";"5";"place the dish into the proper cabinet ."
"8";"6";"repeat until all dishes are put away ."
"9";"1";"open dishwasher ."
"9";"2";"remove dishes silverware and glasses ."
"9";"3";"close dishwasher ."
"10";"1";"open dishwasher ."
"10";"2";"take dishes out and put in cupboard ."
"11";"1";"open washer ."
"11";"2";"take out all the crockery ."
"11";"3";"put it away in the cupboards ."
"11";"4";"close the washer ."
"12";"1";"get one item from the dishwasher ."
"12";"2";"put that item in its place ."
"12";"3";"repeat from (1) until dishwasher is empty ."
"13";"1";"open dishwasher ."
"13";"2";"take out dishes ."
"14";"1";"open dishwasher ."
"14";"2";"remove all items ."
"15";"1";"open the dishwasher ."
"15";"2";"take out the dishes and put them in the correct cupboards ."
"15";"3";"when all of the dishes have been put away close the dishwasher ."
"16";"1";"remove dishes from dishwasher ."
"16";"2";"put dishes in cabinet ."
"17";"1";"open the door ."
"17";"2";"take the dishes out ."
"17";"3";"put the dishes on the correct cupboard shelf ."
"18";"1";"open door ."
"18";"2";"pulll bottom drawer out ."
"18";"3";"remove dishes ."
"18";"4";"place dishes where they belong ."
"18";"5";"pull top drawer out ."
"18";"6";"remove dishes ."
"18";"7";"place dishes where they blong ."
"19";"1";"ensure that washer has finished the cycle ."
"19";"2";"open dishwasher ."
"19";"3";"remove the dishes one type at a time ."
"19";"4";"put dishes away in correct cupboards and drawers ."
"20";"1";"empty dishwasher ."
"20";"2";"put dishes away ."
"21";"1";"empty dishwasher ."
"21";"2";"put dishes away ."
"22";"1";"open dishwasher ."
"22";"2";"pull out baskets ."
"22";"3";"remove items from baskets ."
"22";"4";"put items away ."
"23";"1";"open the dishwasher ."
"24";"1";"open the dishwasher ."
"24";"2";"remove the dishes ."
"24";"3";"replace the dishes in their proper places ."
"24";"4";"close the dishwasher ."
"25";"1";"open door ."
"25";"2";"pull out dishrack ."
"25";"3";"remove dishes ."
"25";"4";"put dishes away in cupboard ."
"25";"5";"close door ."
"26";"1";"open the door ."
"26";"2";"remove dishes ."
"26";"3";"close door ."
"27";"1";"take out dishes ."
"28";"1";"open the dishwasher door ."
"28";"2";"remove the dishes ."
"28";"3";"take towl and dry residual water for dishes ."
"28";"4";"place dishes back in cupboards ."
"29";"1";"open the door ."
"29";"2";"take out the dishes ."
"29";"3";"put the dishes away ."
"29";"4";"close the door ."
"30";"1";"open the door ."
"30";"2";"take out the dishes ."
"30";"3";"put the dishes away ."
"30";"4";"close the door ."
"31";"1";"open the door ."
"31";"2";"take out the dishes ."
"31";"3";"put the dishes away ."
"31";"4";"close the door ."
"32";"1";"release the dishwasher ."
"32";"2";"open the dishwasher ."
"32";"3";"allow the steam to escape ."
"32";"4";"let the dishes cool ."
"32";"5";"take the dishes out from top rack first ."
"32";"6";"take the dishes out from bottom rack next ."
"32";"7";"close the dishwasher ."
"33";"1";"release the dishwasher ."
"33";"2";"open the dishwasher ."
"33";"3";"allow the steam to escape ."
"33";"4";"let the dishes cool ."
"33";"5";"take the dishes out from top rack first ."
"33";"6";"take the dishes out from bottom rack next ."
"33";"7";"close the dishwasher ."
"34";"1";"open dishwasher ."
"34";"2";"remove dishes ."
"34";"3";"put dishes into cabinet ."
"34";"4";"close dishwasher ."
"35";"1";"open door ."
"35";"2";"take dishes out ."
"35";"3";"close door ."
"36";"1";"open door ."
"36";"2";"take dishes out ."
"36";"3";"close door ."
"37";"1";"open door ."
"37";"2";"take dishes out ."
"37";"3";"close door ."
