"1";"1";"go to where you are supposed to watch for them ."
"1";"2";"look in direction where the kids will be coming from ."
"1";"3";"wait specified length of time until they arrive ."
"2";"1";"look out the window ."
"2";"2";"wait for the kids to appear in the window ."
"3";"1";"move to entry door ."
"3";"2";"observe the entry visually ."
"4";"1";"stay at window ."
"4";"2";"observe passer-by ."
"5";"1";"be at home ."
"5";"2";"wait until the kids come home ."
"6";"1";"knowing when the kids are supposed to come home ."
"6";"2";"knowing where to look for the kids ."
"6";"3";"knowing what the kids look like ."
"6";"4";"going to where you can see the kids ."
"6";"5";"looking for the kids ."
"7";"1";"look outside window ."
"7";"2";"check if kids are walking toward house ."
"8";"1";"look out a window in the direction the kids come from ."
"8";"2";"look for the kids outside ."
"8";"3";"repeat occasionally until you see them ."
"9";"1";"find out where the kids will be dropped off when the come home ."
"9";"2";"go to the closest window to that location ."
"9";"3";"look out of the window ."
"9";"4";"wait until you see the kids through the window ."
"10";"1";"locate route kids take ."
"10";"2";"watch route ."
"11";"1";"stand where you can see the kids coming ."
"12";"1";"go to the window ."
"12";"2";"look out the window ."
"12";"3";"wait until the children can be seen ."
"12";"4";"watch the children until they enter the home ."
"12";"5";"leave the window ."
"13";"1";"walk to window when the kids are expected home ."
"14";"1";"look out window for kids ."
"15";"1";"look out window for kids ."
"16";"1";"look out window for kids ."
"17";"1";"look out window for kids ."
"18";"1";"look out window for kids ."
"19";"1";"look out window for kids ."
"20";"1";"look out window for kids ."
"21";"1";"look out window for kids ."
"22";"1";"look out the window ."
"23";"1";"be enjoying the peace and quiet ."
"23";"2";"check the time ."
"23";"3";"notice children will be home soon ."
"23";"4";"finish watching your program ."
"23";"5";"make snacks ."
"23";"6";"watch for bus ."
"23";"7";"see children exit bus and head toward house ."
"24";"1";"look out the window ."
"24";"2";"watch the kids walk to the steps ."
"24";"3";"watch the kids walk into the house ."
"25";"1";"look out the window ."
"25";"2";"watch the kids walk to the steps ."
"25";"3";"watch the kids walk into the house ."
"26";"1";"look out the window ."
"26";"2";"watch the kids walk to the steps ."
"26";"3";"watch the kids walk into the house ."
"27";"1";"goto window ."
"27";"2";"wait for children to arive ."
"28";"1";"know the usual time that the kids arrive home ."
"28";"2";"start waiting ten minutes earlier ."
"28";"3";"look at window and wait for kids ."
"28";"4";"wait for kids ."
"28";"5";"be glad that they get home around the expected time ."
"29";"1";"sit on the couch near a window by the front door ."
"29";"2";"wait ."
"30";"1";"sit on the couch near a window by the front door ."
"30";"2";"wait ."
"31";"1";"find a suitable vantage point ."
"31";"2";"approach vantage point ."
"31";"3";"wait in position ."
"31";"4";"verify the identity of those approaching ."
"32";"1";"go downstairs ."
"32";"2";"go to the window ."
"32";"3";"scan the road ."
"32";"4";"wait ."
"32";"5";"do something else ."
"32";"6";"repeat until you spot kids ."
"32";"7";"welcome them home ."
"33";"1";"go downstairs ."
"33";"2";"go to the window ."
"33";"3";"scan the road ."
"33";"4";"wait ."
"33";"5";"do something else ."
"33";"6";"repeat until you spot kids ."
"33";"7";"welcome them home ."
"34";"1";"go downstairs ."
"34";"2";"go to the window ."
"34";"3";"scan the road ."
"34";"4";"wait ."
"34";"5";"do something else ."
"34";"6";"repeat until you spot kids ."
"34";"7";"welcome them home ."
"35";"1";"go downstairs ."
"35";"2";"go to the window ."
"35";"3";"scan the road ."
"35";"4";"wait ."
"35";"5";"do something else ."
"35";"6";"repeat until you spot kids ."
"35";"7";"welcome them home ."
"36";"1";"go to front window ."
"36";"2";"pull curtains back ."
"36";"3";"look for kids ."
"37";"1";"go to front window ."
"37";"2";"pull curtains back ."
"37";"3";"look for kids ."
"38";"1";"go to front window ."
"38";"2";"pull curtains back ."
"38";"3";"look for kids ."
"39";"1";"clean house ."
"39";"2";"watch tv ."
"39";"3";"cook dinner ."
"39";"4";"make snacks ."
"39";"5";"go to window ."
"39";"6";"watch bus pull in ."
"39";"7";"see kids get out ."
"40";"1";"sit by window ."
"40";"2";"look out window ."
"40";"3";"wait for kids to come home ."
"40";"4";"open the door for them ."
"41";"1";"sit by window ."
"41";"2";"look out window ."
"41";"3";"wait for kids to come home ."
"41";"4";"open the door for them ."
"42";"1";"sit by window ."
"42";"2";"look out window ."
"42";"3";"wait for kids to come home ."
"42";"4";"open the door for them ."
"43";"1";"look out window ."
"43";"2";"watch for kids ."
"44";"1";"look out window ."
"44";"2";"watch for kids ."
"45";"1";"look out window ."
"45";"2";"watch for kids ."
"46";"1";"look out window ."
"46";"2";"watch for kids ."
"47";"1";"look out window ."
"47";"2";"watch for kids ."
"48";"1";"look out window ."
"48";"2";"watch for kids ."
"49";"1";"send kids away ."
"49";"2";"wait appropriate time ."
"49";"3";"walk to window or ."
"49";"4";"open door ."
"49";"5";"look left and right ."
"49";"6";"blink ."
"49";"7";"look right and left ."
