"1";"1";"get a container ."
"1";"2";"find a tap ."
"1";"3";"fill water in container ."
"1";"4";"find the plant ."
"1";"5";"put some water in the pot ."
"2";"1";"locate watering bucket ."
"2";"2";"locate plants ."
"2";"3";"apply water to plants ."
"3";"1";"find water container ."
"3";"2";"fill water ."
"3";"3";"go to the plant ."
"3";"4";"put some water in plant pot ."
"3";"5";"put water container back ."
"4";"1";"check plant for necesity ."
"4";"2";"fill container with get wat ."
"4";"3";"go to plant ."
"4";"4";"water the plant ."
"5";"1";"fill the watering can ."
"5";"2";"walk around ."
"5";"3";"water the plants ."
"6";"1";"find indoor plants ."
"6";"2";"get container that can hold water ."
"6";"3";"find kitchen tap ."
"6";"4";"pour water from kitchen tap into container ."
"6";"5";"locate indoor plants ."
"6";"6";"water indoor plants ."
"7";"1";"obtain water can or other water source ."
"7";"2";"bring the water source to the plants that need to be watered ."
"7";"3";"pour or dispense water into the soil of the plants ."
"8";"1";"get watering container ."
"8";"2";"fill container with water ."
"8";"3";"move to an indoor plant ."
"8";"4";"pour some water from container into plant ."
"8";"5";"repeat until all plants have been watered ."
"9";"1";"get a watering can ."
"9";"2";"fill the can with water ."
"9";"3";"for each potted plant ."
"9";"4";"pour some water onto the soil ."
"10";"1";"get a watering pot ."
"10";"2";"fill the watering pot with water ."
"10";"3";"pour the water over the indoor plants ."
"10";"4";"stop pouring before the indoor plants s container overflows ."
"11";"1";"get water jug ."
"11";"2";"go to plant ."
"11";"3";"pour water ."
"11";"4";"go to 2 until no more plants or no more water ."
"12";"1";"fill water jug ."
"12";"2";"take water jug to plant ."
"12";"3";"pour water into plant pot ."
"12";"4";"move to next plant ."
"13";"1";"fill watering can ."
"13";"2";"walk to plant ."
"13";"3";"pour some water in plant pot until damp ."
"14";"1";"put water in watering can ."
"14";"2";"pour water into the soil of the plant pots ."
"15";"1";"fill water container ."
"15";"2";"carry water container to plants ."
"15";"3";"pour water inside plant pot ."
"15";"4";"go to next plant until no more plants ."
"16";"1";"pick up a watering pitcher ."
"16";"2";"fill the pitcher with water ."
"17";"1";"pick up a watering pitcher ."
"17";"2";"fill the pitcher with water ."
"17";"3";"pour the water into the soild around the plant ."
"18";"1";"fill a plant watering container with water ."
"18";"2";"move to an indoor plant which needs water ."
"18";"3";"pour some water from the container into the plant s pot ."
"18";"4";"repeat until all indoor plants have been watered ."
"19";"1";"fill water jug ."
"19";"2";"take water jug to plants ."
"19";"3";"pour water in plants  pots ."
"19";"4";"go to next plant ."
"20";"1";"fetch watering can ."
"20";"2";"fill it with water ."
"20";"3";"pour water on the plants ."
"21";"1";"get a pitcher ."
"21";"2";"fill the pitcher with water ."
"21";"3";"go to each plant individually ."
"21";"4";"pour the appropriate amount of water from the pitcher into the plant soil for each plant individuall ."
"22";"1";"get water pitcher ."
"22";"2";"fill pitcher with cool water ."
"22";"3";"pour enough water into plant to last for about a week ."
"22";"4";"discard any unused water ."
"23";"1";"find watering can ."
"23";"2";"turn on cool water ."
"23";"3";"fill watering can with cool water ."
"23";"4";"pour two cups of water into plant ."
"23";"5";"empty remaining water into the sink ."
"23";"6";"putaway watering can ."
"24";"1";"fill bucket with water ."
"24";"2";"go to plant ."
"24";"3";"poor water on plants ."
"24";"4";"repeat for all plants ."
"24";"5";"refill bucket if needed ."
"25";"1";"find watering can ."
"25";"2";"fill watering can with water ."
"25";"3";"pour some water on each indoor plant ."
"25";"4";"if water is spilled clean up spill ."
"25";"5";"empty watering can in sink ."
"25";"6";"put watering can away ."
"26";"1";"get a empty bottle spray ."
"26";"2";"put water on the bottle spray ."
"26";"3";"spray the plants ."
"27";"1";"remove watering pitcher from storage ."
"27";"2";"turn on water ."
"27";"3";"fill pitcher with water ."
"27";"4";"turn off water ."
"27";"5";"position pitcher over plants ."
"27";"6";"empty water onto plants ."
"27";"7";"return pitcher to storage ."
"28";"1";"fill container with water ."
"28";"2";"pour on plants ."
"29";"1";"fill a vessel with water ."
"29";"2";"carry the water to the plant ."
"29";"3";"pour water slowly into the soil ."
"29";"4";"stop pouring when soil is moist ."
"29";"5";"put vessel away ."
"29";"6";"talk to plant for a short while ."
"30";"1";"put water into a cup or watering can ."
"30";"2";"pour a small amount of water onto soil ."
"30";"3";"repeat step 2 for each plant ."
"30";"4";"pour out access water ."
"31";"1";"fill container with water ."
"31";"2";"add water to plants ."
"32";"1";"fill container with water ."
"32";"2";"add water to plants ."
"33";"1";"notice plants need water ."
"33";"2";"find waterer ."
"33";"3";"run water into waterer ."
"33";"4";"walk to plant ."
"33";"5";"water plant ."
"33";"6";"check dampness ."
"33";"7";"water again or return waterer to storage ."
"34";"1";"check if plants are dry ."
"34";"2";"locate watering can ."
"34";"3";"go to sink ."
"34";"4";"put watering can under faucet ."
"34";"5";"turn water on ."
"34";"6";"fill watering can ."
"34";"7";"pour water into plant pots ."
"35";"1";"goto plants ."
"35";"2";"give water to plants ."
"36";"1";"fill jug with water ."
"36";"2";"pour water into plantpot ."
"37";"1";"fill jug with water ."
"37";"2";"pour water into plantpot ."
"38";"1";"fill watering jug with water ."
"38";"2";"walk over to plant ."
"38";"3";"pour water into soil until moistened ."
"38";"4";"repeat with other plants ."
"39";"1";"water ."
"40";"1";"water ."
"41";"1";"water ."
"42";"1";"water ."
"43";"1";"water ."
"44";"1";"water ."
"45";"1";"water ."
"46";"1";"decide which plants to water ."
"46";"2";"locate watering can ."
"46";"3";"fill can with water ."
"46";"4";"empty water onto plants ."
"46";"5";"put can away ."
"47";"1";"decide which plants to water ."
"47";"2";"locate watering can ."
"47";"3";"fill can with water ."
"47";"4";"empty water onto plants ."
"47";"5";"put can away ."
"48";"1";"decide which plants to water ."
"48";"2";"locate watering can ."
"48";"3";"fill can with water ."
"48";"4";"empty water onto plants ."
"48";"5";"put can away ."
"49";"1";"decide which plants to water ."
"49";"2";"locate watering can ."
"49";"3";"fill can with water ."
"49";"4";"empty water onto plants ."
"49";"5";"put can away ."
"50";"1";"decide which plants to water ."
"50";"2";"locate watering can ."
"50";"3";"fill can with water ."
"50";"4";"empty water onto plants ."
"50";"5";"put can away ."
"51";"1";"get water ."
"51";"2";"pour onto plant ."
"52";"1";"get water ."
"52";"2";"pour onto plant ."
"53";"1";"get water ."
"53";"2";"pour onto plant ."
"54";"1";"get water ."
"54";"2";"pour onto plant ."
"55";"1";"get water ."
"55";"2";"pour onto plant ."
"56";"1";"get water ."
"56";"2";"pour onto plant ."
"57";"1";"fill container with tap ."
"57";"2";"mix in plant food ."
"57";"3";"water plants with adequate amount ."
"57";"4";"place plants in sunlight ."
"58";"1";"fill container with tap ."
"58";"2";"mix in plant food ."
"58";"3";"water plants with adequate amount ."
"58";"4";"place plants in sunlight ."
"59";"1";"find watering jug ."
"59";"2";"pick up watering jug ."
"59";"3";"walk to sink with jug ."
"59";"4";"place under tap ."
"59";"5";"turn on tap ."
"59";"6";"fill with water ."
"59";"7";"water plants ."
"60";"1";"turn tap on ."
"60";"2";"pour water into jug ."
"60";"3";"carry jug into room ."
"60";"4";"pour water ."
"60";"5";"don t pour too much ."
"60";"6";"plant will grow ."
"60";"7";"keep in sun ."
"61";"1";"turn tap on ."
"61";"2";"pour water into jug ."
"61";"3";"carry jug into room ."
"61";"4";"pour water ."
"61";"5";"don t pour too much ."
"61";"6";"plant will grow ."
"61";"7";"keep in sun ."
"62";"1";"get watering can ."
"62";"2";"fill watering can with water ."
"62";"3";"go to plant ."
"62";"4";"put water in pot until dirt is moist ."
"62";"5";"repeat for each plant ."
"62";"6";"empty watering can ."
"62";"7";"put watering can away ."
"63";"1";"fill watering can with water ."
"63";"2";"pour water into pots until soil is saturated ."
"64";"1";"fill watering can with water ."
"64";"2";"pour water into pots until soil is saturated ."
"65";"1";"fill watering can with water ."
"65";"2";"pour water into pots until soil is saturated ."
"66";"1";"fill watering can with water ."
"66";"2";"pour water into pots until soil is saturated ."
"67";"1";"fill watering can with water ."
"67";"2";"pour water into pots until soil is saturated ."
"68";"1";"take water ."
"68";"2";"pour water on plants ."
"69";"1";"add water in a jug ."
"69";"2";"pour water in pots ."
